Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Erreicht Stufe 10.","Stufe 10",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"Erreicht Stufe 20.","Stufe 20",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"Erreicht Stufe 30.","Stufe 30",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"Erreicht Stufe 40.","Stufe 40",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"Erreicht Stufe 50.","Stufe 50",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"Erreicht Stufe 60.","Stufe 60",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"Erreicht Stufe 70.","Stufe 70",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"Erreicht Stufe 80.","Stufe 80",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"Sammelt 15 einzigartige Haustiere.","Jede Menge Haustiere",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"Erreicht eine unbewaffnete Fertigkeit von 400.","Hat jemand ein Veilchen bestellt?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"Schließt an fünf aufeinander folgenden Tagen eine tägliche Quest ab.",Alltägliches,,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"Schließt 2.000 Quests ab.","2.000 Quests abgeschlossen",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"Schließt 130 Quests der boreanischen Tundra ab.","Rauf und runter in der Tundra",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"Schließt 130 Quests im heulenden Fjord ab.","Ich hab' den Fjord umrundet",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"Schließt 115 Quests der Drachenöde ab.","Nichts ist öde in der Öde",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"Schließt 100 Quests in Zul'Drak ab.","Das Imperium von Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"Schließt 85 Quests in den Grizzlyhügeln ab.","Nich' zu zügeln in den Hügeln",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"Schließt 100 Quests der Sturmgipfel ab.","Der Gipfel der Sturmgipfel",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"Schließt 75 Quests des Sholazarbeckens ab.","Ab ins Becken",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"Schließt 140 Quests der Eiskrone ab.","Eiskrone: Das letzte Ziel",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"Schließt die unten aufgelisteten Questerfolge in Nordend ab.","Meister der Lehren von Nordend",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
"Erforscht die Regionen der östlichen Königreiche.","Erforscht die östlichen Königreiche",,42,-1,-1,0,97,0,25,0,1,236759,122988,0
"Erforscht die Regionen Kalimdors.","Erforscht Kalimdor",,43,-1,-1,0,97,0,25,0,2,236807,121375,0
"Erforscht die Regionen der Scherbenwelt.","Erforscht die Scherbenwelt",,44,-1,-1,0,97,0,25,0,3,236813,121396,0
"Erforscht die Regionen von Nordend.","Erforscht Nordend","Belohnung: Wappenrock des Entdeckers",45,-1,-1,0,97,0,25,0,4,236812,128467,0
"Erforscht die östlichen Königreiche, Kalimdor, Nordend und die Scherbenwelt.",Weltenbummler,"Bonustitel: Der Entdecker",46,-1,-1,0,97,0,50,0,5,237381,121984,0
"Siege im Alteractal","Siege im Alteractal",,49,30,-1,0,153,0,0,1,6,136243,128749,0
"Siege im Auge des Sturms","Siege im Auge des Sturms",,50,566,-1,0,153,0,0,1,10,136243,123016,0
"Siege im Arathibecken","Siege im Arathibecken",,51,529,-1,0,153,0,0,1,8,136243,123018,0
"Schlachten in der Kriegshymnenschlucht","Schlachten in der Kriegshymnenschlucht",,52,489,-1,0,153,0,0,1,13,136243,121974,0
"Schlachten im Alteractal","Schlachten im Alteractal",,53,30,-1,0,153,0,0,1,5,136243,121976,0
"Schlachten im Auge des Sturms","Schlachten im Auge des Sturms",,54,566,-1,0,153,0,0,1,9,136243,124476,0
"Schlachten im Arathibecken","Schlachten im Arathibecken",,55,529,-1,0,153,0,0,1,7,136243,123973,0
"Tode in der Kriegshymnenschlucht","Tode in der Kriegshymnenschlucht",,56,489,-1,0,124,0,0,1,3,136243,124248,0
"Tode im Alteractal","Tode im Alteractal",,57,30,-1,0,124,0,0,1,1,136243,123275,0
"Tode durch Drek'Thar","Tode durch Drek'Thar",,58,30,1,0,124,0,0,1,6,136243,124250,0
"Tode im Arathibecken","Tode im Arathibecken",,59,529,-1,0,124,0,0,1,2,136243,124851,0
"Tode insgesamt","Tode insgesamt",,60,-1,-1,0,122,0,0,1,1,136243,124407,0
"Greift 3 Basen in einer einzigen Arathibeckenschlacht an.","Der Recke des Beckens",,73,529,-1,0,14802,0,10,0,5,132333,127829,0
"Quests abgebrochen","Quests abgebrochen",,94,-1,-1,0,133,0,0,1,5,136243,123283,0
"Durchschnittlich abgeschlossene Quests pro Tag","Durchschnittlich abgeschlossene Quests pro Tag",,95,-1,-1,0,133,0,0,73,2,136243,126005,98
"Tägliche Quests abgeschlossen","Tägliche Quests abgeschlossen",,97,-1,-1,0,133,0,0,1,3,136243,127771,0
"Quests abgeschlossen","Quests abgeschlossen",,98,-1,-1,0,133,0,0,9,1,136243,122183,0
"Kämpfe in den Ruinen von Lordaeron","Kämpfe in den Ruinen von Lordaeron",,99,-1,-1,0,152,0,0,1,17,136243,129940,0
"Siege im Ring der Prüfungen","Siege im Ring der Prüfungen",,100,-1,-1,0,152,0,0,1,14,136243,123056,0
"Kämpfe im Ring der Prüfungen","Kämpfe im Ring der Prüfungen",,101,-1,-1,0,152,0,0,1,13,136243,122986,0
