Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Alcanza el nivel 10.","Nivel 10",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"Alcanza el nivel 20.","Nivel 20",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"Alcanza el nivel 30.","Nivel 30",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"Alcanza el nivel 40.","Nivel 40",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"Alcanza el nivel 50.","Nivel 50",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"Alcanza el nivel 60.","Nivel 60",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"Alcanza el nivel 70.","Nivel 70",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"Alcanza el nivel 80.","Nivel 80",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"Reúne 15 mascotas de compañía únicas.","Muchas mascotas",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"Aumenta tu habilidad sin armas a 400.","¿Alguien ha pedido un bocadillo de nudillos?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"Completa una misión diaria durante cinco días consecutivos.","Una re-misión sencilla",,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"Completa 2000 misiones.","2000 misiones completadas",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"Completa 130 misiones en la Tundra Boreal.","La Tundra no tiene nada de aburrida",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"Completa 130 misiones en el Fiordo Aquilonal.","He paseado por el Fiordo",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"Completa 115 misiones en el Cementerio de Dragones.","El poder del Cementerio de Dragones",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"Completa 100 misiones en Zul'Drak.","El imperio de Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"Completa 85 misiones en las Colinas Pardas.","Mi furia por las pardas",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"Completa 100 misiones en Las Cumbres Tormentosas.","La cima de Las Cumbres Tormentosas",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"Completa 75 misiones en la Cuenca de Sholazar.","Dentro de la Cuenca",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"Completa 140 misiones en el Glaciar Corona de Hielo.","Corona de Hielo: la meta final",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"Completa todos los logros de misiones de Rasganorte listados a continuación.","Maestro cultural de Rasganorte",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
"Explora las regiones de los Reinos del Este.","Explora los Reinos del Este",,42,-1,-1,0,97,0,25,0,1,236759,122988,0
"Explora las regiones de Kalimdor.","Explora Kalimdor",,43,-1,-1,0,97,0,25,0,2,236807,121375,0
"Explora las regiones de Terrallende.","Explora Terrallende",,44,-1,-1,0,97,0,25,0,3,236813,121396,0
"Explora las regiones de Rasganorte.","Explora Rasganorte","Recompensa: tabardo de explorador",45,-1,-1,0,97,0,25,0,4,236812,128467,0
"Explora los Reinos del Este, Kalimdor, Terrallende y Rasganorte.","Explorador del mundo","Título recompensa: el Explorador",46,-1,-1,0,97,0,50,0,5,237381,121984,0
"Victorias en el Valle de Alterac","Victorias en el Valle de Alterac",,49,30,-1,0,153,0,0,1,6,136243,128749,0
"Victorias en el Ojo de la Tormenta","Victorias en el Ojo de la Tormenta",,50,566,-1,0,153,0,0,1,10,136243,123016,0
"Victorias en la Cuenca de Arathi","Victorias en la Cuenca de Arathi",,51,529,-1,0,153,0,0,1,8,136243,123018,0
"Batallas en la Garganta Grito de Guerra","Batallas en la Garganta Grito de Guerra",,52,489,-1,0,153,0,0,1,13,136243,121974,0
"Batallas en el Valle de Alterac","Batallas en el Valle de Alterac",,53,30,-1,0,153,0,0,1,5,136243,121976,0
"Batallas en el Ojo de la Tormenta","Batallas en el Ojo de la Tormenta",,54,566,-1,0,153,0,0,1,9,136243,124476,0
"Batallas en la Cuenca de Arathi","Batallas en la Cuenca de Arathi",,55,529,-1,0,153,0,0,1,7,136243,123973,0
"Muertes en la Garganta Grito de Guerra","Muertes en la Garganta Grito de Guerra",,56,489,-1,0,124,0,0,1,3,136243,124248,0
"Muertes en el Valle de Alterac","Muertes en el Valle de Alterac",,57,30,-1,0,124,0,0,1,1,136243,123275,0
"Muertes contra Drek'Thar","Muertes contra Drek'Thar",,58,30,1,0,124,0,0,1,6,136243,124250,0
"Muertes en la Cuenca de Arathi","Muertes en la Cuenca de Arathi",,59,529,-1,0,124,0,0,1,2,136243,124851,0
"Muertes propias","Muertes propias",,60,-1,-1,0,122,0,0,1,1,136243,124407,0
"Asalta 3 bases en una sola batalla por la Cuenca de Arathi.","Deshonrar la Cuenca",,73,529,-1,0,14802,0,10,0,5,132333,127829,0
"Misiones abandonadas","Misiones abandonadas",,94,-1,-1,0,133,0,0,1,5,136243,123283,0
"Cantidad media de misiones completadas cada día","Cantidad media de misiones completadas cada día",,95,-1,-1,0,133,0,0,73,2,136243,126005,98
"Misiones diarias completadas","Misiones diarias completadas",,97,-1,-1,0,133,0,0,1,3,136243,127771,0
"Misiones completadas","Misiones completadas",,98,-1,-1,0,133,0,0,9,1,136243,122183,0
"Encuentros en las Ruinas de Lordaeron","Encuentros en las Ruinas de Lordaeron",,99,-1,-1,0,152,0,0,1,17,136243,129940,0
"Victorias en El Círculo de los Retos","Victorias en El Círculo de los Retos",,100,-1,-1,0,152,0,0,1,14,136243,123056,0
"Encuentros en El Círculo de los Retos","Encuentros en El Círculo de los Retos",,101,-1,-1,0,152,0,0,1,13,136243,122986,0
"Victorias en las Ruinas de Lordaeron","Victorias en las Ruinas de Lordaeron",,102,-1,-1,0,152,0,0,1,18,136243,127443,0
"Encuentros en el Anillo de Sangre","Encuentros en el Anillo de Sangre",,103,-1,-1,0,152,0,0,1,9,136243,123285,0
"Victorias en el Anillo de Sangre","Victorias en el Anillo de Sangre",,104,-1,-1,0,152,0,0,1,10,136243,128751,0
"Victorias en la Garganta Grito de Guerra","Victorias en la Garganta Grito de Guerra",,105,-1,-1,0,153,0,0,1,14,136243,121932,0
"Criaturas muertas","Criaturas muertas",,107,-1,-1,0,135,0,0,9,1,136243,122186,0
"Alimañas muertas","Alimañas muertas",,108,-1,-1,0,135,0,0,1,4,136243,123501,0
"Lich King: Jefe asesinado más veces (5 j.)","Lich King: Jefe asesinado más veces (5 j.)",,110,-1,-1,0,14807,0,0,17,14,0,128330,1467
"Muertes por ahogamiento","Muertes por ahogamiento",,112,-1,-1,0,126,0,0,1,1,136243,132274,0
"Muertes por fatiga","Muertes por fatiga",,113,-1,-1,0,126,0,0,1,3,136243,123503,0
"Muertes por caída","Muertes por caída",,114,-1,-1,0,126,0,0,1,4,136243,123075,0
"Muertes por fuego y lava","Muertes por fuego y lava",,115,-1,-1,0,126,0,0,9,5,136243,123505,0
"Conviértete en oficial de una profesión.","Oficial profesional",,116,-1,-1,0,169,1,10,0,1,134327,123508,0
"Conviértete en oficial cocinero.","Oficial cocinero",,121,-1,-1,0,170,0,10,0,1,133971,125873,0
"Conviértete en cocinero experto.","Cocinero experto",,122,-1,-1,121,170,0,10,0,2,133971,121924,0
"Conviértete en cocinero artesano.","Cocinero artesano",,123,-1,-1,122,170,0,10,0,3,133971,127610,0
"Conviértete en maestro cocinero.","Maestro cocinero",,124,-1,-1,123,170,0,10,0,4,133971,123077,0
"Conviértete en gran maestro cocinero.","Gran maestro cocinero",,125,-1,-1,124,170,0,10,0,5,133971,123520,0
"Conviértete en oficial pescador.","Oficial pescador",,126,-1,-1,0,171,0,10,0,1,136245,123522,0
"Conviértete en pescador experto.","Pescador experto",,127,-1,-1,126,171,0,10,0,2,136245,121934,0
"Conviértete en pescador artesano.","Pescador artesano",,128,-1,-1,127,171,0,10,0,3,136245,123704,0
"Conviértete en maestro pescador.","Maestro pescador",,129,-1,-1,128,171,0,10,0,4,136245,126923,0
"Conviértete en gran maestro pescador.","Gran maestro pescador",,130,-1,-1,129,171,0,10,0,5,136245,121926,0
"Conviértete en oficial en primeros auxilios.","Oficial en primeros auxilios",,131,-1,-1,0,172,0,10,0,1,135966,123670,0
"Conviértete en experto en primeros auxilios.","Experto en primeros auxilios",,132,-1,-1,131,172,0,10,0,2,135966,124254,0
"Conviértete en artesano en primeros auxilios.","Artesano en primeros auxilios",,133,-1,-1,132,172,0,10,0,3,135966,124256,0
"Conviértete en maestro en primeros auxilios.","Maestro en primeros auxilios",,134,-1,-1,133,172,0,10,0,4,135966,123706,0
"Conviértete en gran maestro en primeros auxilios.","Gran maestro en primeros auxilios",,135,-1,-1,134,172,0,10,0,5,135966,123531,0
"Crea 500 vendas de tejido de Escarcha gruesas.",Abastecerse,,137,-1,-1,0,172,0,10,0,6,133674,122240,0
"Venda a otro jugador o a ti mismo con vendas de tejido de Escarcha gruesas cuando la salud esté por debajo del 5%.","Elección final",,141,-1,-1,0,172,0,10,0,7,134470,125433,0
"Pesca a El Rondador de abajo en la Caverna Santuario Serpiente.","El Rondador de arriba",,144,-1,-1,0,171,0,10,0,15,132107,123014,0
"Pesca algo en Orgrimmar y Ventormenta.","El diplomático pescador",,150,-1,-1,0,171,0,10,0,8,133146,121978,0
"Pesca un pez en un banco.","El viejo gnomo y el mar",,153,-1,-1,0,171,1,10,0,6,236573,121415,0
"Gana en la Cuenca de Arathi.","Victoria en la Cuenca de Arathi",,154,529,-1,0,14802,0,10,0,1,236385,123277,0
"Completa 100 victorias en la Cuenca de Arathi.","Veterano de la Cuenca de Arathi",,155,529,-1,154,14802,0,10,0,2,236381,127324,0
"Gana 10 batallas por la Cuenca de Arathi en posesión de 5 banderas.","Dominio territorial",,156,529,-1,0,14802,0,10,0,9,236386,123466,0
"Defiende una base en la Cuenca de Arathi 50 veces volviendo a capturar la bandera.","¡Al rescate!",,157,529,-1,0,14802,0,10,0,7,132365,126804,0
"Coge 50 banderas en la Cuenca de Arathi.","El Capitán y yo lo conseguimos",,158,529,-1,0,14802,0,10,0,4,236373,124099,0
"Gana en la Cuenca de Arathi en 6 minutos.",Hagámoslo,,159,529,-1,0,14802,0,10,0,10,236387,124101,0
"Supera una desventaja de 500 recursos en una batalla por la Cuenca de Arathi y vence.","Victoria elástica",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Gana en la Cuenca de Arathi por una diferencia de 10 puntos (1600 a 1590).","La victoria estaba clara *ejem*",,162,529,-1,0,14802,0,10,0,11,136165,124759,0
"Gana en la Cuenca de Arathi con una puntuación de 1600 a 0.","Perfección en la Cuenca de Arathi",,165,529,-1,0,14802,0,20,0,3,236348,121665,0
"Gana en la Garganta Grito de Guerra.","Victoria en la Garganta Grito de Guerra",,166,489,-1,0,14804,0,10,0,1,236396,121667,0
"Completa 100 victorias en la Garganta Grito de Guerra.","Veterano de la Garganta Grito de Guerra",,167,489,-1,166,14804,0,10,0,2,236384,122230,0
"Gana en la Garganta Grito de Guerra con una puntuación de 3 a 0.","Perfección en la Garganta Grito de Guerra",,168,489,-1,0,14804,0,10,0,8,236397,132664,0
"Fórmulas de encantamiento aprendidas","Fórmulas de encantamiento aprendidas",,178,-1,-1,0,173,0,0,1,6,136243,121981,0
"Objetos desencantados","Objetos desencantados",,181,-1,-1,0,173,0,0,1,8,136243,124252,0
"Materiales producidos al desencantar","Materiales producidos al desencantar",,183,-1,-1,0,173,0,0,1,7,136243,129942,0
"Mayor sanación realizada","Mayor sanación realizada",,189,-1,-1,0,141,0,0,1,5,0,122232,0
"Mayor golpe asestado","Mayor golpe asestado",,193,-1,-1,0,141,0,0,1,1,0,122234,0
"Daño total infligido","Daño total infligido",,197,-1,-1,0,141,0,0,1,3,0,127441,0
"Sanación total realizada","Sanación total realizada",,198,-1,-1,0,141,0,0,1,7,0,121939,0
"Lleva y captura la bandera de la Garganta Grito de Guerra personalmente.","Captura la bandera",,199,489,-1,0,14804,0,10,0,3,236350,127330,0
"Como defensor, devuelve 50 banderas en la Garganta Grito de Guerra.","Defensor persistente",,200,489,-1,0,14804,0,10,0,4,236355,121928,0
"Gana en la Garganta Grito de Guerra en menos de 7 minutos.","Conveniencia Grito de Guerra",,201,489,-1,0,14804,0,10,0,9,236398,128594,0
"Coge la bandera y captúrala en menos de 75 segundos.","Captura rápida",,202,489,1,0,14804,0,10,0,16,236353,121915,0
"En una sola batalla por la Garganta Grito de Guerra, mata a 2 portadores de la bandera antes de que abandonen la Sala de la Bandera Ala de Plata.","En mi casa no",,203,489,1,0,14804,0,10,0,14,236362,124561,0
"En una sola batalla por la Garganta Grito de Guerra, lleva y captura la bandera 3 veces sin morir.","Hombre de hierro",,204,489,-1,0,14804,0,10,0,10,236344,125153,0
"Mata a 100 portadores de la bandera en la Garganta Grito de Guerra.","Defensor supremo",,206,489,1,0,14804,0,10,0,6,236360,123493,0
"Mata al enemigo que lleva tu bandera en la sala de la bandera del equipo contrario, mientras la bandera del equipo contrario está en su base, bajo control.","Eres mi héroe",,207,489,-1,0,14804,1,10,0,18,132308,125181,0
"Gana en el Ojo de la Tormenta.","Victoria en el Ojo de la Tormenta",,208,566,-1,0,14803,0,10,0,1,236392,121714,0
"Completa 100 victorias en el Ojo de la Tormenta.","Veterano del Ojo de la Tormenta",,209,566,-1,208,14803,0,10,0,2,236383,121716,0
"Mientras tu equipo controle 4 de las bases del Ojo de la Tormenta, coge la bandera personalmente y captúrala.","Gloria de la tormenta",,211,566,-1,0,14803,0,10,0,12,236354,121718,0
"Lleva y captura la bandera en el Ojo de la Tormenta personalmente.","Rematar la tormenta",,212,566,-1,0,14803,0,10,0,7,236349,126970,0
"Mata a 5 portadores de la bandera en una sola batalla por el Ojo de la Tormenta.","Soldado de asalto",,213,566,-1,0,14803,0,10,0,6,236359,125246,0
"Gana en el Ojo de la Tormenta en menos de 6 minutos.",Aluvión,,214,566,-1,0,14803,0,10,0,5,236393,123380,0
"En una sola batalla por el Ojo de la Tormenta, captura la bandera 3 veces sin morir.","Destinado a la gloria",,216,566,-1,0,14803,0,10,0,8,135739,127732,0
"Gana en el Valle de Alterac.","Victoria en el Valle de Alterac",,218,30,-1,0,14801,0,10,0,1,236388,127320,0
"Consigue 100 victorias en el Valle de Alterac.","Veterano del Valle de Alterac",,219,30,-1,218,14801,0,10,0,2,236382,127322,0
"Gana en el Valle de Alterac sin perder ninguna torre ni Capitán. También debes controlar todas las torres de la Horda.","Perfección Pico Tormenta",,220,30,1,0,14801,0,20,0,11,133431,124853,0
"Toma 50 cementerios en el Valle de Alterac.","Ladrón de tumbas de Alterac",,221,30,-1,0,14801,0,10,0,3,236399,121895,0
"Defiende 50 torres en el Valle de Alterac.","Defensa de torres",,222,30,-1,0,14801,0,10,0,4,236351,121897,0
"En el Valle de Alterac, mata a un enemigo en la Tierra de Disputa antes de que desmonte.","La gacela enfermiza",,223,30,-1,0,14801,0,10,0,10,236361,123668,0
"En el Valle de Alterac, mata a 50 jugadores enemigos en la Cámara de los Lobo Gélido.","Leal defensor",,224,30,0,0,14801,0,10,0,5,236368,127734,0
