Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Atteindre le niveau 10.","Niveau 10",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"Atteindre le niveau 20.","Niveau 20",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"Atteindre le niveau 30.","Niveau 30",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"Atteindre le niveau 40.","Niveau 40",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"Atteindre le niveau 50.","Niveau 50",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"Atteindre le niveau 60.","Niveau 60",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"Atteindre le niveau 70.","Niveau 70",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"Atteindre le niveau 80.","Niveau 80",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"Collecter 15 mascottes différentes.","De nombreux familiers",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"Obtenir un score de 400 avec la compétence Mains nues.","Qui a commandé une salade de phalanges ?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"Achever une quête journalière tous les jours pendant cinq jours consécutifs.","Une simple re-quête",,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"Achever 2 000 quêtes.","2 000 quêtes achevées",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"Achever 130 quêtes dans la toundra Boréenne.","Ma tendre toundra",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"Achever 130 quêtes dans le fjord Hurlant.","Tour du fjord",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"Achever 115 quêtes dans la Désolation des dragons.","La puissance de la Désolation des dragons",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"Achever 100 quêtes à Zul'Drak.","L'empire de Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"Achever 85 quêtes dans les Grisonnes.","Les Grisonnes, ça vous grise !",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"Achever 100 quêtes dans les pics Foudroyés.","Le sommet des pics Foudroyés",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"Achever 75 quêtes dans le bassin de Sholazar.","Dans le bassin",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"Achever 140 quêtes dans la Couronne de glace.","La Couronne de glace : l'objectif final",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"Accomplir les hauts faits relatifs aux quêtes du Norfendre listés ci-dessous.","Maître des traditions du Norfendre",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
"Explorer les régions des Royaumes de l'est.","Exploration des Royaumes de l'est",,42,-1,-1,0,97,0,25,0,1,236759,122988,0
"Explorer les régions de Kalimdor.","Exploration de Kalimdor",,43,-1,-1,0,97,0,25,0,2,236807,121375,0
"Explorer les régions de l'Outreterre.","Exploration de l'Outreterre",,44,-1,-1,0,97,0,25,0,3,236813,121396,0
"Explorer les régions du Norfendre.","Exploration du Norfendre","Récompense : tabard de l'explorateur",45,-1,-1,0,97,0,25,0,4,236812,128467,0
"Explorer les Royaumes de l'est, Kalimdor, l'Outreterre et le Norfendre.","Grand explorateur","Titre : explorateur",46,-1,-1,0,97,0,50,0,5,237381,121984,0
"Victoires dans la vallée d’Alterac","Victoires dans la vallée d’Alterac",,49,30,-1,0,153,0,0,1,6,136243,128749,0
"Victoires dans l’Œil du cyclone","Victoires dans l’Œil du cyclone",,50,566,-1,0,153,0,0,1,10,136243,123016,0
"Victoires dans le bassin Arathi","Victoires dans le bassin Arathi",,51,529,-1,0,153,0,0,1,8,136243,123018,0
"Batailles pour le goulet des Chanteguerres","Batailles pour le goulet des Chanteguerres",,52,489,-1,0,153,0,0,1,13,136243,121974,0
"Batailles pour la vallée d’Alterac","Batailles pour la vallée d’Alterac",,53,30,-1,0,153,0,0,1,5,136243,121976,0
"Batailles pour l’Œil du cyclone","Batailles pour l’Œil du cyclone",,54,566,-1,0,153,0,0,1,9,136243,124476,0
"Batailles pour le bassin Arathi","Batailles pour le bassin Arathi",,55,529,-1,0,153,0,0,1,7,136243,123973,0
"Morts dans le goulet des Chanteguerres","Morts dans le goulet des Chanteguerres",,56,489,-1,0,124,0,0,1,3,136243,124248,0
"Morts dans la Vallée d'Alterac","Morts dans la Vallée d'Alterac",,57,30,-1,0,124,0,0,1,1,136243,123275,0
"Morts causées par Drek'Thar","Morts causées par Drek'Thar",,58,30,1,0,124,0,0,1,6,136243,124250,0
"Morts dans le bassin Arathi","Morts dans le bassin Arathi",,59,529,-1,0,124,0,0,1,2,136243,124851,0
"Nombre total de morts","Nombre total de morts",,60,-1,-1,0,122,0,0,1,1,136243,124407,0
"Attaquer 3 bases dans une même bataille pour le bassin Arathi.","Déshonorer le bassin",,73,529,-1,0,14802,0,10,0,5,132333,127829,0
"Quêtes abandonnées","Quêtes abandonnées",,94,-1,-1,0,133,0,0,1,5,136243,123283,0
"Nombre moyen de quêtes achevées par jour","Nombre moyen de quêtes achevées par jour",,95,-1,-1,0,133,0,0,73,2,136243,126005,98
"Quêtes journalières achevées","Quêtes journalières achevées",,97,-1,-1,0,133,0,0,1,3,136243,127771,0
"Quêtes achevées","Quêtes achevées",,98,-1,-1,0,133,0,0,9,1,136243,122183,0
"Matchs dans les ruines de Lordaeron","Matchs dans les ruines de Lordaeron",,99,-1,-1,0,152,0,0,1,17,136243,129940,0
"Victoires dans l'arène des Épreuves","Victoires dans l'arène des Épreuves",,100,-1,-1,0,152,0,0,1,14,136243,123056,0
"Matchs dans l'arène des Épreuves","Matchs dans l'arène des Épreuves",,101,-1,-1,0,152,0,0,1,13,136243,122986,0
