Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"10 레벨 달성","10 레벨",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"20 레벨 달성","20 레벨",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"30 레벨 달성","30 레벨",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"40 레벨 달성","40 레벨",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"50 레벨 달성","50 레벨",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"60 레벨 달성","60 레벨",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"70 레벨 달성","70 레벨",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"80 레벨 달성","80 레벨",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"애완동물 친구 15마리 모으기","애완동물 애호가",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"맨손 전투 숙련도 400 달성","주먹밥 시키신 분?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"연속 5일 동안 일일 퀘스트 수행","매일 매일 퀘스트",,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"퀘스트 2,000개 완료","퀘스트 2,000개 완료",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"북풍의 땅 퀘스트 130개 완료","북풍의 땅이 지루하다고?",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"울부짖는 협만 퀘스트 130개 완료","협만 여행",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"용의 안식처 퀘스트 115개 완료","용의 안식처의 힘",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"줄드락 퀘스트 100개 완료","줄드락 제국",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"회색 구릉지 퀘스트 85개 완료","회색 구릉지 모험",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"폭풍우 봉우리 퀘스트 100개 완료","폭풍우 봉우리 정상",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"숄라자르 분지 퀘스트 75개 완료","숄라자르 분지로",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"얼음왕관 퀘스트 140개 완료","얼음왕관: 최종 목표",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"아래 나열된 노스렌드 퀘스트 업적 완료","노스렌드의 현자",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
"동부 왕국 지역 탐험","동부 왕국 탐험",,42,-1,-1,0,97,0,25,0,1,236759,122988,0
"칼림도어 탐험","칼림도어 탐험",,43,-1,-1,0,97,0,25,0,2,236807,121375,0
