Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Alcançar o nível 10.","Nível 10",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"Alcançar o nível 20.","Nível 20",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"Alcançar o nível 30.","Nível 30",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"Alcançar o nível 40.","Nível 40",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"Alcançar o nível 50.","Nível 50",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"Alcançar o nível 60.","Nível 60",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"Alcançar o nível 70.","Nível 70",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"Alcançar o nível 80.","Nível 80",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"Obter 15 mascotes únicas.","Abundância de Mascotes",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"Treinar a perícia de Combate Desarmado até o nível 400.","Alguém pediu uma surra?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"Cumprir uma missão diária todos os dias por cinco dias consecutivos.","Missão nossa de cada dia",,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"Cumprir 2000 missões.","2000 missões cumpridas",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"Cumprir 130 missões na Tundra Boreana.","Na Tundra a diversão ""abundra""!",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"Cumprir 130 missões no Fiorde Uivante.","Um tour pelo Fiorde",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"Cumprir 115 missões no Ermo das Serpes.","Acampando no Ermo",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"Cumprir 100 missões em Zul'Drak.","O Império de Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"Cumprir 85 missões na Serra Gris.","Por um triz na Serra Gris",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"Cumprir 100 missões nos Picos Tempestuosos.","O pico dos ventos tempestuosos",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"Cumprir 75 missões na Bacia Sholazar.","Bacia adentro",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"Cumprir 140 missões na Coroa de Gelo.","Coroa de Gelo: O destino final",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"Obter as conquistas de missões de Nortúndria listadas abaixo.","Historiador de Nortúndria",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
"Explorar todas as regiões dos Reinos do Leste.","Explorar os Reinos do Leste",,42,-1,-1,0,97,0,25,0,1,236759,122988,0
"Explorar todas as regiões de Kalimdor.","Explorar Kalimdor",,43,-1,-1,0,97,0,25,0,2,236807,121375,0
"Explorar todas as regiões de Terralém.","Explorar Terralém",,44,-1,-1,0,97,0,25,0,3,236813,121396,0
"Explorar todas as regiões de Nortúndria.","Explorar Nortúndria","Recompensa: Tabardo do Explorador",45,-1,-1,0,97,0,25,0,4,236812,128467,0
"Explorar Reinos do Leste, Kalimdor, Terralém e Nortúndria.","O Explorador","Título: o Explorador",46,-1,-1,0,97,0,50,0,5,237381,121984,0
"Vitórias no Vale Alterac","Vitórias no Vale Alterac",,49,30,-1,0,153,0,0,1,6,136243,128749,0
"Vitórias no Olho da Tormenta","Vitórias no Olho da Tormenta",,50,566,-1,0,153,0,0,1,10,136243,123016,0
"Vitórias na Bacia Arathi","Vitórias na Bacia Arathi",,51,529,-1,0,153,0,0,1,8,136243,123018,0
"Batalhas na Ravina Brado Guerreiro","Batalhas na Ravina Brado Guerreiro",,52,489,-1,0,153,0,0,1,13,136243,121974,0
"Batalhas no Vale Alterac","Batalhas no Vale Alterac",,53,30,-1,0,153,0,0,1,5,136243,121976,0
"Batalhas no Olho da Tormenta","Batalhas no Olho da Tormenta",,54,566,-1,0,153,0,0,1,9,136243,124476,0
"Batalhas na Bacia Arathi","Batalhas na Bacia Arathi",,55,529,-1,0,153,0,0,1,7,136243,123973,0
"Mortes na Ravina Brado Guerreiro","Mortes na Ravina Brado Guerreiro",,56,489,-1,0,124,0,0,1,3,136243,124248,0
"Mortes no Vale Alterac","Mortes no Vale Alterac",,57,30,-1,0,124,0,0,1,1,136243,123275,0
"Mortes para Drek'Thar","Mortes para Drek'Thar",,58,30,1,0,124,0,0,1,6,136243,124250,0
"Mortes na Bacia Arathi","Mortes na Bacia Arathi",,59,529,-1,0,124,0,0,1,2,136243,124851,0
"Total de mortes","Total de mortes",,60,-1,-1,0,122,0,0,1,1,136243,124407,0
"Atacar 3 bases em uma mesma batalha na Bacia Arathi.","Avaria da Bacia",,73,529,-1,0,14802,0,10,0,5,132333,127829,0
"Missões abandonadas","Missões abandonadas",,94,-1,-1,0,133,0,0,1,5,136243,123283,0
"Média de missões cumpridas por dia","Média de missões cumpridas por dia",,95,-1,-1,0,133,0,0,73,2,136243,126005,98
"Missões diárias cumpridas","Missões diárias cumpridas",,97,-1,-1,0,133,0,0,1,3,136243,127771,0
"Missões cumpridas","Missões cumpridas",,98,-1,-1,0,133,0,0,9,1,136243,122183,0
"Derrotar os chefes em Óculus.",Óculus,,487,578,-1,0,14806,0,10,0,10,236503,121647,0
"Partidas nas Ruínas de Lordaeron","Partidas nas Ruínas de Lordaeron",,99,-1,-1,0,152,0,0,1,17,136243,129940,0
"Vitórias no Ringue da Provação","Vitórias no Ringue da Provação",,100,-1,-1,0,152,0,0,1,14,136243,123056,0
"Partidas no Ringue da Provação","Partidas no Ringue da Provação",,101,-1,-1,0,152,0,0,1,13,136243,122986,0
"Vitórias nas Ruínas de Lordaeron","Vitórias nas Ruínas de Lordaeron",,102,-1,-1,0,152,0,0,1,18,136243,127443,0
"Partidas no Círculo Sangrento","Partidas no Círculo Sangrento",,103,-1,-1,0,152,0,0,1,9,136243,123285,0
"Vitórias no Círculo Sangrento","Vitórias no Círculo Sangrento",,104,-1,-1,0,152,0,0,1,10,136243,128751,0
"Vitórias na Ravina Brado Guerreiro","Vitórias na Ravina Brado Guerreiro",,105,-1,-1,0,153,0,0,1,14,136243,121932,0
"Criaturas abatidas","Criaturas abatidas",,107,-1,-1,0,135,0,0,9,1,136243,122186,0
"Bichos abatidos","Bichos abatidos",,108,-1,-1,0,135,0,0,1,4,136243,123501,0
"Chefe para 5 jogadores mais abatido de Wrath of the Lich King","Chefe de masmorras para 5 jogadores da expansão Wrath of the Lich King abatido mais vezes",,110,-1,-1,0,14807,0,0,17,14,0,128330,1467
"Mortes por afogamento","Mortes por afogamento",,112,-1,-1,0,126,0,0,1,1,136243,132274,0
"Mortes por fadiga","Mortes por fadiga",,113,-1,-1,0,126,0,0,1,3,136243,123503,0
"Mortes por queda","Mortes por queda",,114,-1,-1,0,126,0,0,1,4,136243,123075,0
"Mortes por fogo e lava","Mortes por fogo e lava",,115,-1,-1,0,126,0,0,9,5,136243,123505,0
"Tornar-se Profissional em uma profissão.","O Profissional",,116,-1,-1,0,169,1,10,0,1,134327,123508,0
"Tornar-se Cozinheiro Profissional.","Cozinheiro Profissional",,121,-1,-1,0,170,0,10,0,1,133971,125873,0
"Tornar-se Cozinheiro Perito.","Cozinheiro Perito",,122,-1,-1,121,170,0,10,0,2,133971,121924,0
"Tornar-se Cozinheiro Artífice.","Cozinheiro Artífice",,123,-1,-1,122,170,0,10,0,3,133971,127610,0
"Tornar-se Mestre Cozinheiro.","Mestre Cozinheiro",,124,-1,-1,123,170,0,10,0,4,133971,123077,0
"Tornar-se Grão-mestre Cozinheiro.","Grão-mestre Cozinheiro",,125,-1,-1,124,170,0,10,0,5,133971,123520,0
"Tornar-se Pescador Profissional.","Pescador Profissional",,126,-1,-1,0,171,0,10,0,1,136245,123522,0
"Tornar-se Pescador Perito.","Pescador Perito",,127,-1,-1,126,171,0,10,0,2,136245,121934,0
"Tornar-se Pescador Artífice.","Pescador Artífice",,128,-1,-1,127,171,0,10,0,3,136245,123704,0
"Tornar-se Mestre Pescador.","Mestre Pescador",,129,-1,-1,128,171,0,10,0,4,136245,126923,0
"Tornar-se Grão-mestre Pescador.","Grão-mestre Pescador",,130,-1,-1,129,171,0,10,0,5,136245,121926,0
"Tornar-se Profissional em Primeiros Socorros.","Socorrista Profissional",,131,-1,-1,0,172,0,10,0,1,135966,123670,0
"Tornar-se Perito em Primeiros Socorros.","Socorrista Perito",,132,-1,-1,131,172,0,10,0,2,135966,124254,0
"Tornar-se Artífice em Primeiros Socorros.","Socorrista Artífice",,133,-1,-1,132,172,0,10,0,3,135966,124256,0
"Tornar-se Mestre em Primeiros Socorros.","Mestre Socorrista",,134,-1,-1,133,172,0,10,0,4,135966,123706,0
"Tornar-se Grão-mestre em Primeiros Socorros.","Grão-mestre Socorrista",,135,-1,-1,134,172,0,10,0,5,135966,123531,0
"Criar 500 Bandagens Grossas de Friotrama.","Farmácia particular",,137,-1,-1,0,172,0,10,0,6,133674,122240,0
"Usar uma Bandagem Grossa de Friotrama para curar outro jogador ou você com menos de 5% de pontos de vida.","Bandagens pra que te quero",,141,-1,-1,0,172,0,10,0,7,134470,125433,0
"Pescar o Tocaieiro Subterrâneo na Caverna do Serpentário.","O Tocaieiro Supraterrâneo",,144,-1,-1,0,171,0,10,0,15,132107,123014,0
"Pescar alguma coisa em Orgrimmar e Ventobravo.","O diplomata pescador",,150,-1,-1,0,171,0,10,0,8,133146,121978,0
"Pescar em um cardume.","O velho gnomo e o mar",,153,-1,-1,0,171,1,10,0,6,236573,121415,0
"Vencer na Bacia Arathi.","Vitória na Bacia Arathi",,154,529,-1,0,14802,0,10,0,1,236385,123277,0
"Conquistar 100 vitórias na Bacia Arathi.","Veterano da Bacia Arathi",,155,529,-1,154,14802,0,10,0,2,236381,127324,0
"Vencer 10 partidas na Bacia Arathi controlando todas as 5 bandeiras.","Domínio territorial",,156,529,-1,0,14802,0,10,0,9,236386,123466,0
"Defender e recapturar a bandeira de uma base na Bacia Arathi 50 vezes.","Ao resgate!",,157,529,-1,0,14802,0,10,0,7,132365,126804,0
"Tomar 50 bandeiras na Bacia Arathi.","Capitão Captura",,158,529,-1,0,14802,0,10,0,4,236373,124099,0
"Vencer na Bacia Arathi em no máximo 6 minutos.","Vamos acabar logo com isso",,159,529,-1,0,14802,0,10,0,10,236387,124101,0
"Vencer uma batalha na Bacia Arathi superando uma desvantagem de 500 recursos.","Vitória resiliente",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Vencer na Bacia Arathi por 10 pontos de diferença (1600 a 1590).","Meus movimentos são friamente calculados",,162,529,-1,0,14802,0,10,0,11,136165,124759,0
"Vencer na Bacia Arathi com um placar de 1600 a 0.","Perfeição da Bacia Arathi",,165,529,-1,0,14802,0,20,0,3,236348,121665,0
"Vencer na Ravina Brado Guerreiro.","Vitória na Ravina Brado Guerreiro",,166,489,-1,0,14804,0,10,0,1,236396,121667,0
"Conquistar 100 vitórias na Ravina Brado Guerreiro.","Veterano da Ravina Brado Guerreiro",,167,489,-1,166,14804,0,10,0,2,236384,122230,0
"Vencer na Ravina Brado Guerreiro com um placar de 3 a 0.","Perfeição da Ravina Brado Guerreiro",,168,489,-1,0,14804,0,10,0,8,236397,132664,0
"Fórmulas de encantamento conhecidas","Fórmulas de encantamento conhecidas",,178,-1,-1,0,173,0,0,1,6,136243,121981,0
"Itens desencantados","Itens desencantados",,181,-1,-1,0,173,0,0,1,8,136243,124252,0
"Materiais obtidos via desencantamentos","Materiais obtidos via desencantamentos",,183,-1,-1,0,173,0,0,1,7,136243,129942,0
"Cura mais forte lançada","Cura mais forte lançada",,189,-1,-1,0,141,0,0,1,5,0,122232,0
"Golpe mais forte desferido","Golpe mais forte desferido",,193,-1,-1,0,141,0,0,1,1,0,122234,0
"Total de dano causado","Total de dano causado",,197,-1,-1,0,141,0,0,1,3,0,127441,0
"Total de pontos de vida curados","Total de pontos de vida curados",,198,-1,-1,0,141,0,0,1,7,0,121939,0
"Transportar e capturar pessoalmente a bandeira na Ravina Brado Guerreiro.","Capturar a bandeira",,199,489,-1,0,14804,0,10,0,3,236350,127330,0
"Recuperar 50 bandeiras na Ravina Brado Guerreiro.","Defensor persistente",,200,489,-1,0,14804,0,10,0,4,236355,121928,0
"Vencer na Ravina Brado Guerreiro em no máximo 7 minutos.","Domínio da Ravina",,201,489,-1,0,14804,0,10,0,9,236398,128594,0
"Pegar a bandeira e capturá-la em no máximo 75 segundos.","Ándale! Ándale!",,202,489,1,0,14804,0,10,0,16,236353,121915,0
"Em uma mesma batalha na Ravina Brado Guerreiro, abater 2 portadores da bandeira antes que eles saiam da Sala da Bandeira Asa de Prata.","Aqui não!",,203,489,1,0,14804,0,10,0,14,236362,124561,0
"Em uma mesma batalha da Ravina Brado Guerreiro, carregar e capturar a bandeira 3 vezes sem morrer.","Homem de Ferro",,204,489,-1,0,14804,0,10,0,10,236344,125153,0
"Abater 100 portadores da bandeira na Ravina Brado Guerreiro.","Defensor Supremo",,206,489,1,0,14804,0,10,0,6,236360,123493,0
"Abater o inimigo que estiver carregando a bandeira da sua equipe dentro da base adversária e enquanto a bandeira inimiga estiver nesta mesma base inimiga.","Salvar o dia",,207,489,-1,0,14804,1,10,0,18,132308,125181,0
"Vencer no Olho da Tormenta.","Vitória no Olho da Tormenta",,208,566,-1,0,14803,0,10,0,1,236392,121714,0
"Conquistar 100 vitórias no Olho da Tormenta.","Veterano do Olho da Tormenta",,209,566,-1,208,14803,0,10,0,2,236383,121716,0
"Pegar e capturar pessoalmente a bandeira no Olho da Tormenta enquanto a sua equipe controla as 4 bases.","Tempo de glória",,211,566,-1,0,14803,0,10,0,12,236354,121718,0
"Pegar e capturar a bandeira no Olho da Tormenta.","Deixa comigo!",,212,566,-1,0,14803,0,10,0,7,236349,126970,0
"Abater 5 carregadores da bandeira em uma mesma batalha no Olho da Tormenta.","Soldado de Assalto",,213,566,-1,0,14803,0,10,0,6,236359,125246,0
"Vencer no Olho da Tormenta em no máximo 6 minutos.",Rajada,,214,566,-1,0,14803,0,10,0,5,236393,123380,0
"Capturar a bandeira 3 vezes sem morrer em uma mesma batalha no Olho da Tormenta.","Destinado à glória",,216,566,-1,0,14803,0,10,0,8,135739,127732,0
"Vencer no Vale Alterac.","Vitória no Vale Alterac",,218,30,-1,0,14801,0,10,0,1,236388,127320,0
"Conquistar 100 vitórias no Vale Alterac.","Veterano do Vale Alterac",,219,30,-1,218,14801,0,10,0,2,236382,127322,0
"Vencer no Vale Alterac sem perder uma torre ou um capitão. Você tem que controlar todas as torres da Horda.","Perfeição de Lançatroz",,220,30,1,0,14801,0,20,0,11,133431,124853,0
"Tomar 50 cemitérios no Vale Alterac.","Ladrão de Sepulturas de Alterac",,221,30,-1,0,14801,0,10,0,3,236399,121895,0
"Defender 50 torres no Vale Alterac.","Defender a torre",,222,30,-1,0,14801,0,10,0,4,236351,121897,0
"No Vale Alterac, abater um jogador no Campo de Disputa antes que ele desmonte.","A gazela doente",,223,30,-1,0,14801,0,10,0,10,236361,123668,0
"No Vale Alterac, abater 50 jogadores inimigos no Salão do Lobo do Gelo.","Defensor Leal",,224,30,0,0,14801,0,10,0,5,236368,127734,0
"Vencer no Vale Alterac enquanto a sua equipe controla ambas as minas.","Aquela mina? Já peguei!",,225,30,1,0,14801,0,10,0,7,236389,124864,0
"Vencer no Vale Alterac em no máximo 6 minutos.","Alterac relâmpago",,226,30,-1,0,14801,0,20,0,9,236390,126949,0
"Causar 300.000 de dano ou cura em uma única batalha em qualquer campo de batalha. A cura e o dano devem ser causados a um jogador.","Controle de danos",,227,-1,-1,0,95,1,10,0,39,236374,122154,0
"Alcançar um total de 30 Jogadores Abatidos Honrosamente em uma única partida em qualquer campo de batalha.","O anjo da morte",,229,-1,-1,0,95,1,10,0,34,136177,124563,0
"Obter as conquistas de campo de batalha listadas abaixo.","Mestre de Batalha","Título: Mestre de Batalha",230,-1,1,0,95,0,50,0,43,236591,127514,0
"Desferir 20 golpes fatais sem morrer em uma única partida em qualquer campo de batalha.","O exterminador",,231,-1,-1,0,95,1,10,16,40,132364,121323,0
"Desferir um golpe fatal sob efeito do bônus berserk no Olho da Tormenta.","Berserker sanguinário",,233,566,-1,0,14803,0,10,0,11,136012,124230,0
"Abater um jogador honrosamente.","Abate honroso",,238,-1,-1,0,95,0,10,0,1,236647,124429,0
"Alcançar um total de 25.000 jogadores abatidos honrosamente.","25.000 jogadores abatidos honrosamente",,239,-1,-1,509,95,0,10,0,7,236657,124431,0
"Desferir um golpe fatal honroso em cada uma das classes.","Golpes de classe",,245,-1,-1,0,95,0,10,0,11,132092,123851,0
"Desferir um golpe fatal honroso em cinco raças diferentes.","Conhece teu inimigo",,246,-1,1,0,95,0,10,0,12,132155,127831,0
"Usar a expressão /abraçar em um inimigo morto antes que ele libere o corpo.","Faça amor, não faça guerra",,247,-1,-1,0,95,0,10,0,14,135767,125261,0
"Encontre uma Camisa Branca de Smoking e uma Calça Preta de Smoking abrindo os Ovos Coloridos Brilhantes durante a comemoração do Jardinova.","Traje de domingo",,248,-1,-1,0,159,0,10,0,4,135012,126292,0
"Encontrar um Vestido Elegante abrindo os Ovos Coloridos Brilhantes durante a comemoração do Jardinova.","Olha que vestido lindo!",,249,-1,-1,0,159,0,10,0,5,132645,126802,0
"Alcançar um total de 50 Jogadores Abatidos Honrosamente enquanto transformado em um Ajudante do Papai Inverno pela máquina Voltímato de Inverno.","Um ajudante invernal",,252,-1,-1,0,156,0,10,136,2,236703,125839,0
"Matar o Cavaleiro Sem Cabeça.","Traga-me a cabeça do...ah, esquece!",,255,-1,-1,0,158,0,10,0,3,134015,121889,0
"Jogar uma bola de neve em Caerne Casco Sangrento durante a Festa do Véu de Inverno.","Guerra fria",,259,-1,0,0,156,1,10,0,3,132387,121371,0
"Criar 12 Pulseira de Patuás Adoráveis.",Encantador,,260,-1,-1,0,187,0,10,0,2,133334,123330,0
"Matar Ahune no Pátio dos Escravos.","Congelando o senhor do gelo",,263,-1,-1,0,161,1,10,0,1,135861,125253,0
"Dançar na ciranda da fita por 60 segundos vestindo o conjunto de solstício completo.","Mais quente que lambada",,271,-1,-1,0,161,0,10,0,2,236216,125563,0
"Fazer malabarismo com 40 tochas em 15 segundos em Dalaran, Ventobravo, Altaforja, Orgrimmar ou Cidade Baixa.","Malabarista de tochas",,272,-1,-1,0,161,0,10,0,20,135433,124592,0
"Salvar Metzen, a Rena.","Corra, Metzen, Corra",,273,-1,-1,0,156,1,10,0,1,236707,121351,0
"Obter o Ovo de Egberto, Júnior Dorminhoco e a Coleira de Treinamento de Elekk com um mesmo personagem.","Uma babá quase perfeita",,275,-1,-1,0,163,0,50,0,7,134505,126919,0
"Durante a Festa do Véu de Inverno, vestir 3 peças de roupa do evento e comer um Bolo de Frutas com Carne Moída do Gracco.","Emoção de Véu de Inverno",,277,-1,-1,0,156,0,10,0,6,132934,127794,0
"Cumprir a missão para recuperar as gostosuras roubadas da Fazenda Bosque Defumado e receber um Agradecimento da Fazenda Bosque Defumado.","Simplesmente abominável!",,279,-1,-1,0,156,1,10,0,8,133170,131941,0
"Nível de Primeiros Socorros","Nível de Primeiros Socorros",,281,-1,-1,0,178,0,0,1,5,136243,123332,0
"Ser transformado pelas Varinhas Feiticeiras listadas abaixo.","Baile de máscaras",,283,-1,-1,0,158,0,10,0,12,236548,126093,0
"Obter as 20 Máscaras Frágeis listadas abaixo.","Máscaras para todas as ocasiões",,284,-1,-1,0,158,0,20,0,6,133567,127773,0
"Comer Gostosuras Travessas até adquirir a penalidade Distúrbio Estomacal.","Chama o Hugo!",,288,-1,-1,0,158,0,10,0,2,136182,128703,0
"Cumprir uma das missões para salvar uma aldeia do Cavaleiro Sem Cabeça.","O salvador de Noturnália",,289,-1,-1,0,158,1,10,0,4,236545,124872,0
"Usar a Lanterna de Abóbora com Peso para colocar cabeças de abóboras em cada uma das raças listadas abaixo.",Cabeção,,291,-1,-1,0,158,0,10,0,11,133661,121461,0
"Obter a mascote Aboborito Sinistro e um Elmo Assombrado.","Chamado Sinistro",,292,-1,-1,0,158,0,10,0,13,236547,121878,0
"Dançar completamente bêbado em Dalaran vestindo 3 peças de roupa da CervaFest.","Vandalizando Dalaran",,293,571,-1,0,162,0,10,0,10,133696,123066,0
"Matar Coren Cervatroz.",CervatrozFest,,295,230,-1,0,162,0,10,0,8,134159,125135,0
"Obter uma montaria da CervaFest ou transformar uma das suas montarias em uma montaria da CervaFest usando um Lúpulo Fresco.","Se beber, não dirija",,303,-1,-1,0,162,1,10,0,11,132620,126851,0
"Vencer o torneio de pesca da Angra do Butim ou o Campeonato de Pesca dos Kalu'ak.","Mestre Pescador de Azeroth",,306,-1,-1,0,171,1,20,0,9,133892,126797,0
,"Número de vezes que foi morto pela facção inimiga",,318,-1,-1,0,21,0,0,1,2,136243,125881,0
"Duelos vencidos","Duelos vencidos",,319,-1,-1,0,154,0,0,1,1,136243,127439,0
"Duelos perdidos","Duelos perdidos",,320,-1,-1,0,154,0,0,1,2,136243,121472,0
"Total de mortes em raides e masmorras","Total de mortes em raides e masmorras",,321,-1,-1,0,125,0,0,9,1,0,124571,0
"Total de mortes para chefes das masmorras de Wrath of the Lich King","Total de mortes para chefes das masmorras da expansão Wrath of the Lich King",,322,-1,-1,0,125,0,0,9,6,0,124294,0
"Total de mortes para chefes dos raides de 10 jogadores de Wrath of the Lich King","Total de mortes para chefes das raides de 10 jogadores da expansão Wrath of the Lich King",,323,-1,-1,0,125,0,0,9,8,0,126559,0
"Total de mortes para chefes dos raides de 25 jogadores de Wrath of the Lich King","Total de mortes para chefes das raides de 25 jogadores da expansão Wrath of the Lich King",,324,-1,-1,0,125,0,0,9,10,0,121474,0
"Total de peças de ouro recebidas como recompensa de missões","Total de peças de ouro recebidas como recompensa de missões",,326,-1,-1,0,140,0,0,1,4,136243,128216,0
"Total de peças de ouro obtidas","Total de peças de ouro obtidas",,328,-1,-1,0,140,0,0,9,1,136243,124219,0
