Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Достигните 10-го уровня.","10-й уровень",,6,-1,-1,0,92,0,10,4,1,236562,123267,0
"Достигните 20-го уровня.","20-й уровень",,7,-1,-1,6,92,0,10,4,2,236563,121532,0
"Достигните 30-го уровня.","30-й уровень",,8,-1,-1,7,92,0,10,4,3,236564,123265,0
"Достигните 40-го уровня.","40-й уровень",,9,-1,-1,8,92,0,10,4,4,236565,122984,0
"Достигните 50-го уровня.","50-й уровень",,10,-1,-1,9,92,0,10,4,5,236566,123269,0
"Достигните 60-го уровня.","60-й уровень",,11,-1,-1,10,92,0,10,4,6,236567,123271,0
"Достигните 70-го уровня.","70-й уровень",,12,-1,-1,11,92,0,10,4,7,236568,123273,0
"Достигните 80-го уровня.","80-й уровень",,13,-1,-1,12,92,0,10,4,8,236569,122008,0
"Соберите 15 различных питомцев.","Дружеская толпа",,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
"Доведите свой навык рукопашного боя до 400.","Кому зуботычину?",,16,-1,-1,0,92,0,10,0,10,132356,125879,0
"Выполняйте ежедневное задание в течение пяти дней.","Простой рецепт",,31,-1,-1,0,96,0,10,0,14,236680,122242,0
"Выполните 2000 заданий.","2000 заданий",,32,-1,-1,508,96,0,10,0,7,236670,122244,0
"Выполните 130 заданий в Борейской тундре.","Борьба в Борейщине",,33,-1,1,0,14863,0,10,136,1,236728,121404,0
"Выполните 130 заданий в Ревущем фьорде.","Покорение фьордов",,34,-1,1,0,14863,0,10,0,3,236787,125877,0
"Выполните 115 заданий в Драконьем Погосте.","Кости на погосте",,35,-1,1,0,14863,0,10,0,5,236749,121407,0
"Выполните 100 заданий в Зул'Драке.","Империя Зул'Драк",,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
"Выполните 85 заданий в Седых холмах.","Седые холмы, густые леса",,37,-1,1,0,14863,0,10,0,7,236772,125875,0
"Выполните 100 заданий в Грозовой Гряде.","Верховья Грозовой Гряды",,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
"Выполните 75 заданий в Низине Шолазар.","В Низину",,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
"Выполните 140 заданий в Ледяной Короне.","Цель – Ледяная Корона",,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
"Добейтесь указанных ниже достижений в Нордсколе.","Хранитель мудрости Нордскола",,41,-1,1,0,14863,0,10,0,21,236812,127762,0
