Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
升到10级。,10级,,6,-1,-1,0,92,0,10,4,1,236562,123267,0
升到20级。,20级,,7,-1,-1,6,92,0,10,4,2,236563,121532,0
升到30级。,30级,,8,-1,-1,7,92,0,10,4,3,236564,123265,0
升到40级。,40级,,9,-1,-1,8,92,0,10,4,4,236565,122984,0
升到50级。,50级,,10,-1,-1,9,92,0,10,4,5,236566,123269,0
升到60级。,60级,,11,-1,-1,10,92,0,10,4,6,236567,123271,0
升到70级。,70级,,12,-1,-1,11,92,0,10,4,7,236568,123273,0
升到80级。,80级,,13,-1,-1,12,92,0,10,4,8,236569,122008,0
收集15种不同的小宠物。,宠物成群,,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
徒手技能达到400。,有人想吃一拳吗？,,16,-1,-1,0,92,0,10,0,10,132356,125879,0
连续5天，每天完成一个日常任务。,简单日常任务,,31,-1,-1,0,96,0,10,0,14,236680,122242,0
完成2000个任务。,完成2000个任务,,32,-1,-1,508,96,0,10,0,7,236670,122244,0
在北风苔原完成130个任务。,这个苔原不太远,,33,-1,1,0,14863,0,10,136,1,236728,121404,0
在嚎风峡湾完成130个任务。,峡湾巡游,,34,-1,1,0,14863,0,10,0,3,236787,125877,0
在龙骨荒野完成115个任务。,龙骨荒野之力,,35,-1,1,0,14863,0,10,0,5,236749,121407,0
在祖达克完成100个任务。,祖达克帝国,,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
在灰熊丘陵完成85个任务。,欢迎来到灰熊丘陵,,37,-1,1,0,14863,0,10,0,7,236772,125875,0
在风暴峭壁完成100个任务。,风暴峭壁之巅,,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
在索拉查盆地完成75个任务。,进入盆地,,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
在冰冠冰川完成140个任务。,冰冠冰川：终极目标,,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
完成下列诺森德任务成就。,诺森德的博学者,,41,-1,1,0,14863,0,10,0,21,236812,127762,0
探索东部王国的各个区域。,探索东部王国,,42,-1,-1,0,97,0,25,0,1,236759,122988,0
探索卡利姆多的各个区域。,探索卡利姆多,,43,-1,-1,0,97,0,25,0,2,236807,121375,0
探索外域的各个区域。,探索外域,,44,-1,-1,0,97,0,25,0,3,236813,121396,0
探索诺森德的各个区域。,探索诺森德,奖励：探索者战袍,45,-1,-1,0,97,0,25,0,4,236812,128467,0
