Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
達到10級。,10級,,6,-1,-1,0,92,0,10,4,1,236562,123267,0
達到20級。,20級,,7,-1,-1,6,92,0,10,4,2,236563,121532,0
達到30級。,30級,,8,-1,-1,7,92,0,10,4,3,236564,123265,0
達到40級。,40級,,9,-1,-1,8,92,0,10,4,4,236565,122984,0
達到50級。,50級,,10,-1,-1,9,92,0,10,4,5,236566,123269,0
達到60級。,60級,,11,-1,-1,10,92,0,10,4,6,236567,123271,0
達到70級。,70級,,12,-1,-1,11,92,0,10,4,7,236568,123273,0
達到80級。,80級,,13,-1,-1,12,92,0,10,4,8,236569,122008,0
收集15個不同的寵物夥伴。,一堆寵物,,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
徒手戰鬥技能提升至400點。,誰點了砂鍋大的拳頭?,,16,-1,-1,0,92,0,10,0,10,132356,125879,0
連續五天，每天完成一個每日任務。,簡單的重複任務,,31,-1,-1,0,96,0,10,0,14,236680,122242,0
完成2000個任務。,2000個任務完成,,32,-1,-1,508,96,0,10,0,7,236670,122244,0
在北風凍原完成130個任務。,凍原一點都不冷,,33,-1,1,0,14863,0,10,136,1,236728,121404,0
在凜風峽灣完成130個任務。,我玩遍了峽灣,,34,-1,1,0,14863,0,10,0,3,236787,125877,0
在龍骨荒野完成115個任務。,龍骨荒野之力,,35,-1,1,0,14863,0,10,0,5,236749,121407,0
在祖爾德拉克完成100個任務。,祖爾德拉克帝國,,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
在灰白之丘完成85個任務。,灰白之丘是我家後花園,,37,-1,1,0,14863,0,10,0,7,236772,125875,0
在風暴群山完成100個任務。,風暴群山之顛,,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
在休拉薩盆地完成75個任務。,深入盆地,,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
在寒冰皇冠完成140個任務。,寒冰皇冠:最終目標,,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
完成下列的北裂境任務。,北裂境博學大師,,41,-1,1,0,14863,0,10,0,21,236812,127762,0
探索東部王國所有區域。,探索東部王國,,42,-1,-1,0,97,0,25,0,1,236759,122988,0
探索卡林多所有區域。,探索卡林多,,43,-1,-1,0,97,0,25,0,2,236807,121375,0
探索外域所有區域。,探索外域,,44,-1,-1,0,97,0,25,0,3,236813,121396,0
探索北裂境所有區域。,探索北裂境,獎勵:探險者外袍,45,-1,-1,0,97,0,25,0,4,236812,128467,0
探索東部王國、卡林多、外域與北裂境。,世界探險家,頭銜獎勵:探險家,46,-1,-1,0,97,0,50,0,5,237381,121984,0
奧特蘭克山谷獲勝次數,奧特蘭克山谷獲勝次數,,49,30,-1,0,153,0,0,1,6,136243,128749,0
暴風之眼獲勝次數,暴風之眼獲勝次數,,50,566,-1,0,153,0,0,1,10,136243,123016,0
阿拉希盆地獲勝次數,阿拉希盆地獲勝次數,,51,529,-1,0,153,0,0,1,8,136243,123018,0
參與戰歌峽谷戰場次數,參與戰歌峽谷戰場次數,,52,489,-1,0,153,0,0,1,13,136243,121974,0
參與奧特蘭克山谷戰場次數,參與奧特蘭克山谷戰場次數,,53,30,-1,0,153,0,0,1,5,136243,121976,0
參與暴風之眼戰場次數,參與暴風之眼戰場次數,,54,566,-1,0,153,0,0,1,9,136243,124476,0
參與阿拉希盆地戰場次數,參與阿拉希盆地戰場次數,,55,529,-1,0,153,0,0,1,7,136243,123973,0
戰歌峽谷中的死亡次數,戰歌峽谷中的死亡次數,,56,489,-1,0,124,0,0,1,3,136243,124248,0
奧特蘭克山谷中的死亡次數,奧特蘭克山谷中的死亡次數,,57,30,-1,0,124,0,0,1,1,136243,123275,0
死於德雷克塔爾的次數,死於德雷克塔爾的次數,,58,30,1,0,124,0,0,1,6,136243,124250,0
阿拉希盆地中的死亡次數,阿拉希盆地中的死亡次數,,59,529,-1,0,124,0,0,1,2,136243,124851,0
死亡總數,死亡總數,,60,-1,-1,0,122,0,0,1,1,136243,124407,0
在單場阿拉希盆地戰鬥中突襲3個基地。,使盆地蒙羞,,73,529,-1,0,14802,0,10,0,5,132333,127829,0
放棄的任務數,放棄的任務數,,94,-1,-1,0,133,0,0,1,5,136243,123283,0
平均一天完成的任務數,平均一天完成的任務數,,95,-1,-1,0,133,0,0,73,2,136243,126005,98
每日任務完成數,每日任務完成數,,97,-1,-1,0,133,0,0,1,3,136243,127771,0
完成的任務,完成的任務,,98,-1,-1,0,133,0,0,9,1,136243,122183,0
參與羅德隆廢墟賽事次數,參與羅德隆廢墟賽事次數,,99,-1,-1,0,152,0,0,1,17,136243,129940,0
試煉競技場獲勝次數,試煉競技場獲勝次數,,100,-1,-1,0,152,0,0,1,14,136243,123056,0
參與試煉競技場賽事次數,參與試煉競技場賽事次數,,101,-1,-1,0,152,0,0,1,13,136243,122986,0
羅德隆廢墟獲勝次數,羅德隆廢墟獲勝次數,,102,-1,-1,0,152,0,0,1,18,136243,127443,0
參與血之環賽事次數,參與血之環賽事次數,,103,-1,-1,0,152,0,0,1,9,136243,123285,0
血之環獲勝次數,血之環獲勝次數,,104,-1,-1,0,152,0,0,1,10,136243,128751,0
戰歌峽谷獲勝次數,戰歌峽谷獲勝次數,,105,-1,-1,0,153,0,0,1,14,136243,121932,0
曾擊殺的生物數,曾擊殺的生物數,,107,-1,-1,0,135,0,0,9,1,136243,122186,0
曾擊殺的小動物數,曾擊殺的小動物數,,108,-1,-1,0,135,0,0,1,4,136243,123501,0
擊殺最多次的巫妖王之怒5人首領,擊殺最多次的巫妖王之怒5人首領,,110,-1,-1,0,14807,0,0,17,14,0,128330,1467
溺水致死次數,溺水致死次數,,112,-1,-1,0,126,0,0,1,1,136243,132274,0
疲倦致死,疲倦致死,,113,-1,-1,0,126,0,0,1,3,136243,123503,0
掉落致死,掉落致死,,114,-1,-1,0,126,0,0,1,4,136243,123075,0
死於火焰與熔岩的次數,死於火焰與熔岩的次數,,115,-1,-1,0,126,0,0,9,5,136243,123505,0
習得一種中級專業技能。,專業中級職人,,116,-1,-1,0,169,1,10,0,1,134327,123508,0
習得中級烹飪技能。,中級廚師,,121,-1,-1,0,170,0,10,0,1,133971,125873,0
習得高級烹飪技能。,高級廚師,,122,-1,-1,121,170,0,10,0,2,133971,121924,0
習得專家級烹飪技能。,專家級廚師,,123,-1,-1,122,170,0,10,0,3,133971,127610,0
習得大師級烹飪技能。,大師級廚師,,124,-1,-1,123,170,0,10,0,4,133971,123077,0
習得宗師級烹飪技能。,宗師級廚師,,125,-1,-1,124,170,0,10,0,5,133971,123520,0
習得中級釣魚技能。,中級漁夫,,126,-1,-1,0,171,0,10,0,1,136245,123522,0
習得高級釣魚技能。,高級漁夫,,127,-1,-1,126,171,0,10,0,2,136245,121934,0
習得專家級釣魚技能。,專家級漁夫,,128,-1,-1,127,171,0,10,0,3,136245,123704,0
習得大師級釣魚技能。,大師級漁夫,,129,-1,-1,128,171,0,10,0,4,136245,126923,0
