Name_lang,ID,Parent,Ui_order
통계,1,-1,1
"플레이어 대 플레이어",21,1,10
위업,81,-1,11
일반,92,-1,2
"플레이어 대 플레이어",95,-1,6
퀘스트,96,-1,4
탐험,97,-1,5
죽음,122,1,4
투기장,123,122,1
전장,124,122,2
던전,125,122,3
야외,126,122,4
부활,127,122,5
처치,128,1,3
캐릭터,130,1,1
커뮤니티,131,1,9
숙련도,132,1,7
퀘스트,133,1,5
여행,134,1,8
몬스터,135,128,1
"명예 승수",136,128,2
결정타,137,128,3
재산,140,130,1
전투,141,1,2
소모품,145,130,2
평판,147,130,3
"본선 전투",152,21,1
전장,153,21,2
야외,154,21,3
이벤트,155,-1,10
"겨울맞이 축제",156,155,9
"할로윈 축제",158,155,7
"귀족의 정원",159,155,3
"달의 축제",160,155,1
"한여름 축제",161,155,5
"가을 축제",162,155,6
"어린이 주간",163,155,4
투기장,165,95,1
"던전 및 공격대",168,-1,7
"전문 기술",169,-1,8
요리,170,169,1
낚시,171,169,2
응급치료,172,169,3
"전문 기술",173,132,2
"보조 기술",178,132,1
"온누리에 사랑을",187,155,2
장비,191,130,4
평판,201,-1,9
"동부 왕국",14777,97,1
칼림도어,14778,97,2
아웃랜드,14779,97,3
노스렌드,14780,97,4
"알터랙 계곡",14801,95,2
"아라시 분지",14802,95,3
"폭풍의 눈",14803,95,4
"전쟁노래 협곡",14804,95,5
"불타는 성전",14805,168,2
"리치 왕 던전",14806,168,3
"던전 및 공격대",14807,1,6
오리지널,14808,168,1
오리지널,14821,14807,1
"불타는 성전",14822,14807,2
"리치 왕의 분노",14823,14807,3
오리지널,14861,96,1
"불타는 성전",14862,96,2
"리치 왕의 분노",14863,96,3
오리지널,14864,201,1
"불타는 성전",14865,201,2
"리치 왕의 분노",14866,201,3
"고대의 해안",14881,95,6
겨울손아귀,14901,95,7
"리치 왕 영웅 던전",14921,168,4
"리치 왕 10인 공격대",14922,168,5
"리치 왕 25인 공격대",14923,168,6
"은빛십자군 마상시합",14941,155,10
"울두아르의 비밀 10인 공격대",14961,168,7
"울두아르의 비밀 25인 공격대",14962,168,8
"울두아르의 비밀",14963,14807,4
"순례자의 감사절",14981,155,8
"십자군의 부름 10인 공격대",15001,168,9
"십자군의 부름 25인 공격대",15002,168,10
"정복의 섬",15003,95,8
"십자군의 부름",15021,14807,5
"리치 왕의 몰락 10인 공격대",15041,168,11
"리치 왕의 몰락 25인 공격대",15042,168,12
"리치 왕의 몰락",15062,14807,6
"불타는 성전 클래식",15452,-1,3
