Name_lang,ID,Parent,Ui_order
統計,1,-1,1
玩家對玩家,21,1,10
偉業,81,-1,11
一般,92,-1,2
玩家對玩家,95,-1,6
任務,96,-1,4
探索,97,-1,5
死亡,122,1,4
競技場,123,122,1
戰場,124,122,2
地城,125,122,3
世界,126,122,4
復活,127,122,5
擊殺數,128,1,3
角色,130,1,1
社交,131,1,9
技能,132,1,7
任務,133,1,5
旅行,134,1,8
生物,135,128,1
榮譽擊殺,136,128,2
最後一擊,137,128,3
財富,140,130,1
戰鬥,141,1,2
消耗品,145,130,2
聲望,147,130,3
競技場積分賽,152,21,1
戰場,153,21,2
世界,154,21,3
世界事件,155,-1,10
冬幕節,156,155,9
萬鬼節,158,155,7
貴族花園,159,155,3
新年節慶,160,155,1
仲夏節,161,155,5
啤酒節,162,155,6
兒童週,163,155,4
競技場,165,95,1
地城與團隊,168,-1,7
專業技能,169,-1,8
烹飪,170,169,1
釣魚,171,169,2
急救,172,169,3
專業技能,173,132,2
次要技能,178,132,1
愛就在身邊,187,155,2
裝備,191,130,4
聲望,201,-1,9
東部王國,14777,97,1
卡林多,14778,97,2
外域,14779,97,3
北裂境,14780,97,4
奧特蘭克山谷,14801,95,2
阿拉希盆地,14802,95,3
暴風之眼,14803,95,4
戰歌峽谷,14804,95,5
燃燒的遠征,14805,168,2
巫妖王之怒地城,14806,168,3
地城與團隊,14807,1,6
艾澤拉斯,14808,168,1
艾澤拉斯,14821,14807,1
燃燒的遠征,14822,14807,2
巫妖王之怒,14823,14807,3
艾澤拉斯,14861,96,1
燃燒的遠征,14862,96,2
巫妖王之怒,14863,96,3
艾澤拉斯,14864,201,1
燃燒的遠征,14865,201,2
巫妖王之怒,14866,201,3
遠祖灘頭,14881,95,6
冬握湖,14901,95,7
巫妖王之怒英雄模式,14921,168,4
巫妖王10人團隊,14922,168,5
巫妖王25人團隊,14923,168,6
銀白聯賽,14941,155,10
奧杜亞的秘密10人團隊,14961,168,7
奧杜亞的秘密25人團隊,14962,168,8
奧杜亞的秘密,14963,14807,4
旅人豐年祭,14981,155,8
十字軍的呼喚10人團隊,15001,168,9
十字軍的呼喚25人團隊,15002,168,10
征服之島,15003,95,8
十字軍的呼喚,15021,14807,5
王者的殞落10人團隊,15041,168,11
王者的殞落25人團隊,15042,168,12
王者的殞落,15062,14807,6
燃燒的遠征經典版,15452,-1,3
