ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"Höchster je besessener Goldbetrag:",2,0,0,4224,0,8
23,"Duelle verloren",22,0,0,3630,0,0
147,Entzauberungsgegenstände,146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,Kil'jaeden,152,1,0,3261,0,2
154,"Krone von Dath'Remar",152,1,0,4648,23,2
155,"Helm der arkanen Reinheit",152,1,0,4650,25,2
156,"Maske des Furorjägers",152,1,0,4652,27,2
157,"Apolyon, der Seelenspalter",152,1,0,4597,1,2
158,"Umhang der unverzeihlichen Sünde",152,1,0,4599,3,2
159,"Helmkappe Allerias",152,1,0,4600,4,2
160,"Gugel von Gul'dan",152,1,0,4602,6,2
161,"Krone von Anasterian",152,1,0,4604,8,2
162,"Krux der Apokalypse",152,1,0,4605,9,2
163,"Hammer der Weihung",152,1,0,4609,13,2
164,"Handschützer des Morgens",152,1,0,4612,16,2
165,"Helm der lodernden Rechtschaffenheit",152,1,0,4613,17,2
166,Sonnenfackel,152,1,0,4614,18,2
167,"Thalassische Waldläuferstulpen",152,1,0,4616,20,2
168,"Helm der Entschlossenheit Uthers",152,1,0,4651,26,2
169,"Haube des Doppelzüngigen",152,1,0,4607,11,2
170,"Bedeckung von Ursol dem Weisen",152,1,0,4601,5,2
171,"Kragen des Schwarzkünstlers",152,1,0,4606,10,2
172,"Zerlumptes Cape von Antonidas",152,1,0,4615,19,2
173,"Handschützer der entweihten Welten",152,1,0,4611,15,2
174,"Tuch von Häuptling Ner'zhul",152,1,0,4653,28,2
175,"Goldener Stab der Sin'dorei",152,1,0,4608,12,2
176,"Hand des Betrügers",152,1,0,4610,14,2
178,"Bedeckung von Ursoc dem Mächtigen",152,1,0,4647,22,2
179,"Handschuhe von Tyris Macht",152,1,0,4649,24,2
180,"Schmerzenshandschutz des Grenzlandes",152,1,0,4598,2,2
181,"Gugel des reinen Lichtes",152,1,0,4603,7,2
189,"Den Titel 'Rachsüchtiger Gladiator' errungen.",0,0,4,0,0,0
190,"Rachsüchtiger Gladiator",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"Tiere wiederbelebt (Stufe 7)",195,1,0,3815,1,0
197,"Tier wiederbeleben (Stufe 5)",195,0,0,4979,3,0
198,"Tier wiederbeleben (Stufe 4)",195,0,0,4980,4,0
199,"Tier wiederbeleben (Stufe 2)",195,0,0,4982,6,0
200,"Tier wiederbeleben (Stufe 6)",195,0,0,4978,2,0
201,"Tier wiederbeleben (Stufe 1)",195,0,0,4983,7,0
202,"Tier wiederbeleben (Stufe 3)",195,0,0,4981,5,0
211,"Keli'dan der Zerstörer",210,1,0,3239,1,0
249,"Das Schicksal des Königreichs",248,1,0,4262,2,2
250,"Die königliche Rettung",248,1,0,4263,3,2
251,"Imperator Dagran Thaurissan",248,1,0,3266,1,2
259,Balnazzar,257,1,0,550,0,0
262,Aeonus,261,1,0,3247,1,0
265,"Höchstes Gebot bei Auktionen",264,0,0,4222,1,8
274,"Prinz Malchezaar",273,1,0,3254,1,0
277,"Häuptling Ukorz Sandskalp",276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,"Elixier der Löwenstärke",285,0,0,4370,42,0
287,"Elixier der erheblichen Beweglichkeit",285,0,0,4371,43,0
288,"Elixier der erheblichen Verteidigung",285,0,0,4372,44,0
289,"Elixier des erheblichen Magierbluts",285,0,0,4376,48,0
290,"Elixier der erheblichen Schattenmacht",285,0,0,4377,49,0
291,"Elixier der mächtigen Verteidigung",285,0,0,4381,53,0
292,"Großes Arkanelixier",285,0,0,4402,74,0
293,"Gemahlene Skorpokinhaltsstoffprobe",285,0,0,4403,75,0
294,"Elixier der Weisheit",285,0,0,4395,67,0
295,"Elixier des Mungos",285,0,0,4396,68,0
296,"Elixier der Teufelsstärke",285,0,0,4399,71,0
297,"Arthas' Gabe",285,0,0,4400,72,0
298,Blutbeerenelixier,285,0,0,4342,14,0
299,"Elixier der Untotenentdeckung",285,0,0,4353,25,0
300,"Elixier des Riesenwuchses",285,0,0,4360,32,0
301,"Elixier der großen Beweglichkeit",285,0,0,4362,34,0
302,"Arkanes Elixier",285,0,0,4341,13,0
303,Zerebralkortexverbund,285,0,0,4344,16,0
304,"Elixier der mächtigen Stärke",285,0,0,4384,56,0
305,"Elixier der schwachen Beweglichkeit",285,0,0,4385,57,0
306,"Elixier der Schattenmacht",285,0,0,4389,61,0
307,"Elixier der Willenskraft",285,0,0,4390,62,0
308,"Zanzas Glanz",285,0,0,4337,0,0
309,"Zanzas Schnelligkeit",285,0,0,4339,11,0
310,Erdelixier,285,0,0,4345,17,0
