ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,拥有最多金币数额：,2,0,0,4224,0,8
23,决斗失败,22,0,0,3630,0,0
147,分解物品,146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,基尔加丹,152,1,0,3261,0,2
154,达斯雷玛之冠,152,1,0,4648,23,2
155,奥术纯净头盔,152,1,0,4650,25,2
156,愤怒猎手面具,152,1,0,4652,27,2
157,奥伯莱恩，裂魂之剑,152,1,0,4597,1,2
158,原罪披风,152,1,0,4599,3,2
159,奥蕾莉亚的头盔,152,1,0,4600,4,2
160,古尔丹的兜帽,152,1,0,4602,6,2
161,安纳斯特里亚的王冠,152,1,0,4604,8,2
162,天启,152,1,0,4605,9,2
163,圣灵之锤,152,1,0,4609,13,2
164,黎明护手,152,1,0,4612,16,2
165,燃烧的正义,152,1,0,4613,17,2
166,日灸,152,1,0,4614,18,2
167,萨拉斯游侠护手,152,1,0,4616,20,2
168,乌瑟尔的决心之盔,152,1,0,4651,26,2
169,狡诈之盔,152,1,0,4607,11,2
170,智者乌索尔之帽,152,1,0,4601,5,2
171,黑暗咒术之环,152,1,0,4606,10,2
172,安东尼达斯的破碎斗篷,152,1,0,4615,19,2
173,诸界亵渎护手,152,1,0,4611,15,2
174,耐奥祖酋长的兜帽,152,1,0,4653,28,2
175,辛多雷金杖,152,1,0,4608,12,2
176,欺诈者之手,152,1,0,4610,14,2
178,巨熊乌索克之帽,152,1,0,4647,22,2
179,泰莉的强能手套,152,1,0,4649,24,2
180,边疆手套,152,1,0,4598,2,2
181,纯净圣光兜帽,152,1,0,4603,7,2
189,获得头衔“复仇角斗士”。,0,0,4,0,0,0
190,复仇角斗士,189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"起死回生（等级 7）",195,1,0,3815,1,0
197,"起死回生（等级 5）",195,0,0,4979,3,0
198,"起死回生（等级 4）",195,0,0,4980,4,0
199,"起死回生（等级 2）",195,0,0,4982,6,0
200,"起死回生（等级 6）",195,0,0,4978,2,0
201,"起死回生（等级 1）",195,0,0,4983,7,0
202,"起死回生（等级 3）",195,0,0,4981,5,0
211,击碎者克里丹,210,1,0,3239,1,0
249,王国的命运,248,1,0,4262,2,2
250,拯救公主,248,1,0,4263,3,2
251,达格兰·索瑞森大帝,248,1,0,3266,1,2
259,巴纳扎尔,257,1,0,550,0,0
262,埃欧努斯,261,1,0,3247,1,0
265,拍卖行最高出价,264,0,0,4222,1,8
274,玛克扎尔王子,273,1,0,3254,1,0
277,乌克兹·沙顶,276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,狮王之力药剂,285,0,0,4370,42,0
287,特效敏捷药剂,285,0,0,4371,43,0
288,特效防御药剂,285,0,0,4372,44,0
289,特效魔血药剂,285,0,0,4376,48,0
