ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,最大持有金幣總額:,2,0,0,4224,0,8
23,決鬥落敗次數,22,0,0,3630,0,0
147,曾經分解過的魔法物品,146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,基爾加丹,152,1,0,3261,0,2
154,達斯雷瑪之冠,152,1,0,4648,23,2
155,秘法純淨盔帽,152,1,0,4650,25,2
156,狂怒獵人面具,152,1,0,4652,27,2
157,亞玻萊昂，靈魂撕裂者,152,1,0,4597,1,2
158,無法寬恕之罪披風,152,1,0,4599,3,2
159,艾蘭里亞罩盔,152,1,0,4600,4,2
160,古爾丹風帽,152,1,0,4602,6,2
161,安納斯提安之冠,152,1,0,4604,8,2
162,天啟十字,152,1,0,4605,9,2
163,崇聖之錘,152,1,0,4609,13,2
164,黎明手甲,152,1,0,4612,16,2
165,燃燒正義頭盔,152,1,0,4613,17,2
166,日耀焰光,152,1,0,4614,18,2
167,薩拉斯遊俠護手,152,1,0,4616,20,2
168,烏瑟決心之盔,152,1,0,4651,26,2
169,欺瞞偽裝,152,1,0,4607,11,2
170,睿智的厄索珥頭罩,152,1,0,4601,5,2
171,黑暗咒術師頭帶,152,1,0,4606,10,2
172,安東尼達斯的破斗篷,152,1,0,4615,19,2
173,褻瀆諸界手甲,152,1,0,4611,15,2
174,耐祖奧酋長綸巾,152,1,0,4653,28,2
175,辛多雷黃金之杖,152,1,0,4608,12,2
176,欺詐者之手,152,1,0,4610,14,2
178,強大的厄索克頭罩,152,1,0,4647,22,2
179,泰利之力手套,152,1,0,4649,24,2
180,邊地疼痛之握,152,1,0,4598,2,2
181,光之純淨風帽,152,1,0,4603,7,2
189,取得仇恨鬥士頭銜。,0,0,4,0,0,0
190,仇恨鬥士,189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"復活 (等級 7)",195,1,0,3815,1,0
197,"復活 (等級 5)",195,0,0,4979,3,0
198,"復活 (等級 4)",195,0,0,4980,4,0
199,"復活 (等級 2)",195,0,0,4982,6,0
200,"復活 (等級 6)",195,0,0,4978,2,0
201,"復活 (等級 1)",195,0,0,4983,7,0
202,"復活 (等級 3)",195,0,0,4981,5,0
211,『破壞者』凱利丹,210,1,0,3239,1,0
249,王國的命運,248,1,0,4262,2,2
250,拯救公主,248,1,0,4263,3,2
251,達格蘭·索瑞森大帝,248,1,0,3266,1,2
259,巴納札爾,257,1,0,550,0,0
262,艾奧那斯,261,1,0,3247,1,0
265,最高拍賣出價,264,0,0,4222,1,8
274,莫克札王子,273,1,0,3254,1,0
277,烏克茲·沙頂,276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,獅王之力藥劑,285,0,0,4370,42,0
287,極效敏捷藥劑,285,0,0,4371,43,0
288,極效防禦藥劑,285,0,0,4372,44,0
289,極效魔血藥劑,285,0,0,4376,48,0
290,極效暗影之力藥劑,285,0,0,4377,49,0
291,強力防禦藥劑,285,0,0,4381,53,0
292,強效秘法藥劑,285,0,0,4402,74,0
293,厚甲蠍藥粉,285,0,0,4403,75,0
294,智慧藥劑,285,0,0,4395,67,0
295,貓鼬藥劑,285,0,0,4396,68,0
296,魔化力量藥劑,285,0,0,4399,71,0
297,阿薩斯的禮物,285,0,0,4400,72,0
298,血莓藥劑,285,0,0,4342,14,0
299,偵測不死生物藥劑,285,0,0,4353,25,0
300,增長藥劑,285,0,0,4360,32,0
301,強效敏捷藥劑,285,0,0,4362,34,0
302,秘法藥劑,285,0,0,4341,13,0
303,腦皮層混合飲料,285,0,0,4344,16,0
304,強力力量藥劑,285,0,0,4384,56,0
305,初級敏捷藥劑,285,0,0,4385,57,0
306,暗影之力藥劑,285,0,0,4389,61,0
307,精神藥劑,285,0,0,4390,62,0
308,贊札之光,285,0,0,4337,0,0
309,贊札之速,285,0,0,4339,11,0
310,地化藥劑,285,0,0,4345,17,0
311,蠻力藥劑,285,0,0,4347,19,0
312,防禦藥劑,285,0,0,4349,21,0
313,屠魔藥劑,285,0,0,4350,22,0
314,偵測惡魔藥劑,285,0,0,4351,23,0
315,堅韌藥劑,285,0,0,4358,30,0
316,冰霜之力藥劑,285,0,0,4359,31,0
317,強效火力藥劑,285,0,0,4364,36,0
318,強效聰穎藥劑,285,0,0,4365,37,0
319,強壯食人妖之血藥劑,285,0,0,8648,9,0
320,強力防禦藥劑,285,0,0,8062,80,0
321,強力思緒藥劑,285,0,0,8066,81,0
322,內行藥劑,285,0,0,4340,12,0
323,極效食人妖之血藥劑,285,0,0,8074,85,0
324,強力敏捷藥劑,285,0,0,4380,52,0
325,弱效食人妖之血藥劑,285,0,0,8076,102,0
326,強力食人妖之血藥劑,285,0,0,8077,101,0
327,憤怒藥劑,285,0,0,8078,100,0
328,血巨藻閃躲精華,285,0,0,8082,96,0
329,暗影藥劑,285,0,0,8086,92,0
330,德拉庫魯的藥劑,285,0,0,8087,91,0
331,佐特的保護藥劑,285,0,0,8089,89,0
332,德萊尼智慧藥劑,285,0,0,4354,26,0
333,巨人藥劑,285,0,0,4361,33,0
334,次級敏捷藥劑,285,0,0,4369,41,0
335,血巨藻抗性精華,285,0,0,8083,95,0
336,水上行走藥劑,285,0,0,4394,66,0
337,熟練藥劑,285,0,0,8063,110,0
338,水晶結界,285,0,0,8068,82,0
339,魂能之寒,285,0,0,8070,83,0
340,魂能之遁,285,0,0,8071,105,0
341,精準藥劑,285,0,0,8031,87,0
342,穿甲藥劑,285,0,0,8064,109,0
343,電光速度藥劑,285,0,0,8065,108,0
344,魂能之灰,285,0,0,8069,106,0
345,冬泉火水,285,0,0,8073,104,0
346,法師之血藥劑,285,0,0,8075,103,0
347,法術能量藥劑,285,0,0,8079,99,0
348,座狼之血藥劑,285,0,0,8081,97,0
349,視靈藥劑,285,0,0,8084,94,0
350,阿浩恩藥劑,285,0,0,8085,93,0
351,佐特的保護藥劑,285,0,0,8088,90,0
352,魂能之擊,285,0,0,8072,84,0
353,致命之擊藥劑,285,0,0,8032,86,0
354,活效藥劑,285,0,0,4356,28,0
355,鐵膚藥劑,285,0,0,4368,40,0
356,巨魔力量藥劑,285,0,0,4388,60,0
357,肺汁調酒,285,0,0,4404,76,0
358,贊札之靈,285,0,0,4338,10,0
359,極效力量藥劑,285,0,0,4378,50,0
360,精神水晶,285,0,0,8067,107,0
361,諾格弗格藥劑,285,0,0,4406,78,0
362,陰鬱草藥劑,285,0,0,8090,88,0
363,治療能量藥劑,285,0,0,4367,39,0
364,極效火焰之力藥劑,285,0,0,4373,45,0
365,極效冰霜之力藥劑,285,0,0,4375,47,0
366,極效堅韌藥劑,285,0,0,4374,46,0
367,貓眼藥劑,285,0,0,4343,15,0
368,敏捷藥劑,285,0,0,4346,18,0
369,夢境幻象藥劑,285,0,0,4355,27,0
370,火力藥劑,285,0,0,4357,29,0
371,強效防禦藥劑,285,0,0,4363,35,0
372,強效水下呼吸藥劑,285,0,0,4366,38,0
373,隱身藥劑,285,0,0,4348,20,0
374,偵測次級隱形藥劑,285,0,0,4352,24,0
375,精通藥劑,285,0,0,4379,51,0
376,強力堅韌藥劑,285,0,0,4382,54,0
377,強力法師之血藥劑,285,0,0,4383,55,0
378,初級防禦藥劑,285,0,0,4386,58,0
379,初級堅韌藥劑,285,0,0,4387,59,0
380,超強防禦藥劑,285,0,0,4391,63,0
381,強健藥劑,285,0,0,4392,64,0
382,水下呼吸藥劑,285,0,0,4393,65,0
383,先知藥劑,285,0,0,4397,69,0
384,搜尋之眼藥劑,285,0,0,4398,70,0
385,砂囊口香糖,285,0,0,4401,73,0
386,土狼興奮劑,285,0,0,4405,77,0
387,猛擊藥劑,285,0,0,4407,79,0
388,古拉的藥劑,285,0,0,8080,98,0
399,大笑,398,0,0,3238,1,0
400,輕笑,398,0,0,7194,5,0
401,大笑,398,0,0,7195,2,0
402,笑的滾來滾去,398,0,0,7196,3,0
403,傻笑,398,0,0,7197,4,0
426,操縱者帕薩里歐,425,1,0,3720,1,2
459,急救技能,458,375,0,5592,0,1
468,爐石,467,0,0,5008,0,0
469,紅寶石軟靴,467,0,0,11719,1,0
530,『破壞者』凱利丹,529,1,0,3710,1,2
533,羅德隆廢墟5v5獲勝次數,532,0,0,8601,1,0
534,納葛蘭5v5獲勝次數,532,0,0,8600,2,0
536,劍刃5v5獲勝次數,532,0,0,5726,0,0
540,參與勇武競技場2v2賽事次數,539,0,0,8614,3,0
541,參與羅德隆廢墟2v2賽事次數,539,0,0,8613,2,0
542,參與達拉然2v2賽事次數,539,0,0,8611,4,0
543,參與納葛蘭2v2賽事次數,539,0,0,8612,1,0
544,參與劍刃2v2賽事次數,539,0,0,5725,0,0
553,奈法利安,552,1,0,3273,1,2
554,塞拉贊恩之鍊,552,1,0,4564,5,2
555,暗影烈焰之靴,552,1,0,4567,8,2
556,憤怒胸甲,552,1,0,4578,19,2
557,阿基迪羅斯的清算之戒,552,1,0,4565,6,2
558,審判胸甲,552,1,0,4580,21,2
559,怒風護胸,552,1,0,4581,22,2
560,卓越長袍,552,1,0,4584,25,2
561,阿什坎迪，兄弟會之劍,552,1,0,4566,7,2
562,克盧梭洛克恩，混沌之鋒,552,1,0,4569,10,2
563,黑石之王,552,1,0,4447,2,2
564,黑石之王,552,1,0,4448,3,2
565,龍王披風,552,1,0,4568,9,2
566,洛卡米爾·伊洛曼希斯,552,1,0,4570,11,2
567,奈薩里奧之淚,552,1,0,4572,13,2
568,暗影烈焰法杖,552,1,0,4575,16,2
569,無盡風暴胸甲,552,1,0,4577,18,2
570,馭龍者胸甲,552,1,0,4579,20,2
571,奈法利斯的腐敗,552,1,0,4449,4,2
572,血牙護軀,552,1,0,4576,17,2
573,普瑞斯托的陰謀飾物,552,1,0,4573,14,2
574,純源質指環,552,1,0,4574,15,2
575,靈風長袍,552,1,0,4583,24,2
576,密蘇達爾，奪魂者的頭環,552,1,0,4571,12,2
577,復仇長袍,552,1,0,4582,23,2
580,熔岩爆發,579,1,0,3272,1,2
581,衝擊束腰,579,1,0,4544,4,2
582,薩弗拉斯指環,579,1,0,4545,6,2
583,火焰之王的頸飾,579,1,0,4546,7,2
584,毀滅之冠,579,1,0,4549,10,2
585,卓越護腿,579,1,0,4550,11,2
586,憤怒腿鎧,579,1,0,4553,14,2
587,復仇護腿,579,1,0,4556,17,2
588,怒風腿甲,579,1,0,4558,19,2
589,血牙便褲,579,1,0,4555,16,2
590,馭龍者腿甲,579,1,0,4551,12,2
591,審判腿鎧,579,1,0,4552,13,2
593,瑪利斯達爾防衛者,579,1,0,4559,20,2
594,環霧披風,579,1,0,4561,22,2
595,脊骨收割者,579,1,0,4563,24,2
596,埃古雷亞指環,579,1,0,4560,21,2
597,龍血斗篷,579,1,0,5055,25,2
598,純焰精華,579,1,0,4547,8,2
599,毀滅之刃,579,1,0,4548,9,2
600,龍語傻瓜教程,579,1,0,7364,28,2
601,雷霆之怒，逐風者的祝福之刃,579,1,0,8146,2,2
602,烈焰裂片,579,1,0,5056,26,2
603,無盡風暴腿鎧,579,1,0,4554,15,2
604,炎魔的精華,579,1,0,8893,27,2
605,靈風便褲,579,1,0,4557,18,2
606,削骨之鋒,579,1,0,4562,23,2
607,薩弗拉斯，炎魔拉格納羅斯之手,579,1,0,318,5,2
650,鑄造奎爾塞拉,648,1,0,4270,4,2
651,聯盟的勝利,648,1,0,4266,0,2
652,艾斯卡達爾的項圈,648,1,0,4286,11,2
653,奧妮克希亞皮袋,648,1,0,4271,5,2
654,部落的勝利,648,1,0,4267,2,2
655,合適的弓弦,648,1,0,4268,1,2
656,死亡召喚者,648,1,0,4282,7,2
657,禁錮之戒,648,1,0,4284,9,2
658,龍鱗裂片,648,1,0,4287,12,2
659,放血者維斯卡格,648,1,0,4283,8,2
660,上古角石魔典,648,1,0,4272,6,2
661,薩菲隆披氅,648,1,0,4285,10,2
759,完成的每日任務總數,758,0,0,4984,2,0
760,完成任務總量,758,0,0,3631,1,0
763,野獸之力,762,0,0,4948,1,0
764,元素,762,0,0,4951,4,0
765,人形生物,762,0,0,4953,6,0
766,機械,762,0,0,4954,7,0
767,不死族,762,0,0,4955,8,0
768,無指定,762,0,0,4956,9,0
769,圖騰,762,0,0,4957,10,0
770,驅使惡魔,762,0,0,4949,2,0
771,龍類,762,0,0,4950,3,0
772,巨人,762,0,0,4952,5,0
775,曾擊殺的小動物數,774,0,0,4958,1,0
778,疲倦致死,777,0,0,148,1,0
803,製皮技能,802,375,0,5718,0,1
806,放棄的任務數,805,0,0,5289,1,0
809,劍刃競技場賽事次數,808,0,0,5729,0,0
813,邪惡的盟友,811,1,0,4409,4,2
814,奧爾德的報復,811,1,0,4250,2,2
