Name_lang,ID,Parent,Ui_order
Statistiken,1,-1,1
"Spieler gegen Spieler",21,1,10
Heldentaten,81,-1,11
Allgemein,92,-1,2
"Spieler gegen Spieler",95,-1,6
Quests,96,-1,4
Erkundung,97,-1,5
Tode,122,1,4
Arenen,123,122,1
Schlachtfelder,124,122,2
Dungeons,125,122,3
Welt,126,122,4
Wiederbelebung,127,122,5
Siege,128,1,3
Charakter,130,1,1
Geselligkeit,131,1,9
Fertigkeiten,132,1,7
Quests,133,1,5
Reise,134,1,8
Kreaturen,135,128,1
"Ehrenhafte Siege",136,128,2
Todesstöße,137,128,3
Vermögen,140,130,1
Kampf,141,1,2
Verbrauchsgüter,145,130,2
Ruf,147,130,3
"Gewertete Arenen",152,21,1
Schlachtfelder,153,21,2
Welt,154,21,3
Weltereignisse,155,-1,10
Winterhauch,156,155,9
Schlotternächte,158,155,7
Nobelgarten,159,155,3
Mondfest,160,155,1
Sonnenwende,161,155,5
Braufest,162,155,6
Kinderwoche,163,155,4
Arena,165,95,1
"Dungeon & Schlachtzug",168,-1,7
Berufe,169,-1,8
Kochkunst,170,169,1
Angeln,171,169,2
"Erste Hilfe",172,169,3
Berufe,173,132,2
"Sekundäre Fertigkeiten",178,132,1
"Liebe liegt in der Luft",187,155,2
Ausrüstung,191,130,4
Ruf,201,-1,9
"Östliche Königreiche",14777,97,1
Kalimdor,14778,97,2
Scherbenwelt,14779,97,3
Nordend,14780,97,4
Alteractal,14801,95,2
Arathibecken,14802,95,3
"Auge des Sturms",14803,95,4
Kriegshymnenschlucht,14804,95,5
"The Burning Crusade",14805,168,2
"Wrath of the Lich King - Dungeons",14806,168,3
"Dungeon & Schlachtzug",14807,1,6
Classic,14808,168,1
Classic,14821,14807,1
"The Burning Crusade",14822,14807,2
"Wrath of the Lich King",14823,14807,3
Classic,14861,96,1
"The Burning Crusade",14862,96,2
"Wrath of the Lich King",14863,96,3
Classic,14864,201,1
"The Burning Crusade",14865,201,2
"Wrath of the Lich King",14866,201,3
"Strand der Uralten",14881,95,6
Tausendwinter,14901,95,7
"Wrath of the Lich King - Heroische Dungeons",14921,168,4
"Wrath of the Lich King - Schlachtzüge für 10 Spieler",14922,168,5
"Wrath of the Lich King - Schlachtzüge für 25 Spieler",14923,168,6
Argentumturnier,14941,155,10
"Geheimnisse von Ulduar - Schlachtzug für 10 Spieler",14961,168,7
"Geheimnisse von Ulduar - Schlachtzug für 25 Spieler",14962,168,8
"Geheimnisse v. Ulduar",14963,14807,4
"Die Pilgerfreuden",14981,155,8
"Der Ruf des Kreuzzugs - Schlachtzug für 10 Spieler",15001,168,9
"Der Ruf des Kreuzzugs - Schlachtzug für 25 Spieler",15002,168,10
"Insel der Eroberung",15003,95,8
"Der Ruf des Kreuzzugs",15021,14807,5
"Der Untergang des Lichkönigs - Schlachtzug für 10 Spieler",15041,168,11
"Der Untergang des Lichkönigs - Schlachtzug für 25 Spieler",15042,168,12
"Der Untergang des Lichkönigs",15062,14807,6
BCC,15452,-1,3
