Name_lang,ID,Parent,Ui_order
Statistiques,1,-1,1
"Joueur contre Joueur",21,1,10
"Tours de force",81,-1,11
Général,92,-1,2
"Joueur contre Joueur",95,-1,6
Quêtes,96,-1,4
Exploration,97,-1,5
Morts,122,1,4
Arènes,123,122,1
"Champs de bataille",124,122,2
Donjons,125,122,3
"En extérieur",126,122,4
Résurrection,127,122,5
Victimes,128,1,3
Personnage,130,1,1
Social,131,1,9
Compétences,132,1,7
Quêtes,133,1,5
Voyages,134,1,8
Créatures,135,128,1
"Victoires honorables",136,128,2
"Coups fatals",137,128,3
Richesse,140,130,1
Combat,141,1,2
Consommables,145,130,2
Réputation,147,130,3
"Arènes cotées",152,21,1
"Champs de bataille",153,21,2
"En extérieur",154,21,3
"Évènements mondiaux",155,-1,10
"Voile d'hiver",156,155,9
Sanssaint,158,155,7
"Jardin des nobles",159,155,3
"Fête lunaire",160,155,1
"Solstice d'été",161,155,5
"Fête des Brasseurs",162,155,6
"Semaine des enfants",163,155,4
Arène,165,95,1
"Donjons & raids",168,-1,7
Métiers,169,-1,8
Cuisine,170,169,1
Pêche,171,169,2
Secourisme,172,169,3
Métiers,173,132,2
"Compétences secondaires",178,132,1
"De l'amour dans l'air",187,155,2
Équipement,191,130,4
Réputation,201,-1,9
"Royaumes de l'est",14777,97,1
Kalimdor,14778,97,2
Outreterre,14779,97,3
Norfendre,14780,97,4
"Vallée d'Alterac",14801,95,2
"Bassin Arathi",14802,95,3
"Œil du cyclone",14803,95,4
"Goulet des Chanteguerres",14804,95,5
"The Burning Crusade",14805,168,2
"Donjons de Wrath of the Lich King",14806,168,3
"Donjons & raids",14807,1,6
Classique,14808,168,1
Classique,14821,14807,1
"The Burning Crusade",14822,14807,2
"Wrath of the Lich King",14823,14807,3
Classique,14861,96,1
"The Burning Crusade",14862,96,2
"Wrath of the Lich King",14863,96,3
Classique,14864,201,1
"The Burning Crusade",14865,201,2
"Wrath of the Lich King",14866,201,3
"Rivage des Anciens",14881,95,6
Joug-d'hiver,14901,95,7
"Donj. héro. de Lich King",14921,168,4
"Raids à 10 de Lich King",14922,168,5
"Raids à 25 de Lich King",14923,168,6
"Tournoi d'Argent",14941,155,10
"Secrets d'Ulduar, raid à 10",14961,168,7
"Secrets d'Ulduar, raid à 25",14962,168,8
"Les secrets d'Ulduar",14963,14807,4
"Bienfaits du pèlerin",14981,155,8
"L'appel de la Croisade, raid à 10",15001,168,9
"L'appel de la Croisade, raid à 25",15002,168,10
"L'île des Conquérants",15003,95,8
"L'appel de la Croisade",15021,14807,5
"La chute du roi-liche, raid à 10",15041,168,11
"La chute du roi-liche, raid à 25",15042,168,12
"La chute du roi-liche",15062,14807,6
BCC,15452,-1,3
