Name_lang,ID,Parent,Ui_order
Статистика,1,-1,1
PvP,21,1,10
"Великие подвиги",81,-1,11
Общее,92,-1,2
PvP,95,-1,6
Задания,96,-1,4
Исследование,97,-1,5
Смерти,122,1,4
Арена,123,122,1
"Поле боя",124,122,2
Подземелья,125,122,3
Мир,126,122,4
Воскрешение,127,122,5
Победы,128,1,3
Персонаж,130,1,1
Общение,131,1,9
Навыки,132,1,7
Задания,133,1,5
Путешествия,134,1,8
Существа,135,128,1
"Почетные победы",136,128,2
"Смертельные удары",137,128,3
Доходы,140,130,1
Бой,141,1,2
"Расход. предметы",145,130,2
Репутация,147,130,3
"Арены с ведением счета",152,21,1
"Поле боя",153,21,2
Мир,154,21,3
"Игровые события",155,-1,10
"Зимний Покров",156,155,9
Тыквовин,158,155,7
"Сад чудес",159,155,3
"Лунный фестиваль",160,155,1
"Огненный солнцеворот",161,155,5
"Хмельной фестиваль",162,155,6
"Детская неделя",163,155,4
Арена,165,95,1
"Подземелья и рейды",168,-1,7
Профессии,169,-1,8
Кулинария,170,169,1
"Рыбная ловля",171,169,2
"Первая помощь",172,169,3
Профессии,173,132,2
"Вспомогательные навыки",178,132,1
"Любовная лихорадка",187,155,2
Снаряжение,191,130,4
Репутация,201,-1,9
"Восточные королевства",14777,97,1
Калимдор,14778,97,2
Запределье,14779,97,3
Нордскол,14780,97,4
"Альтеракская долина",14801,95,2
"Низина Арати",14802,95,3
"Око Бури",14803,95,4
"Ущелье Песни Войны",14804,95,5
"The Burning Crusade",14805,168,2
"Lich King (5)",14806,168,3
"Подземелья и рейды",14807,1,6
"World of Warcraft",14808,168,1
"World of Warcraft",14821,14807,1
"The Burning Crusade",14822,14807,2
"Wrath of the Lich King",14823,14807,3
"World of Warcraft",14861,96,1
"The Burning Crusade",14862,96,2
"Wrath of the Lich King",14863,96,3
"World of Warcraft",14864,201,1
"The Burning Crusade",14865,201,2
"Wrath of the Lich King",14866,201,3
"Берег Древних",14881,95,6
"Ледяные Оковы",14901,95,7
"Lich King (5, героич.)",14921,168,4
"Lich King (10)",14922,168,5
"Lich King (25)",14923,168,6
"Серебряный турнир",14941,155,10
"Тайны Ульдуара (10)",14961,168,7
"Тайны Ульдуара (25)",14962,168,8
"Тайны Ульдуара",14963,14807,4
"Пиршество странников",14981,155,8
"Призыв Авангарда (10)",15001,168,9
"Призыв Авангарда (25)",15002,168,10
"Остров Завоеваний",15003,95,8
"Призыв Авангарда",15021,14807,5
"Падение Короля-лича (10)",15041,168,11
"Падение Короля-лича (25)",15042,168,12
"Падение Короля-лича",15062,14807,6
BCC,15452,-1,3
