Name_lang,ID,Parent,Ui_order
统计,1,-1,1
PvP,21,1,10
光辉事迹,81,-1,11
综合,92,-1,2
PvP,95,-1,6
任务,96,-1,4
探索,97,-1,5
死亡,122,1,4
竞技场,123,122,1
战场,124,122,2
地下城,125,122,3
世界,126,122,4
复活,127,122,5
杀敌,128,1,3
角色,130,1,1
社交,131,1,9
技能,132,1,7
任务,133,1,5
旅行,134,1,8
怪物,135,128,1
荣誉杀敌,136,128,2
击杀,137,128,3
财富,140,130,1
战斗,141,1,2
消耗品,145,130,2
声望,147,130,3
竞技场积分赛,152,21,1
战场,153,21,2
世界,154,21,3
世界事件,155,-1,10
冬幕节,156,155,9
万圣节,158,155,7
复活节,159,155,3
春节,160,155,1
仲夏节,161,155,5
美酒节,162,155,6
儿童周,163,155,4
竞技场,165,95,1
地下城和团队,168,-1,7
专业,169,-1,8
烹饪,170,169,1
钓鱼,171,169,2
急救,172,169,3
专业,173,132,2
辅助技能,178,132,1
情人节,187,155,2
装备,191,130,4
声望,201,-1,9
东部王国,14777,97,1
卡利姆多,14778,97,2
外域,14779,97,3
诺森德,14780,97,4
奥特兰克山谷,14801,95,2
阿拉希盆地,14802,95,3
风暴之眼,14803,95,4
战歌峡谷,14804,95,5
燃烧的远征,14805,168,2
"巫妖王 - 地下城",14806,168,3
地下城与团队,14807,1,6
经典旧世,14808,168,1
经典旧世,14821,14807,1
燃烧的远征,14822,14807,2
巫妖王之怒,14823,14807,3
经典旧世,14861,96,1
燃烧的远征,14862,96,2
巫妖王之怒,14863,96,3
经典旧世,14864,201,1
燃烧的远征,14865,201,2
巫妖王之怒,14866,201,3
远古海滩,14881,95,6
冬拥湖,14901,95,7
"巫妖王 - 英雄地下城",14921,168,4
"巫妖王 - 10人团队",14922,168,5
"巫妖王 - 25人团队",14923,168,6
银色锦标赛,14941,155,10
"奥杜尔的秘密 - 10人团队",14961,168,7
"奥杜尔的秘密 - 25人团队",14962,168,8
奥杜尔的秘密,14963,14807,4
感恩节,14981,155,8
"北伐的召唤 - 10人团队",15001,168,9
"北伐的召唤 - 25人团队",15002,168,10
征服之岛,15003,95,8
北伐的召唤,15021,14807,5
"巫妖王的陨落 - 10人团队",15041,168,11
"巫妖王的陨落 - 25人团队",15042,168,12
巫妖王的陨落,15062,14807,6
燃烧的远征,15452,-1,3
