ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"Mayor cantidad de oro jamás poseída:",2,0,0,4224,0,8
23,"Duelos perdidos",22,0,0,3630,0,0
147,"Objetos desencantados",146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,Kil'jaeden,152,1,0,3261,0,2
154,"Corona de Dath'Remar",152,1,0,4648,23,2
155,"Yelmo de pureza Arcana",152,1,0,4650,25,2
156,"Máscara del cazador furioso",152,1,0,4652,27,2
157,"Apolión, el procurador de almas",152,1,0,4597,1,2
158,"Capa del pecado inolvidable",152,1,0,4599,3,2
159,"Almófar de Alleria",152,1,0,4600,4,2
160,"Capucha de Gul'dan",152,1,0,4602,6,2
161,"Corona de Anasterian",152,1,0,4604,8,2
162,"Crux del Apocalipsis",152,1,0,4605,9,2
163,"Martillo de santificación",152,1,0,4609,13,2
164,"Manoplas del alba",152,1,0,4612,16,2
165,"Yelmo de rectitud ardiente",152,1,0,4613,17,2
166,"Erupción solar",152,1,0,4614,18,2
167,"Guanteletes de forestal thalassiano",152,1,0,4616,20,2
168,"Yelmo de resolución de Uther",152,1,0,4651,26,2
169,"Guisa engañosa",152,1,0,4607,11,2
170,"Casquete de Ursoc el Sabio",152,1,0,4601,5,2
171,"Collera del oscuro conjurador",152,1,0,4606,10,2
172,"Manteo andrajoso de Antonidas",152,1,0,4615,19,2
173,"Manoplas de mundos profanados",152,1,0,4611,15,2
174,"Sudario del cabecilla Ner'zhul",152,1,0,4653,28,2
175,"Bastón dorado de los Sin'dorei",152,1,0,4608,12,2
176,"Mano del Falsario",152,1,0,4610,14,2
178,"Casquete de Ursoc el Poderoso",152,1,0,4647,22,2
179,"Guantes del poder de Tyri",152,1,0,4649,24,2
180,"Mandiletes de dolor de zona fronteriza",152,1,0,4598,2,2
181,"Capucha de pureza de luz",152,1,0,4603,7,2
189,"Has conseguido el título de Gladiador vengativo.",0,0,4,0,0,0
190,"Gladiador vengativo",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"Revivir (rango 7)",195,1,0,3815,1,0
197,"Revivir (rango 5)",195,0,0,4979,3,0
198,"Revivir (rango 4)",195,0,0,4980,4,0
199,"Revivir (rango 2)",195,0,0,4982,6,0
200,"Revivir (rango 6)",195,0,0,4978,2,0
201,"Revivir (rango 1)",195,0,0,4983,7,0
202,"Revivir (rango 3)",195,0,0,4981,5,0
211,"Keli'dan el Ultrajador",210,1,0,3239,1,0
249,"El destino del reino",248,1,0,4262,2,2
250,"El rescate real",248,1,0,4263,3,2
251,"Emperador Dagran Thaurissan",248,1,0,3266,1,2
259,Balnazzar,257,1,0,550,0,0
262,Aeonus,261,1,0,3247,1,0
265,"Puja más alta en una subasta",264,0,0,4222,1,8
274,"Príncipe Malchezaar",273,1,0,3254,1,0
277,"Jefe Ukorz Cabellarena",276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,"Elixir de fuerza de león",285,0,0,4370,42,0
287,"Elixir de agilidad sublime",285,0,0,4371,43,0
288,"Elixir de defensa sublime",285,0,0,4372,44,0
289,"Elixir de sangre de mago sublime",285,0,0,4376,48,0
290,"Elixir de poder de las Sombras sublime",285,0,0,4377,49,0
291,"Elixir de Defensa poderosa",285,0,0,4381,53,0
292,"Elixir Arcano superior",285,0,0,4402,74,0
293,"Polvo de scorpok machacado",285,0,0,4403,75,0
294,"Elixir de sabiduría",285,0,0,4395,67,0
295,"Elixir de la mangosta",285,0,0,4396,68,0
296,"Elixir de fuerza vil",285,0,0,4399,71,0
297,"Ofrenda de Arthas",285,0,0,4400,72,0
298,"Elixir de bayas de sangre",285,0,0,4342,14,0
299,"Elixir de detección de no-muertos",285,0,0,4353,25,0
300,"Elixir de crecimiento gigante",285,0,0,4360,32,0
301,"Elixir de agilidad superior",285,0,0,4362,34,0
302,"Elixir Arcano",285,0,0,4341,13,0
303,"Compuesto de córtex cerebral",285,0,0,4344,16,0
304,"Elixir de fuerza poderosa",285,0,0,4384,56,0
305,"Elixir de agilidad menor",285,0,0,4385,57,0
306,"Elixir de poder de las Sombras",285,0,0,4389,61,0
307,"Elixir de espíritu",285,0,0,4390,62,0
308,"Brillo de Zanza",285,0,0,4337,0,0
309,"Presteza de Zanza",285,0,0,4339,11,0
310,"Elixir terráneo",285,0,0,4345,17,0
311,"Elixir de fuerza bruta",285,0,0,4347,19,0
312,"Elixir de defensa",285,0,0,4349,21,0
313,"Elixir de matanza de demonios",285,0,0,4350,22,0
314,"Elixir de detección de demonios",285,0,0,4351,23,0
315,"Elixir de entereza",285,0,0,4358,30,0
316,"Elixir de poder de Escarcha",285,0,0,4359,31,0
317,"Elixir de poder de Fuego superior",285,0,0,4364,36,0
318,"Elixir de intelecto superior",285,0,0,4365,37,0
319,"Elixir de sangre de trol fuerte",285,0,0,8648,9,0
