ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"최대 보유 골드:",2,0,0,4224,0,8
23,"결투 패배 횟수",22,0,0,3630,0,0
147,"마력 추출된 아이템",146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,킬제덴,152,1,0,3261,0,2
154,"다트리마의 왕관",152,1,0,4648,23,2
155,"비전 정화의 투구",152,1,0,4650,25,2
156,"분노의 사냥꾼 복면",152,1,0,4652,27,2
157,"아폴리온 - 영혼의 분쇄자",152,1,0,4597,1,2
158,"용서할 수 없는 죄악의 망토",152,1,0,4599,3,2
159,"알레리아의 코이프",152,1,0,4600,4,2
160,"굴단의 머리보호구",152,1,0,4602,6,2
161,"아나스테리안의 왕관",152,1,0,4604,8,2
162,"계시의 십자검",152,1,0,4605,9,2
163,"축성의 망치",152,1,0,4609,13,2
164,"여명의 손보호구",152,1,0,4612,16,2
165,"불타는 정의의 투구",152,1,0,4613,17,2
166,태양불꽃,152,1,0,4614,18,2
167,"탈라시안 순찰자의 건틀릿",152,1,0,4616,20,2
168,"우서의 결의 투구",152,1,0,4651,26,2
169,"교묘한 눈속임의 가면",152,1,0,4607,11,2
170,"지혜로운 우르솔의 면갑",152,1,0,4601,5,2
171,"어둠의 요술사 깃장식",152,1,0,4606,10,2
172,"안토니다스의 남루한 망토",152,1,0,4615,19,2
173,"더럽혀진 세계의 장갑",152,1,0,4611,15,2
174,"족장 넬쥴의 수의",152,1,0,4653,28,2
175,"신도레이 황금 지팡이",152,1,0,4608,12,2
176,"기만자의 손아귀",152,1,0,4610,14,2
178,"강대한 우르속의 면갑",152,1,0,4647,22,2
179,"타이리의 마법장갑",152,1,0,4649,24,2
180,"고통의 분쟁지대 손아귀",152,1,0,4598,2,2
181,"빛 정화의 두건",152,1,0,4603,7,2
189,"""복수심에 불타는 검투사"" 칭호 획득",0,0,4,0,0,0
190,"복수심에 불타는 검투사",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"되살리기 (7 레벨)",195,1,0,3815,1,0
197,"되살리기 (5 레벨)",195,0,0,4979,3,0
198,"되살리기 (4 레벨)",195,0,0,4980,4,0
199,"되살리기 (2 레벨)",195,0,0,4982,6,0
200,"되살리기 (6 레벨)",195,0,0,4978,2,0
201,"되살리기 (1 레벨)",195,0,0,4983,7,0
202,"되살리기 (3 레벨)",195,0,0,4981,5,0
211,"파괴자 켈리단",210,1,0,3239,1,0
249,"왕국의 운명",248,1,0,4262,2,2
250,"공주 구출",248,1,0,4263,3,2
251,"제왕 다그란 타우릿산",248,1,0,3266,1,2
259,발나자르,257,1,0,550,0,0
262,아에누스,261,1,0,3247,1,0
265,"경매 최고가 입찰",264,0,0,4222,1,8
274,"공작 말체자르",273,1,0,3254,1,0
277,"족장 우코르즈 샌드스칼프",276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,"사자의 힘 비약",285,0,0,4370,42,0
287,"최상급 민첩의 비약",285,0,0,4371,43,0
288,"일급 방어의 비약",285,0,0,4372,44,0
289,"최상급 마력의 비약",285,0,0,4376,48,0
290,"최상급 암흑 강화의 비약",285,0,0,4377,49,0
291,"강한 방어의 비약",285,0,0,4381,53,0
292,"상급 신비의 비약",285,0,0,4402,74,0
293,"스콜포크 가루약",285,0,0,4403,75,0
294,"지혜의 비약",285,0,0,4395,67,0
295,"살쾡이의 비약",285,0,0,4396,68,0
296,"타락한 힘의 비약",285,0,0,4399,71,0
297,"아서스의 선물",285,0,0,4400,72,0
298,"선홍딸기 비약",285,0,0,4342,14,0
299,"언데드 감지의 비약",285,0,0,4353,25,0
300,"성장의 비약",285,0,0,4360,32,0
301,"상급 민첩의 비약",285,0,0,4362,34,0
302,"신비의 비약",285,0,0,4341,13,0
303,"대뇌 피질 혼합물",285,0,0,4344,16,0
304,"강한 힘의 비약",285,0,0,4384,56,0
305,"최하급 민첩의 비약",285,0,0,4385,57,0
306,"암흑 강화의 비약",285,0,0,4389,61,0
307,"정신력의 비약",285,0,0,4390,62,0
308,"잔자의 광휘",285,0,0,4337,0,0
309,"잔자의 신속",285,0,0,4339,11,0
310,"대지의 비약",285,0,0,4345,17,0
311,"야수 힘의 비약",285,0,0,4347,19,0
312,"방어의 비약",285,0,0,4349,21,0
313,"악마 사냥 전문화의 비약",285,0,0,4350,22,0
314,"악마 감지의 비약",285,0,0,4351,23,0
315,"인내의 비약",285,0,0,4358,30,0
316,"냉기 강화의 비약",285,0,0,4359,31,0
317,"상급 화염 강화의 비약",285,0,0,4364,36,0
318,"상급 지능의 비약",285,0,0,4365,37,0
319,"강렬한 트롤의 피 비약",285,0,0,8648,9,0
320,"강한 방어의 비약",285,0,0,8062,80,0
321,"강한 사고의 비약",285,0,0,8066,81,0
322,"숙련의 비약",285,0,0,4340,12,0
323,"일급 트롤의 피 비약",285,0,0,8074,85,0
324,"강한 민첩의 비약",285,0,0,4380,52,0
325,"약한 트롤의 피 비약",285,0,0,8076,102,0
326,"강한 트롤의 피 비약",285,0,0,8077,101,0
327,"격노의 비약",285,0,0,8078,100,0
328,"붉은물풀 회피의 비약",285,0,0,8082,96,0
329,"어둠의 비약",285,0,0,8086,92,0
330,"드라쿠루의 비약",285,0,0,8087,91,0
331,"조르트의 소화불량 비약",285,0,0,8089,89,0
332,"드레나이 지혜의 비약",285,0,0,4354,26,0
333,"거인의 비약",285,0,0,4361,33,0
334,"하급 민첩의 비약",285,0,0,4369,41,0
335,"붉은물풀 저항의 비약",285,0,0,8083,95,0
336,"수면 걷기의 비약",285,0,0,4394,66,0
337,"숙련 향상의 비약",285,0,0,8063,110,0
338,"수호의 수정",285,0,0,8068,82,0
339,"냉기의 부적",285,0,0,8070,83,0
340,"회피의 부적",285,0,0,8071,105,0
341,"적중의 비약",285,0,0,8031,87,0
342,"방어구 관통의 비약",285,0,0,8064,109,0
343,"광속의 비약",285,0,0,8065,108,0
344,"불꽃의 부적",285,0,0,8069,106,0
345,"눈사태일족 화주",285,0,0,8073,104,0
346,"마법사의 피 비약",285,0,0,8075,103,0
347,"주문 강화의 비약",285,0,0,8079,99,0
348,"검은늑대의 혈액",285,0,0,8081,97,0
349,"앞날의 비약",285,0,0,8084,94,0
350,"아후른의 비약",285,0,0,8085,93,0
351,"조르트의 소화불량 비약",285,0,0,8088,90,0
352,"힘의 부적",285,0,0,8072,84,0
353,"치명적인 일격의 비약",285,0,0,8032,86,0
354,"권능의 비약",285,0,0,4356,28,0
355,"무쇠가죽 비약",285,0,0,4368,40,0
356,"오우거의 힘 비약",285,0,0,4388,60,0
357,"허파즙 칵테일",285,0,0,4404,76,0
358,"잔자의 기백",285,0,0,4338,10,0
359,"최상급 힘의 비약",285,0,0,4378,50,0
360,"정신력의 수정",285,0,0,8067,107,0
361,"노겐포저의 비약",285,0,0,4406,78,0
362,"암흑풀 영약",285,0,0,8090,88,0
363,"치유력 강화의 비약",285,0,0,4367,39,0
364,"최상급 화염 강화의 비약",285,0,0,4373,45,0
365,"최상급 냉기 강화의 비약",285,0,0,4375,47,0
366,"최상급 인내의 비약",285,0,0,4374,46,0
367,"고양이눈 비약",285,0,0,4343,15,0
368,"민첩의 비약",285,0,0,4346,18,0
369,"몽상의 비약",285,0,0,4355,27,0
370,"화염 강화의 비약",285,0,0,4357,29,0
371,"상급 방어의 비약",285,0,0,4363,35,0
372,"상급 수중 호흡의 비약",285,0,0,4366,38,0
373,"위장의 비약",285,0,0,4348,20,0
374,"하급 투명체 감지의 비약",285,0,0,4352,24,0
375,"정통의 비약",285,0,0,4379,51,0
376,"강한 인내의 비약",285,0,0,4382,54,0
377,"강한 마법사의 피 비약",285,0,0,4383,55,0
378,"최하급 방어의 비약",285,0,0,4386,58,0
379,"최하급 인내의 비약",285,0,0,4387,59,0
380,"최상급 방어의 비약",285,0,0,4391,63,0
381,"강인함의 영약",285,0,0,4392,64,0
