ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"Maior quantidade de peças de ouro já possuída:",2,0,0,4224,0,8
23,"Duelos perdidos",22,0,0,3630,0,0
147,"Itens desencantados",146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,Kil'jaeden,152,1,0,3261,0,2
154,"Coroa de Dath'Remar",152,1,0,4648,23,2
155,"Elmo de Pureza Arcana",152,1,0,4650,25,2
156,"Máscara do Caça-fúrias",152,1,0,4652,27,2
157,"Apolyon, o Rompe-almas",152,1,0,4597,1,2
158,"Manto do Pecado Imperdoável",152,1,0,4599,3,2
159,"Coifa de Alleria",152,1,0,4600,4,2
160,"Capuz de Gul'dan",152,1,0,4602,6,2
161,"Coroa de Anasterian",152,1,0,4604,8,2
162,"Fulcro do Apocalipse",152,1,0,4605,9,2
163,"Martelo da Santificação",152,1,0,4609,13,2
164,"Protetores de Mão da Aurora",152,1,0,4612,16,2
165,"Elmo da Retidão Causticante",152,1,0,4613,17,2
166,"Mancha Solar",152,1,0,4614,18,2
167,"Manoplas do Patrulheiro Talassiano",152,1,0,4616,20,2
168,"Elmo da Resolução de Uther",152,1,0,4651,26,2
169,"Forma Dúplice",152,1,0,4607,11,2
170,"Mantel de Ursol, o Sábio",152,1,0,4601,5,2
171,"Colar do Conjurador Negro",152,1,0,4606,10,2
172,"Capa Esfarrapada de Antônidas",152,1,0,4615,19,2
173,"Protetores de Mão dos Mundos Conspurcados",152,1,0,4611,15,2
174,"Mortalha do Chefe Ner'zhul",152,1,0,4653,28,2
175,"Cajado Dourado dos Sin'dorei",152,1,0,4608,12,2
176,"Mão do Enganador",152,1,0,4610,14,2
178,"Mantel de Ursoc, o Poderoso",152,1,0,4647,22,2
179,"Luvas do Poder de Tyri",152,1,0,4649,24,2
180,"Guantes Dolorosos da Fronteira",152,1,0,4598,2,2
181,"Capucho da Pureza da Luz",152,1,0,4603,7,2
189,"Conquistou o título de Gladiador Vingativo.",0,0,4,0,0,0
190,"Gladiador Vingativo",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"Reviver (Grau 7)",195,1,0,3815,1,0
197,"Reviver (Grau 5)",195,0,0,4979,3,0
198,"Reviver (Grau 4)",195,0,0,4980,4,0
199,"Reviver (Grau 2)",195,0,0,4982,6,0
200,"Reviver (Grau 6)",195,0,0,4978,2,0
201,"Reviver (Grau 1)",195,0,0,4983,7,0
202,"Reviver (Grau 3)",195,0,0,4981,5,0
211,"Keli'dan, o Quebrador",210,1,0,3239,1,0
249,"O destino do reino",248,1,0,4262,2,2
250,"O resgate real",248,1,0,4263,3,2
