ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"Максимальный запас золота",2,0,0,4224,0,8
23,"Проиграно дуэлей",22,0,0,3630,0,0
147,"Распыленные предметы",146,0,0,4991,0,0
152,server-only,0,1,8,0,0,2
153,Кил'джеден,152,1,0,3261,0,2
154,"Корона Датремара",152,1,0,4648,23,2
155,"Шлем чистоты тайного знания",152,1,0,4650,25,2
156,"Маска яростного охотника",152,1,0,4652,27,2
157,"Аполион Проявитель Душ",152,1,0,4597,1,2
158,"Плащ смертного греха",152,1,0,4599,3,2
159,"Капюшон Аллерии",152,1,0,4600,4,2
160,"Клобук Гул'дана",152,1,0,4602,6,2
161,"Корона Анастериана",152,1,0,4604,8,2
162,"Крест Апокалипсиса",152,1,0,4605,9,2
163,"Молот посвящения",152,1,0,4609,13,2
164,"Боевые рукавицы рассвета",152,1,0,4612,16,2
165,"Шлем обжигающей праведности",152,1,0,4613,17,2
166,"Солнечное сияние",152,1,0,4614,18,2
167,"Кольчужные рукавицы кель'таласского следопыта",152,1,0,4616,20,2
168,"Шлем твердости Утера",152,1,0,4651,26,2
169,"Маска Двуличия",152,1,0,4607,11,2
170,"Покров Урсола Мудрого",152,1,0,4601,5,2
171,"Бармица Темного кудесника",152,1,0,4606,10,2
172,"Потрепанная накидка Антонидаса",152,1,0,4615,19,2
173,"Боевые рукавицы оскверненных миров",152,1,0,4611,15,2
174,"Капюшон вождя Нер'зула",152,1,0,4653,28,2
175,"Син'дорайский золотой посох",152,1,0,4608,12,2
176,"Рука Искусителя",152,1,0,4610,14,2
178,"Убор Урсока Могущественного",152,1,0,4647,22,2
179,"Перчатки могущества Тири",152,1,0,4649,24,2
180,"Боевые захваты Приграничья",152,1,0,4598,2,2
181,"Клобук чистейшего света",152,1,0,4603,7,2
189,"Получите звание мстительного гладиатора.",0,0,4,0,0,0
190,"Мстительный гладиатор",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"Оживление (уровень 7)",195,1,0,3815,1,0
197,"Оживление (уровень 5)",195,0,0,4979,3,0
198,"Оживление (уровень 4)",195,0,0,4980,4,0
199,"Оживление (уровень 2)",195,0,0,4982,6,0
200,"Оживление (уровень 6)",195,0,0,4978,2,0
201,"Оживление (уровень 1)",195,0,0,4983,7,0
202,"Оживление (уровень 3)",195,0,0,4981,5,0
