ID,Name_lang
1,Dunkelmond-Jahrmarkt
5,Feuerwerksfestival
6,"Anglerwettbewerb im Schlingendorntal"
7,Braufest
9,"Liebe liegt in der Luft"
11,Sonnenwendfest
12,Feuerwerksspektakel
13,Kinderwoche
14,Winterhauchfest
15,Nobelgartenfest
16,Schlotternächte
17,Erntedankfest
18,Mondfest
21,Piratentag
22,"Zu den Waffen: Alteractal"
23,"Zu den Waffen: Arathibecken"
24,"Zu den Waffen: Auge des Sturms"
25,"Zu den Waffen: Kriegshymnenschlucht"
41,"Zu den Waffen: Strand der Uralten"
61,"Start von Wrath of the Lich King"
81,"Tag der Toten"
101,Pilgerfreudenfest
121,"Zu den Waffen: Insel der Eroberung"
141,Nachtelfirokesen-Promotion
161,"Angelwettstreit der Kalu'ak"
19,Braufest
