ID,Name_lang
1,"Ярмарка Новолуния"
5,"Празднество фейерверков"
6,"Рыбомания Тернистой долины"
7,"Хмельной фестиваль"
9,"Любовная лихорадка"
11,"Огненный солнцеворот"
12,"Праздник фейерверков"
13,"Детская неделя"
14,"Зимний Покров"
15,"Сад чудес"
16,Тыквовин
17,"Неделя урожая"
18,"Лунный фестиваль"
21,"День пирата"
22,"К оружию! Альтеракская долина"
23,"К оружию! Низина Арати"
24,"К оружию! Око Бури"
25,"К оружию! Ущелье Песни Войны"
41,"К оружию! Берег Древних"
61,"Wrath of the Lich King"
81,"День мертвых"
101,"Пиршество странников"
121,"К оружию! Остров Завоеваний"
141,"Реклама ирокеза"
161,"Калуакское рыбоборье"
19,"Хмельной фестиваль"
