ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
678985,0,0,56,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,416,0,0,0,0,0,0,0,32,0,688
679414,0,0,6,0,0,22,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,1138
679915,0,0,53,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,0,2832
681058,0,0,6,1,0,36,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,2645
681080,0,2,6,0,0,77,0,99,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,1949
681343,0,0,24,0,0,0,0,0,0,1,0,1,2316,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2168
681613,0,0,24,0,0,0,0,0,0,1,0,1,4316,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3850
682054,0,0,24,0,0,0,0,0,0,1,0,1,4255,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3772
682528,0,0,6,0,0,22,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,4080
682550,0,0,6,0,0,14,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,5111
682703,0,0,6,0,0,69,0,599,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,4077
682780,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,924,0,0,0,0,0,0,0,1,0,5099
683285,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,754,0,0,0,0,0,0,0,1,0,4975
683421,0,0,6,0,0,22,0,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,14548
683480,0,0,6,0,0,39,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,21,0,4980
683756,0,0,6,0,0,11,0,0,0,1,0,1,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,22,15,4507
683795,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,758,0,0,0,0,0,0,0,1,0,4977
683797,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,760,0,0,0,0,0,0,0,1,0,4978
684090,0,0,6,0,0,22,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,14545
684117,0,0,6,0,0,69,0,524,0,1,0,351,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7236
684138,0,0,6,0,0,69,0,299,0,1,0,201,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7240
684172,0,0,6,0,0,69,0,1349,0,1,0,901,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7239
684368,0,0,6,0,0,22,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,14544
684442,0,0,6,0,0,69,0,974,0,1,0,651,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7237
684460,0,0,6,0,0,69,0,674,0,1,0,451,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7238
684561,0,0,6,0,0,22,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,14541
684645,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1086,0,0,0,0,0,0,0,1,0,6620
684741,0,0,3,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,16,0,0,0,0,1,0,8018
684743,0,0,6,0,0,13,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7700
685051,0,0,6,0,0,69,0,164,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,6143
685052,0,1,6,1,0,74,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,6143
685220,0,0,6,0,0,14,0,49,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,6,0,6873
685346,0,0,6,0,0,22,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,14543
685363,0,0,6,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7940
685656,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,16,0,0,0,0,1,0,8017
685677,0,2,6,0,0,22,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7302
685712,0,0,6,0,0,13,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7702
685715,0,2,6,0,0,22,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7320
685723,0,0,6,0,0,13,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7701
685730,0,0,6,0,0,13,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,7703
