ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
1511,0,0,6,0,0,558,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,4080
2479,0,0,6,0,0,87,0,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,6,0,6873
3637,0,1,6,0,0,79,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,25,0,8733
11595,0,0,6,0,0,558,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,20596
13222,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,179604,3,16,0,0,0,0,0,47,0,22996
13235,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,179624,3,16,0,0,0,0,0,47,0,23005
36292,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,16,0,0,0,0,0,0,1,0,44397
36293,0,0,6,0,0,42,0,0,0,1,0,0,0,0,0,0,0,83144,0,1,0,0,0,1,4,16,0,0,0,0,0,0,1,0,44398
36294,0,0,6,0,0,42,0,0,0,1,0,0,0,0,0,0,0,83145,0,1,0,0,0,1,4,16,0,0,0,0,0,0,1,0,44399
66768,0,0,157,0,0,0,0,0,0,1,0,0,52112,0,0,0,0,0,0,1,0,0,0,1,28255,0,0,0,0,0,0,0,1,0,73265
66772,0,0,157,0,0,0,0,0,0,1,0,0,52116,0,0,0,0,0,0,1,0,0,0,1,28259,0,0,0,0,0,0,0,1,0,73269
68033,0,0,6,0,0,69,0,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,0,0,1,0,76810
68036,0,0,6,0,0,69,0,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,0,0,1,0,76811
68038,0,0,6,0,0,69,0,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,0,0,1,0,76812
68485,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,416,0,0,0,0,0,0,0,32,0,79623
68871,0,1,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,195317,0,16,0,0,0,0,0,47,0,5316
69664,0,1,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,16,0,0,0,0,22,51,42807
69896,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13562,0,0,0,0,0,0,0,25,0,62497
69941,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13569,0,0,0,0,0,0,0,25,0,62803
69980,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,309,0,23,23,0,0,0,0,22,7,62980
69990,0,0,28,0,0,0,0,63021,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33452,1621,16,0,0,0,0,0,48,0,63022
69993,0,0,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,194349,0,16,0,0,0,0,0,66,0,63043
70008,0,0,28,0,0,0,0,63100,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33496,1621,16,0,0,0,0,0,48,0,63099
70016,0,0,28,0,0,0,0,63164,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33514,1621,16,0,0,0,0,0,48,0,63160
