Title_lang,Description_lang,Reward_lang,Flags,Instance_ID,Supercedes,Category,Ui_order,Shares_criteria,Faction,Points,Minimum_criteria,ID,IconFileID,Criteria_tree
"Level 10","Reach level 10.",,2101252,-1,0,92,1,0,-1,10,0,6,236562,2050
"Level 20","Reach level 20.",,2101252,-1,6,92,2,0,-1,10,0,7,236563,2683
"Level 30","Reach level 30.",,2101252,-1,7,92,4,0,-1,10,0,8,236564,1289
"Level 40","Reach level 40.",,2101252,-1,8,92,5,0,-1,10,0,9,236565,942
"Level 50","Reach level 50.",,2101252,-1,9,92,6,0,-1,10,0,10,236566,2053
"Level 60","Reach level 60.",,2101252,-1,10,92,7,0,-1,10,0,11,236567,2056
"Level 70","Reach level 70.",,2101252,-1,11,92,8,0,-1,10,0,12,236568,2059
"Level 80","Reach level 80.",,2101252,-1,12,92,9,0,-1,10,0,13,236569,2262
"Plenty of Pets","Collect 15 unique pets.",,131072,-1,1017,15118,2,0,-1,10,0,15,132599,22152
"Did Somebody Order a Knuckle Sandwich?","Raise your unarmed skill to 400.",,2048,-1,0,15234,13,0,-1,0,0,16,132356,6318
"A Simple Re-Quest","Complete a daily quest every day for five consecutive days.",,0,-1,0,96,17,0,-1,10,0,31,236680,2807
"2000 Quests Completed","Complete 2000 quests.",,0,-1,508,96,7,0,-1,10,0,32,236670,2810
"Nothing Boring About Borean","Complete the Borean Tundra storylines listed below.",,0,-1,0,14863,1,0,1,10,0,33,236728,1741
"I've Toured the Fjord","Complete the Howling Fjord storylines listed below.",,0,-1,0,14863,3,0,1,10,0,34,236787,5287
"Might of Dragonblight","Complete the Dragonblight storylines listed below.",,0,-1,0,14863,5,0,1,10,0,35,236749,1745
"The Empire of Zul'Drak","Complete the Zul'Drak storylines listed below.",,0,-1,0,14863,9,0,-1,10,0,36,236862,1881
"Fo' Grizzle My Shizzle","Complete the Grizzly Hills storylines listed below.",,0,-1,0,14863,7,0,1,10,0,37,236772,5284
"The Summit of Storm Peaks","Complete the Storm Peaks storylines listed below.",,0,-1,0,14863,11,0,-1,10,0,38,236838,1884
"Into the Basin","Complete the Sholazar Basin storylines listed below.",,0,-1,0,14863,10,0,-1,10,0,39,236823,1887
"Icecrown: The Final Goal","Complete the Icecrown storylines listed below.",,0,-1,0,14863,12,0,-1,10,0,40,236799,3375
"Loremaster of Northrend","Complete the Northrend quest achievements listed below.",,131072,-1,0,14863,21,0,-1,10,0,41,236812,5756
"Eastern Kingdoms Explorer","Explore the regions of Eastern Kingdoms.",,131072,-1,0,97,1,0,-1,25,0,42,236759,2402
"Kalimdor Explorer","Explore the regions of Kalimdor.",,131072,-1,0,97,2,0,-1,25,0,43,236807,3317
"Outland Explorer","Explore the regions of Outland.",,131072,-1,0,97,3,0,-1,25,0,44,236813,3340
"Northrend Explorer","Explore the regions of Northrend.","Reward: Tabard of the Explorer",131072,-1,0,97,4,0,-1,25,0,45,236812,12064
"Universal Explorer","Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, and the Broken Isles.","Title Reward: The Explorer",131072,-1,0,97,9,0,-1,50,0,46,237381,3257
"Alterac Valley victories","Alterac Valley victories",,1,30,0,153,6,0,-1,0,0,49,136243,15889
"Eye of the Storm victories","Eye of the Storm victories",,1,566,0,153,13,0,-1,0,0,50,136243,9109
"Arathi Basin victories","Arathi Basin victories",,1,529,0,153,8,0,-1,0,0,51,136243,5504
"Warsong Gulch battles","Warsong Gulch battles",,1,489,0,153,18,0,-1,0,0,52,136243,5507
"Alterac Valley battles","Alterac Valley battles",,1,30,0,153,5,0,-1,0,0,53,136243,5510
"Eye of the Storm battles","Eye of the Storm battles",,1,566,0,153,11,0,-1,0,0,54,136243,1272
"Arathi Basin battles","Arathi Basin battles",,1,529,0,153,7,0,-1,0,0,55,136243,3391
"Deaths in Warsong Gulch","Deaths in Warsong Gulch",,1,489,0,124,3,0,-1,0,0,56,136243,140
"Deaths in Alterac Valley","Deaths in Alterac Valley",,1,30,0,124,1,0,-1,0,0,57,136243,2062
"Deaths from Drek'Thar","Deaths from Drek'Thar",,1,30,0,124,11,0,1,0,0,58,136243,143
"Deaths in Arathi Basin","Deaths in Arathi Basin",,1,529,0,124,2,0,-1,0,0,59,136243,1064
"Total deaths","Total deaths",,1,-1,0,122,1,0,-1,0,0,60,136243,1189
"Disgracin' The Basin","Assault 3 bases in a single Arathi Basin battle.",,0,529,0,14802,5,0,-1,10,0,73,132333,7709
"Quests abandoned","Quests abandoned",,1,-1,0,133,5,0,-1,0,0,94,136243,805
"Average quests completed per day","Average quests completed per day",,65,-1,0,133,2,98,-1,0,0,95,136243,5199
"Daily quests completed","Daily quests completed",,1,-1,0,133,3,0,-1,0,0,97,136243,5766
"Quests completed","Quests completed",,1,-1,0,133,1,0,-1,0,0,98,136243,758
"Ruins of Lordaeron matches","Ruins of Lordaeron matches",,1,-1,0,152,18,0,-1,0,0,99,136243,15898
"Ring of Trials victories","Ring of Trials victories",,1,-1,0,152,15,0,-1,0,0,100,136243,836
"Ring of Trials matches","Ring of Trials matches",,1,-1,0,152,14,0,-1,0,0,101,136243,945
"Ruins of Lordaeron victories","Ruins of Lordaeron victories",,1,-1,0,152,19,0,-1,0,0,102,136243,8210
"Circle of Blood matches","Circle of Blood matches",,1,-1,0,152,10,0,-1,0,0,103,136243,808
"Circle of Blood victories","Circle of Blood victories",,1,-1,0,152,11,0,-1,0,0,104,136243,15892
"Warsong Gulch victories","Warsong Gulch victories",,1,-1,0,153,19,0,-1,0,0,105,136243,3068
"Creatures killed","Creatures killed",,9,-1,0,135,1,0,-1,0,0,107,136243,762
"Critters killed","Critters killed",,1,-1,0,135,4,0,-1,0,0,108,136243,774
"Lich King 5-player boss defeated the most","Lich King 5-player boss killed the most",,1,-1,0,14807,8,1467,-1,0,0,110,136243,2277
"Deaths from drowning","Deaths from drowning",,1,-1,0,126,1,0,-1,0,0,112,136243,9921
"Deaths from fatigue","Deaths from fatigue",,1,-1,0,126,3,0,-1,0,0,113,136243,777
"Deaths from falling","Deaths from falling",,1,-1,0,126,4,0,-1,0,0,114,136243,2429
"Deaths from fire and lava","Deaths from fire and lava",,9,-1,0,126,5,0,-1,0,0,115,136243,1592
"Professional Journeyman","Obtain 150 skill points in a profession.",,0,-1,0,169,1,0,-1,10,1,116,134327,1596
"Journeyman Cook","Obtain 150 skill points in cooking.",,0,-1,0,170,1,0,-1,10,0,121,133971,5281
"Expert Cook","Obtain 225 skill points in cooking.",,0,-1,121,170,2,0,-1,10,0,122,133971,2377
"Artisan Cook","Obtain 300 skill points in cooking.",,0,-1,122,170,3,0,-1,10,0,123,133971,4033
"Master Cook","Obtain 375 skill points in cooking.",,0,-1,123,170,4,0,-1,10,0,124,133971,2432
"Grand Master Cook","Obtain 450 skill points in cooking.",,0,-1,124,170,5,0,-1,10,0,125,133971,1578
"Journeyman Fisherman","Obtain 150 skill points in fishing.",,0,-1,0,171,1,0,-1,10,0,126,136245,1738
"Expert Fisherman","Obtain 225 skill points in fishing.",,0,-1,126,171,2,0,-1,10,0,127,136245,3071
"Artisan Fisherman","Obtain 300 skill points in fishing.",,0,-1,127,171,3,0,-1,10,0,128,136245,2467
"Master Fisherman","Obtain 375 skill points in fishing.",,0,-1,128,171,4,0,-1,10,0,129,136245,3667
"Grand Master Fisherman","Obtain 450 skill points in fishing.",,0,-1,129,171,5,0,-1,10,0,130,136245,2380
"Journeyman Medic","Obtain 150 skill points in first aid.",,2097152,-1,0,172,1,0,-1,10,0,131,135966,2435
"Expert Medic","Obtain 225 skill points in first aid.",,2097152,-1,131,172,2,0,-1,10,0,132,135966,149
"Artisan Medic","Obtain 300 skill points in first aid.",,0,-1,132,172,3,0,-1,10,0,133,135966,1620
"Master Medic","Obtain 375 skill points in first aid.",,0,-1,133,172,4,0,-1,10,0,134,135966,3355
"Grand Master Medic","Obtain 450 skill points in first aid.",,0,-1,134,172,5,0,-1,10,0,135,135966,2792
"Stocking Up","Create 500 Heavy Frostweave Bandages.",,0,-1,0,172,10,0,-1,10,0,137,133674,2804
"Ultimate Triage","Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.",,0,-1,0,172,12,0,-1,10,1,141,134470,6753
"The Lurker Above","Fish up The Lurker Below in Serpentshrine Cavern.",,0,-1,0,171,18,0,-1,10,0,144,132107,2813
"The Fishing Diplomat","Fish something up in Orgrimmar and Stormwind.",,0,-1,0,171,12,0,-1,10,0,150,133146,1281
"The Old Gnome and the Sea","Successfully fish from a school.",,0,-1,0,171,10,0,-1,10,1,153,236573,609
"Arathi Basin Victory","Win Arathi Basin.",,0,529,0,14802,1,0,-1,10,0,154,236385,2065
"Arathi Basin Veteran","Complete 100 victories in Arathi Basin.",,0,529,154,14802,2,0,-1,10,0,155,236381,4715
"Territorial Dominance","Win 10 Arathi Basin matches while controlling all 5 flags.",,0,529,0,14802,9,0,-1,10,0,156,236386,117
"To The Rescue!","Come to the defense of a base in Arathi Basin 50 times by recapping the flag.",,0,529,0,14802,7,0,-1,10,0,157,132365,5243
"Me and the Cappin' Makin' it Happen","Take 50 flags in Arathi Basin.",,0,529,0,14802,4,0,-1,10,0,158,236373,1076
"Let's Get This Done","Win Arathi Basin in 6 minutes.",,0,529,0,14802,10,0,-1,10,0,159,236387,1079
"Resilient Victory","Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.",,0,529,0,14802,8,0,-1,10,1,161,236371,4405
"We Had It All Along *cough*","Win Arathi Basin by 50 points or less.",,0,529,0,14802,11,0,-1,10,0,162,136165,129
"Arathi Basin Perfection","Win Arathi Basin with a score of 1600 to 0.",,0,529,0,14802,3,0,-1,20,0,165,236348,881
"Warsong Gulch Victory","Win Warsong Gulch.",,0,489,0,14804,1,0,-1,10,0,166,236396,419
"Warsong Gulch Veteran","Complete 100 victories in Warsong Gulch.",,0,489,166,14804,2,0,-1,10,0,167,236384,422
"Warsong Gulch Perfection","Win Warsong Gulch with a score of 3 to 0.",,0,489,0,14804,8,0,-1,10,0,168,236397,9102
"Enchanting formulae learned","Enchanting formulae learned",,1,-1,0,173,6,0,-1,0,0,178,136243,1285
"Items disenchanted","Items disenchanted",,1,-1,0,173,8,0,-1,0,0,181,136243,146
"Materials produced from disenchanting","Materials produced from disenchanting",,1,-1,0,173,7,0,-1,0,0,183,136243,2339
"Largest heal cast","Largest heal cast",,1,-1,0,141,5,0,-1,0,0,189,136243,2038
"Largest hit dealt","Largest hit dealt",,1,-1,0,141,1,0,-1,0,0,193,136243,2041
"Total damage done","Total damage done",,1,-1,0,141,3,0,-1,0,0,197,136243,8207
"Total healing done","Total healing done",,1,-1,0,141,7,0,-1,0,0,198,136243,14968
"Capture the Flag","Personally carry and capture the flag in Warsong Gulch.",,0,489,0,14804,3,0,-1,10,0,199,236350,3500
"Persistent Defender","Return 50 flags as a defender in Warsong Gulch.",,0,489,0,14804,4,0,-1,10,0,200,236355,2383
"Warsong Expedience","Win Warsong Gulch in under 7 minutes.",,0,489,0,14804,9,0,-1,10,0,201,236398,8437
