ID,ZoneName,AreaName_lang,Flags_0,Flags_1,Ambient_multiplier,ContinentID,ParentAreaID,AreaBit,AmbienceID,ZoneMusic,IntroSound,LiquidTypeID_0,LiquidTypeID_1,LiquidTypeID_2,LiquidTypeID_3,UwZoneMusic,UwAmbience,PvpCombatWorldStateID,SoundProviderPref,SoundProviderPrefUnderwater,ExplorationLevel,FactionGroupMask,MountFlags,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,UwIntroSound
1,DunMorogh,"Dun Morogh",16449,0,0.30000001192,0,0,119,598,759,0,0,0,0,0,0,675,-1,0,11,0,2,15,1,2,0,0
2,Longshore,Longshore,1073758272,0,0,0,40,120,567,9,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
3,Badlands,Badlands,16448,0,0.10000000149,0,0,121,606,738,0,0,0,0,0,0,675,-1,0,11,0,0,15,13,14,0,0
4,BlastedLands,"Blasted Lands",16448,0,0,0,0,122,210,7,0,0,0,0,0,0,675,-1,0,11,0,0,15,16,17,0,0
5,GLOBAL,"- QA and DVD GLOBAL -",64,0,0,606,0,6800,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,15,0,0,0,0
7,DarkwaterCove,"Blackwater Cove",1073758272,0,0,0,5287,123,0,3,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
8,SwampofSorrows,"Swamp of Sorrows",16448,0,0.30000001192,0,0,124,33,223,0,0,0,0,0,0,675,-1,0,11,0,0,15,14,15,0,0
9,NorthshireValley,"Northshire Valley",1076903936,0,0,0,6170,125,35,1,674,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
10,Duskwood,Duskwood,16448,0,0.30000001192,0,0,617,572,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,5,7,0,0
11,Wetlands,Wetlands,16448,0,0.30000001192,0,0,618,603,637,0,0,0,0,0,0,675,-1,0,11,0,0,15,6,7,0,0
12,ElwynnForest,"Elwynn Forest",16448,0,0,0,0,126,604,1,670,0,0,0,0,0,675,-1,0,11,0,2,15,1,2,0,0
13,TheWorldTree,"The World Tree",1073758272,0,0,0,10,555,48,11,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
14,Durotar,Durotar,16448,0,0.40000000596,1,0,127,569,890,0,0,0,0,0,0,675,-1,0,11,0,4,15,1,2,0,0
15,Dustwallow,"Dustwallow Marsh",16448,0,0.40000000596,1,0,128,586,590,0,0,0,0,0,0,675,-1,0,11,0,0,15,12,13,0,0
16,Azshara,Azshara,16448,0,0.30000001192,1,0,129,570,858,756,0,0,0,0,0,675,-1,82,11,0,4,15,3,6,0,0
17,TheBarrens,"Northern Barrens",16448,0,0.30000001192,1,0,130,629,800,0,0,0,0,0,0,675,-1,0,11,0,4,15,3,4,0,0
18,CrystalLake,"Crystal Lake",1073758272,0,0,0,12,131,35,1,0,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
19,ZulGurub,Zul'Gurub,1073762368,0,0,0,33,574,32,713,0,0,0,0,0,0,675,-1,0,11,40,0,15,0,0,0,0
20,Moonbrook,Moonbrook,1073758272,0,0,0,40,132,0,9,0,0,0,0,0,0,675,-1,0,11,14,0,15,0,0,0,0
21,KulTiras,"Kul Tiras",16448,0,0,0,0,133,0,8,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
22,ProgrammerIsle,"Programmer Isle",16448,0,0,451,0,547,38,2,0,1,0,0,0,0,675,3499,0,11,0,0,14,0,0,0,0
23,NorthshireRiver,"Northshire River",1074806848,0,0,0,12,134,35,0,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
24,Northshireabbey,"Northshire Abbey",1076904000,0,0,0,6170,135,35,1,0,0,0,0,0,0,675,-1,73,11,0,0,15,0,0,0,0
25,BlackrockMountain,"Blackrock Mountain",16448,0,0,0,0,136,46,10,0,0,0,0,0,0,675,-1,0,11,0,0,15,15,17,0,0
26,Lighthouse,Lighthouse,1073758272,0,0,0,40,602,0,7,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
