SourceText_lang,Description_lang,CreatureID,IconFileDataID,SummonSpellID,Flags,PetTypeEnum,SourceTypeEnum,ID,CardUIModelSceneID,LoadoutUIModelSceneID
,,61892,132332,0,49,4,-1,2,6,7
"|cFFFFD200Profession: |rEngineering","A mechanical squirrel's logic center tells it to collect and store both nuts and bolts for the winter.",2671,656559,4055,2,9,3,39,6,7
"|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Donni Anthania plans to have a bombay buried with her when she dies. A wise adventurer can put its talents to much better use.",7385,656575,10673,2,7,2,40,6,7
"|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Donni Anthania invites these cats to her tea parties. But she doesn't serve their favorite drink: the tears of their enemies.",7384,656577,10674,2,7,2,41,6,7
"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rHillsbrad Foothills","Old Alterac saying: 'A cat has nine lives, but needs only one.'",7383,656574,10675,2,7,0,42,6,7
"|cFFFFD200Vendor: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","The last person who tried to housebreak this cat quickly learned that a soiled rug is better than a shredded everything-else.",7382,656578,10676,2,7,2,43,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Known for its blue eyes. Also considered a delicacy by giant murlocs.",7380,656579,10677,2,7,2,44,6,7
"|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Sleeping is this cat's second favorite activity. The first is yawning.",7381,656580,10678,2,7,2,45,6,7
"|cFFFFD200Vendor: |rLil Timmy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","'The queen had three kittens. The first gave her a juicy rat. The second, a tasty hare. And the white, her favorite, presented the head of her rival.'",7386,656581,10679,2,7,2,46,6,7
"|cFFFFD200Vendor: |rHarry No-Hooks, Narkk|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Some say this clever bird can be taught to speak--but it's smart enough to keep its beak shut.",7390,132921,10680,2,2,2,47,6,7
"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn","The jungle trolls train these birds to mimic calls for help in order to lure unsuspecting travelers into traps.",7391,132921,10682,2,2,0,49,6,7
"|cFFFFD200Drop: |rDefias Pirate|n|cFFFFD200Zone: |rThe Deadmines","Favored pet of the Defias pirates, this colorful bird is handy for remembering passwords, grocery lists, and cracker recipes.",7387,132925,10683,2,2,0,50,6,7
"|cFFFFD200Vendor: |rNarkk, Harry No-Hooks|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Favored pet of the goblins of Booty Bay, this colorful bird is renowned for its ability to count coins, tally budgets, and lie about contracts.",7389,132924,10684,2,2,2,51,6,7
"|cFFFFD200Vendor: |r""Plucky"" Johnson|n|cFFFFD200Zone: |rThousand Needles|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","It thinks you taste like chicken too.",7394,135996,10685,2,2,2,52,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rJeremiah Payson|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","The cockroach is usually an impulse buy. Its owners have a hard time parting with it even after numerous attempts.",7395,294474,10688,2,4,2,55,6,7
"|cFFFFD200Drop: |rWhelplings|n|cFFFFD200Zone: |rWetlands, Dustwallow Marsh, Badlands, Burning Steppes","Hopes that someday it can grow up to destroy villages, just like mommy.",7543,134154,10695,2,1,0,56,6,7
"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWinterspring","Like other members of the blue dragonflight, these whimsical little critters display an affinity to arcane magic.",7547,134155,10696,2,1,0,57,6,7
"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWetlands","Hailing from the Wetlands, this young dragon is just learning how to hunt, breathe fire, and go on cute destructive rampages.",7544,134158,10697,2,1,0,58,6,7
"|cFFFFD200Drop: |rNoxious Whelp|n|cFFFFD200Zone: |rFeralas","Once bred and raised by the green dragon Itharius, this unique breed of dragon has settled in the jungles of Feralas.",7545,134157,10698,2,1,0,59,6,7
"|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","Vendors at the Darkmoon Faire offer strange and exotic wonders. They also sell wood frogs.",7550,237579,10703,2,8,2,64,6,7
"|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","Known for their powerful legs and keen eyesight.",7549,237579,10704,2,8,2,65,6,7
"|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","This dark-feathered bird of prey is often seen as a harbinger of doom amongst the druids of Teldrassil.",7555,132150,10706,2,2,2,67,6,7
"|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Night elf children are given an owl feather on their first birthday as a token of good luck.",7553,132150,10707,2,2,2,68,6,7
"|cFFFFD200Pet Battle: |rWinterspring|n|cFFFFD200Season: |rWinter","Winterspring's furbolg prize the brilliant white feathers of these majestic creatures for ritual purposes.",7554,132150,0,26,2,4,69,6,7
"|cFFFFD200Vendor: |rHalpa, Naleen|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","A complex system of burrows protects the prairie dog from its neighbors' massive hooves.",14421,656176,10709,2,4,2,70,6,7
,,66492,132211,0,48,7,-1,941,6,7
,,66493,237579,0,48,8,-1,942,6,7
"|cFFFFD200Vendor: |rYarlyn Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","If you go chasing snowshoe rabbits, you know you're going to fall.",7560,132762,10711,2,4,2,72,6,7
"|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","A favored companion of Kirin Tor magi, this reptile makes one wonder whether it's truly a snake or something else altogether.",7561,136040,10713,2,7,2,74,6,7
"|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Xan'tish fearlessly tracks, captures, and trains these noble snakes so they will aid their comrades in battle.",7565,136040,10714,2,7,2,75,6,7
"|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","The brown snake is native to Horde-controlled territories. It seems unremarkable until its victims are within range.",7562,136040,10716,2,7,2,77,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","The crimson snake is favored among the Darkspear trolls for not only its vicious nature, but also its steadfast loyalty.",7567,136040,10717,2,7,2,78,6,7
"|cFFFFD200Quest:|r An OOX of Your Own|n|cFFFFD200Zone:|r Booty Bay|n","Not to worry; the combat mechanisms and homing logic have been disabled on this unit, I think. --Oglethorpe Obnoticus",8376,656513,12243,18,9,1,83,6,7
"|cFFFFD200Quest: |rCLUCK!|n|cFFFFD200Zone: |rWestfall","Don't call this bird chicken unless you want egg on your face.",30379,135996,13548,18,2,1,84,6,7
"|cFFFFD200Profession: |rEngineering","Possibly explosive, definitely adorable. Keep away from open flame.",9656,133712,15048,2,9,3,85,6,7
"|cFFFFD200Profession: |rEngineering","This tiny peacekeeper security bot is often outfitted with the latest arcane nullifiers and crowd pummelers. Not for the environmentally minded.",9657,294476,15049,2,9,3,86,35,7
