ID,Asset,Start_asset,Fail_asset,Modifier_tree_ID,Start_timer,Eligibility_world_state_ID,Type,Start_event,Fail_event,Flags,Eligibility_world_state_value
72,0,0,0,0,0,0,10,2,2,0,0
74,3537,0,0,0,0,0,11,0,0,0,0
75,495,0,0,0,0,0,11,0,0,0,0
76,65,0,0,0,0,0,11,0,0,0,0
77,66,0,0,0,0,0,11,0,0,0,0
78,394,0,0,0,0,0,11,0,0,0,0
79,67,0,0,0,0,0,11,0,0,0,0
80,3711,0,0,0,0,0,11,0,0,0,0
81,210,0,0,0,0,0,11,0,0,0,0
82,33,0,0,0,0,0,8,0,0,0,0
83,34,0,0,0,0,0,8,0,0,0,0
84,35,0,0,0,0,0,8,0,0,0,0
85,36,0,0,0,0,0,8,0,0,0,0
86,37,0,0,0,0,0,8,0,0,0,0
87,38,0,0,0,0,0,8,0,0,0,0
88,39,0,0,0,0,0,8,0,0,0,0
89,40,0,0,0,0,0,8,0,0,0,0
94,42,0,0,0,0,0,8,0,0,0,0
95,43,0,0,0,0,0,8,0,0,0,0
96,44,0,0,0,0,0,8,0,0,0,0
97,45,0,0,0,0,0,8,0,0,0,0
104,30,0,0,0,0,0,15,0,0,0,0
105,566,0,0,0,0,0,15,0,0,0,0
106,529,0,0,0,0,0,15,0,0,0,0
107,489,0,0,0,0,0,16,0,0,0,0
108,30,0,0,0,0,0,16,0,0,0,0
110,529,0,0,0,0,0,16,0,0,0,0
111,0,0,0,0,0,0,17,0,0,0,0
123,122,529,0,0,0,0,30,3,3,2,0
147,1,0,0,0,0,0,26,0,0,0,0
148,0,0,0,0,0,0,26,0,0,0,0
149,2,0,0,0,0,0,26,0,0,0,0
150,5,0,0,0,0,0,26,0,0,0,0
151,3,0,0,0,0,0,26,0,0,0,0
162,0,0,0,0,0,0,13,0,0,0,0
167,162,0,0,0,0,0,7,0,0,0,0
169,5,0,0,12106,0,0,18,0,0,0,0
226,1167,0,0,0,0,0,8,0,0,0,0
227,1169,0,0,0,0,0,8,0,0,0,0
229,1172,0,0,0,0,0,8,0,0,0,0
285,12499,0,0,0,0,0,27,0,0,0,0
286,12500,0,0,0,0,0,27,0,0,0,0
306,0,0,0,0,0,0,37,0,0,0,0
308,122,0,0,0,0,0,30,0,0,0,0
318,17182,0,0,0,0,0,36,0,0,0,0
325,32838,0,0,0,0,0,36,0,0,0,0
326,32837,0,0,0,0,0,36,0,0,0,0
328,8743,0,0,0,0,0,27,0,0,0,0
347,11892,0,0,0,0,0,27,0,0,0,0
349,20371,0,0,0,0,0,36,0,0,0,0
350,33079,0,0,0,0,0,36,0,0,0,0
