ID,Description_lang,Amount,Flags,Operator,CriteriaID,Parent,OrderIndex
2,"Most gold ever owned",0,0,4,0,0,0
3,"Most gold ever owned:",0,8,0,4224,2,1
5,"Mounts owned",0,0,4,0,0,0
6,"Number of mounts",0,0,0,4787,5,1
8,"Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.",0,0,4,0,0,0
9,Dwarf,1,0,0,5776,8,3
10,Gnome,1,0,0,5772,8,4
11,"Blood Elf",1,0,0,5774,8,1
12,Draenei,1,0,0,5775,8,2
13,Human,1,0,0,5777,8,6
14,"Night Elf",1,0,0,5778,8,7
15,Orc,1,0,0,5779,8,8
16,Tauren,1,0,0,5780,8,9
17,Troll,1,0,0,5781,8,10
18,Undead,1,0,0,5782,8,11
19,Worgen,1,0,0,17854,8,12
20,Goblin,1,0,0,17855,8,5
22,"Duels lost",0,0,4,0,0,0
23,"Duels lost",0,0,0,3630,22,1
25,"Total deaths to Lich King 25-player raid bosses",0,0,5,0,0,0
26,"XT-002 Deconstructor",0,0,0,11019,25,25
27,Freya,0,0,0,11027,25,33
28,Mimiron,0,0,0,11028,25,34
29,"General Vezax",0,0,0,11029,25,35
30,Yogg-Saron,0,0,0,11030,25,36
31,"Algalon the Observer",0,0,0,11031,25,37
32,"Emalon the Storm Watcher",0,0,0,11032,25,38
33,"Flame Leviathan",0,0,0,11016,25,22
34,Razorscale,0,0,0,11017,25,23
35,"Ignis the Furnace Master",0,0,0,11018,25,24
36,Auriaya,0,0,0,11024,25,30
37,Hodir,0,0,0,11025,25,31
38,Steelbreaker,0,0,0,11020,25,26
39,"Stormcaller Brundir",0,0,0,11022,25,28
40,Kologarn,0,0,0,11023,25,29
41,Thaddius,0,0,0,7839,25,13
42,"Thane Korth'azz",0,0,0,7845,25,7
43,Patchwerk,0,0,0,7838,25,14
44,Sapphiron,0,0,0,7840,25,12
45,Kel'Thuzad,0,0,0,7841,25,11
46,"Lady Blaymeux",0,0,0,7842,25,10
47,"Baron Rivendare",0,0,0,7843,25,9
48,"Noth the Plaguebringer",0,0,0,7837,25,15
49,"Heigan the Unclean",0,0,0,7833,25,19
50,"Archavon the Stone Watcher",0,0,0,7848,25,4
51,Anub'Rekhan,0,0,0,7828,25,1
52,Gluth,0,0,0,7829,25,21
53,"Gothik the Harvester",0,0,0,7830,25,2
54,"Grand Widow Faerlina",0,0,0,7831,25,20
55,Grobbulus,0,0,0,7832,25,3
56,"Instructor Razuvious",0,0,0,7834,25,18
57,Loatheb,0,0,0,7835,25,17
58,Maexxna,0,0,0,7836,25,16
59,Sartharion,0,0,0,7846,25,6
60,Anub'arak,0,0,0,13296,25,44
61,"Lady Deathwhisper",0,0,0,13298,25,46
62,"Toravon the Ice Watcher",0,0,0,13291,25,39
63,Rotface,0,0,0,13304,25,52
64,Icehowl,0,0,0,13292,25,40
65,"Sir Zeliek",0,0,0,7844,25,8
66,Malygos,0,0,0,7847,25,5
67,"Lord Jaraxxus",0,0,0,13293,25,41
68,"Fjola Lightbane",0,0,0,13294,25,42
69,"Lord Marrowgar",0,0,0,13297,25,45
70,"Deathbringer Saurfang",0,0,0,13299,25,47
71,"Blood-Queen Lana'thel",0,0,0,13300,25,48
72,Sindragosa,0,0,0,13301,25,49
73,"The Lich King",0,0,0,13302,25,50
74,Festergut,0,0,0,13303,25,51
75,"Professor Putricide",0,0,0,13305,25,53
76,"Eydis Darkbane",0,0,0,13295,25,43
77,"Runemaster Molgeim",0,0,0,11021,25,27
78,Thorim,0,0,0,11026,25,32
80,"Earned the title, ""Grand Marshal"".",0,0,4,0,0,0
81,"Grand Marshal",0,2,0,707,80,1
83,"Earned the title, ""Lieutenant Commander"".",0,0,4,0,0,0
84,"Lieutenant Commander",0,2,0,711,83,1
86,"Earned the title, ""Knight"".",0,0,4,0,0,0
87,Knight,0,2,0,721,86,1
89,"Vault of Mysteries (Mogu'shan Vaults Second Half)",0,0,4,0,0,0
