ID,IconFileDataID,ClassID,SubclassID,Sound_override_subclassID,Material,InventoryType,SheatheType,ItemGroupSoundsID
17,132759,4,4,-1,6,4,3,11
25,135274,2,7,-1,1,21,3,8
35,135145,2,10,-1,2,17,2,13
36,133478,2,4,-1,2,21,3,8
37,132402,2,0,-1,1,21,3,8
38,135009,4,0,-1,7,4,0,7
39,134582,4,4,-1,6,7,0,8
40,132540,4,4,-1,6,8,0,8
41,132494,4,0,-1,7,6,0,7
43,132535,4,4,-1,6,8,0,8
45,135005,4,0,-1,7,4,0,7
46,132495,4,0,-1,7,6,0,7
47,132539,4,2,-1,7,8,0,7
48,134582,4,2,-1,7,7,0,7
50,132493,4,0,-1,7,6,0,7
51,132538,4,1,-1,7,8,0,7
52,134582,4,1,-1,7,7,0,7
55,132543,4,1,-1,7,8,0,7
56,132664,4,1,-1,7,20,0,7
57,132665,4,1,-1,7,20,0,7
58,132492,4,0,-1,7,6,0,7
59,132535,4,1,-1,7,8,0,7
60,132724,4,2,-1,8,5,0,7
61,443401,4,2,-1,8,7,0,7
77,135006,4,1,-1,7,5,0,7
79,443400,4,1,-1,7,7,0,7
85,135011,4,2,-1,8,5,0,7
87,132535,4,0,-1,7,8,0,7
89,135011,4,0,-1,7,4,0,7
97,132662,4,1,-1,7,20,0,7
117,133972,0,5,-1,0,0,0,15
118,134829,0,1,-1,3,0,0,17
129,132540,4,3,-1,5,8,0,10
131,133693,4,0,-1,7,6,0,7
132,132536,4,0,-1,7,8,0,7
138,132719,4,0,-1,7,4,0,7
140,132538,4,4,-1,6,8,0,8
141,132491,4,0,-1,7,6,0,7
143,134951,4,6,-1,1,14,4,9
147,134582,4,3,-1,5,7,0,10
153,134582,4,2,-1,8,7,0,7
154,133766,4,0,-1,7,4,0,7
159,132794,0,5,-1,0,0,0,17
182,134166,12,0,-1,0,0,0,15
184,133622,1,0,-1,8,18,0,18
192,133476,2,14,-1,6,21,3,8
193,135022,4,1,-1,7,5,0,7
194,134592,4,1,-1,7,7,0,7
195,132539,4,1,-1,7,8,0,7
203,132955,4,1,-1,7,10,0,7
209,134706,4,2,-1,8,7,0,7
210,132540,4,2,-1,8,8,0,7
236,132725,4,2,-1,8,5,0,7
237,134586,4,2,-1,8,7,0,7
238,132537,4,2,-1,8,8,0,7
239,132955,4,2,-1,8,10,0,7
285,132631,4,3,-1,5,5,0,10
286,134583,4,3,-1,5,7,0,10
287,132535,4,3,-1,5,8,0,10
414,133995,0,5,-1,0,0,0,16
422,133949,0,5,-1,0,0,0,16
527,133280,12,0,-1,2,0,0,16
537,134304,15,0,-1,2,0,0,16
555,135992,15,0,-1,7,0,0,16
556,133707,15,0,-1,2,0,0,16
647,135317,2,8,-1,1,17,1,9
710,132610,4,1,-1,7,9,0,7
711,132961,4,1,-1,7,10,0,7
714,132952,4,2,-1,8,10,0,7
718,132938,4,3,-1,5,10,0,10
719,445518,4,1,-1,7,10,0,7
720,132939,4,2,-1,8,10,0,7
723,134341,7,8,-1,8,0,0,15
724,133952,0,5,-1,0,0,0,16
725,134297,12,0,-1,8,0,0,15
727,135274,2,7,-1,1,13,3,8
728,134939,9,5,-1,2,0,0,20
729,133972,7,8,-1,4,0,0,15
730,133884,7,8,-1,4,0,0,15
731,135997,7,8,-1,4,0,0,15
732,134189,7,0,-1,4,0,0,23
733,133748,0,5,-1,7,0,0,17
734,133278,12,0,-1,0,0,0,14
737,134712,12,0,-1,0,0,0,17
738,134058,12,0,-1,0,0,0,23
739,134059,12,0,-1,0,0,0,23
741,133216,7,7,-1,1,0,0,8
742,133749,12,0,-1,2,0,0,12
743,135437,12,0,-1,2,0,0,13
744,132788,4,0,-1,4,12,0,17
745,134939,12,0,-1,0,0,0,20
746,132483,4,1,-1,1,5,0,7
750,133972,12,0,-1,0,0,0,15
751,133718,2,4,-1,2,21,3,8
752,133694,12,0,-1,7,0,0,7
753,135346,2,7,-1,1,13,3,8
754,135312,2,7,-1,1,13,3,8
755,133750,15,0,-1,4,0,0,16
756,134708,2,1,-1,1,17,1,9
761,133888,0,8,-1,8,0,0,15
763,132607,4,2,-1,8,9,0,7
765,134190,7,9,-1,2,0,0,23
766,133482,2,4,-1,2,21,3,8
768,132392,2,0,-1,1,21,3,8
769,133970,7,8,-1,4,0,0,15
770,133725,15,0,-1,4,0,0,16
771,133721,15,0,-1,4,0,0,16
772,133750,12,0,-1,0,0,0,16
773,133848,12,0,-1,0,0,0,23
774,134106,7,4,-1,3,0,0,24
776,135638,2,15,-1,1,13,3,8
777,134298,15,0,-1,4,0,0,16
778,134708,2,0,-1,1,21,1,8
779,134431,15,0,-1,4,0,0,16
780,134304,12,0,-1,0,0,0,16
781,133046,2,4,-1,2,21,3,8
782,133693,12,0,-1,7,0,0,7
783,134369,7,6,-1,8,0,0,7
784,134343,7,11,-1,0,0,0,15
785,133436,7,9,-1,2,0,0,23
787,133910,0,5,-1,8,0,0,15
788,135323,2,7,-1,1,21,5,8
789,133045,2,4,-1,2,13,3,8
790,132405,2,0,-1,1,13,3,8
791,135139,2,10,-1,2,17,2,13
792,132579,4,1,-1,7,8,0,7
793,132952,4,1,-1,7,10,0,7
794,134591,4,1,-1,7,7,0,7
795,135014,4,1,-1,7,5,0,7
796,132543,4,2,-1,8,8,0,7
798,134589,4,2,-1,8,7,0,7
799,132760,4,2,-1,8,5,0,7
804,133641,1,0,-1,8,18,0,18
805,133638,1,0,-1,8,18,0,18
806,133634,1,0,-1,8,18,0,18
807,133218,7,7,-1,1,0,0,8
808,134106,7,11,-1,0,0,0,24
809,135329,2,7,-1,1,13,3,8
810,133048,2,4,-1,2,13,3,8
811,132398,2,0,-1,1,13,3,8
812,135166,2,10,-1,2,17,2,13
813,134063,15,0,-1,4,0,0,22
814,132794,7,1,-1,0,0,0,17
816,135637,2,15,-1,1,13,3,8
818,134118,7,4,-1,3,0,0,24
826,132392,2,0,-1,1,13,3,8
827,133476,2,4,-1,2,13,3,8
828,133636,1,0,-1,8,18,0,18
829,133694,12,0,-1,8,0,0,7
832,132492,4,3,-1,5,6,0,8
833,134580,4,0,-1,4,12,0,24
835,134325,0,8,-1,8,0,0,16
836,134325,0,8,-1,8,0,3,16
837,135010,4,1,-1,7,5,0,7
838,134594,4,1,-1,7,7,0,7
841,134377,12,0,-1,0,0,0,14
842,134938,15,0,-1,0,0,0,20
843,132592,4,2,-1,8,8,0,7
847,132624,4,3,-1,5,5,0,10
852,133490,2,4,-1,2,13,3,8
853,132402,2,0,-1,1,13,3,8
854,135154,2,10,-1,2,17,2,13
855,133635,1,0,-1,8,18,0,18
856,133626,1,0,-1,8,18,0,18
857,133643,1,0,-1,8,18,0,18
858,134830,0,1,-1,3,0,0,17
859,135006,4,0,-1,7,4,0,7
862,132523,4,0,-1,4,11,0,14
863,132399,2,0,-1,1,13,3,8
864,135328,2,7,-1,1,13,3,8
865,133478,2,4,-1,2,13,3,8
867,132940,4,2,-1,8,10,0,7
868,133488,2,4,-1,2,13,3,8
869,135326,2,7,-1,1,13,3,8
870,132393,2,1,-1,1,17,1,9
871,132408,2,0,-1,1,13,3,8
872,135419,2,1,-1,1,17,1,9
873,135150,2,10,-1,2,17,2,13
875,134944,15,0,-1,0,0,0,20
876,134955,4,6,-1,1,14,4,9
877,133728,12,0,-1,0,0,0,16
878,134321,15,0,-1,4,0,0,15
880,135162,2,10,-1,2,17,2,13
883,133565,12,0,-1,0,0,0,16
884,134232,12,0,-1,0,0,0,16
886,135327,2,7,-1,1,13,3,8
887,133970,15,0,-1,4,0,0,15
888,132947,4,2,-1,8,10,0,7
889,133471,12,0,-1,0,0,0,20
890,135141,2,10,-1,2,17,2,13
892,132938,4,1,-1,7,10,0,7
894,134297,15,0,-1,0,0,0,16
895,133731,12,0,-1,0,0,0,16
896,134298,12,0,-1,0,0,0,16
897,132604,4,2,-1,8,9,0,7
899,134298,2,15,-1,1,13,3,8
900,134937,15,0,-1,0,0,0,20
906,135039,4,1,-1,7,3,0,7
907,135033,4,3,-1,7,3,0,10
908,135033,4,1,-1,7,3,0,7
910,133464,12,0,-1,0,0,0,20
911,133476,2,5,-1,2,17,1,9
913,135311,2,8,-1,1,17,1,9
914,132624,4,3,-1,5,5,0,8
916,133688,12,0,-1,0,0,0,20
917,132715,4,2,-1,8,5,0,7
918,133629,1,0,-1,8,18,0,18
920,133486,2,4,-1,2,13,3,8
922,135280,2,8,-1,1,17,1,9
923,135324,2,7,-1,1,21,3,8
924,133044,2,5,-1,2,17,1,9
925,133476,2,4,-1,2,21,3,8
926,135423,2,1,-1,1,17,1,9
927,132415,2,0,-1,1,13,3,8
928,135157,2,10,-1,2,17,2,13
929,134831,0,1,-1,3,0,0,17
930,133629,1,0,-1,7,18,0,18
931,133639,1,0,-1,8,18,0,18
932,133633,1,0,-1,8,18,0,18
933,133640,1,0,-1,8,18,0,18
936,133729,2,4,-1,2,13,3,8
938,133680,12,0,-1,0,0,0,20
940,132667,4,1,-1,7,20,0,7
941,135229,4,0,-1,4,12,0,24
942,133349,4,0,-1,3,11,0,14
944,135144,2,10,-1,2,17,2,13
951,134943,0,8,-1,0,0,0,20
954,134938,0,8,-1,7,0,0,20
955,134937,0,8,-1,7,0,0,20
956,135005,12,0,-1,0,0,0,7
957,133751,12,0,-1,0,0,0,16
961,134181,0,5,-1,7,0,0,23
962,133952,12,0,-1,0,0,0,16
964,135029,4,0,-1,7,4,0,7
965,133623,1,0,-1,7,18,0,18
966,133739,9,0,-1,0,0,0,19
981,133280,12,0,-1,0,0,0,14
983,236921,4,1,-1,7,6,0,7
996,133345,4,0,-1,4,11,0,14
1006,133345,12,0,-1,0,0,0,14
1011,132395,2,0,-1,1,13,3,8
1013,134068,12,0,-1,1,0,0,8
1014,133639,12,0,-1,1,0,0,18
1016,134321,15,0,-1,0,0,0,16
1018,135274,2,7,-1,1,22,3,8
1019,134266,12,0,-1,7,0,0,7
1020,133072,4,2,-1,8,1,0,7
1022,133071,4,2,-1,8,1,0,7
1026,133071,4,4,-1,8,1,0,7
1028,133070,4,3,-1,5,1,0,10
1029,134459,9,0,-1,0,0,0,19
1046,134537,2,3,-1,1,26,1,8
1072,132798,0,5,-1,0,0,0,17
1074,134321,15,0,-1,4,0,0,16
1075,133437,12,0,-1,0,0,0,14
1076,133344,4,0,-1,5,11,0,14
1077,133356,4,0,-1,5,11,0,14
1080,134343,7,8,-1,4,0,0,15
1082,133748,0,5,-1,0,0,0,17
1083,133277,12,0,-1,4,0,0,14
1084,133741,9,0,-1,0,0,0,19
1100,133647,1,0,-1,8,18,0,18
1113,133951,0,5,-1,0,0,0,16
1114,133968,0,5,-1,0,0,0,16
1115,133622,12,0,-1,0,0,0,16
1116,133343,4,0,-1,3,11,0,14
1117,133942,2,4,-1,2,13,2,8
1119,132793,0,5,-1,0,0,0,24
1122,133279,4,0,-1,2,2,0,14
1125,133279,12,0,-1,1,0,0,14
1127,133581,0,8,-1,0,0,0,18
1128,134719,0,8,-1,0,0,0,17
1130,134799,12,0,-1,3,0,0,17
1131,133729,4,0,-1,1,23,7,12
1132,132224,15,5,-1,4,0,0,12
1133,132266,15,5,-1,0,0,0,12
1136,133740,9,0,-1,0,0,0,19
1154,132493,4,3,-1,5,6,0,10
1155,135143,2,10,-1,2,17,2,13
1156,133351,4,0,-1,1,11,0,14
1162,134955,4,1,-1,7,1,0,7
1163,134442,4,1,-1,7,1,0,7
1164,134940,9,0,-1,0,0,0,19
1165,133943,0,5,-1,0,0,0,16
1168,134947,4,6,-1,1,14,4,9
1169,136162,4,6,-1,1,14,4,9
1171,349115,4,1,-1,7,20,0,7
1172,135432,4,0,-1,2,23,7,12
1173,350647,4,2,-1,8,8,0,7
1175,134566,15,0,-1,1,0,0,24
1176,133588,0,0,-1,0,0,0,23
1177,134743,0,8,-1,0,0,0,17
1178,132383,0,8,-1,0,0,0,12
1179,132815,0,5,-1,7,0,0,17
1180,134943,0,8,-1,7,0,0,20
1182,367072,4,4,-1,6,9,0,8
1183,366058,4,1,-1,7,9,0,7
1184,133281,4,0,-1,1,12,0,14
1186,134325,4,0,-1,7,12,0,16
1187,133075,0,8,-1,2,0,0,16
1189,133345,4,0,-1,1,11,0,14
1190,133760,4,1,-1,7,16,0,7
