ID,Name_lang
1,"Darkmoon Faire"
5,"Fireworks Celebration"
6,"Stranglethorn Fishing Extravaganza"
7,Brewfest
9,"Love is in the Air"
11,"Midsummer Fire Festival"
12,"Fireworks Spectacular"
13,"Children's Week"
14,"Feast of Winter Veil"
15,Noblegarden
16,"Hallow's End"
17,"Harvest Festival"
18,"Lunar Festival"
21,"Pirates' Day"
22,"Call to Arms: Alterac Valley"
23,"Call to Arms: Arathi Basin"
24,"Call to Arms: Eye of the Storm"
25,"Call to Arms: Warsong Gulch"
41,"Call to Arms: Strand of the Ancients"
61,"Wrath of the Lich King Launch"
81,"Day of the Dead"
101,"Pilgrim's Bounty"
121,"Call to Arms: Isle of Conquest"
141,"Mohawk Promotion"
161,"Kalu'ak Fishing Derby"
162,"Call to Arms: The Battle for Gilneas"
163,"Call to Arms: Twin Peaks"
164,"Rated BG: 10v10"
165,"Rated BG: 15v15"
166,"Rated BG: 25v25"
203,"WoW's 7th Anniversary"
220,"WoW's 8th Anniversary"
222,"Call to Arms: Silvershard Mines"
223,"Call to Arms: Temple of Kotmogu"
229,"WoW's 9th Anniversary"
230,"Call to Arms: Deepwind Gorge"
231,"WoW's 10th Anniversary"
233,"WoW's 11th Anniversary"
234,"Pet Battle Bonus Event"
235,"Draenor Dungeon Event"
236,"Battleground Bonus Event"
237,"Timewalking Dungeon Event"
238,"Arena Skirmish Bonus Event"
240,"Apexis Bonus Event"
241,"WoW's 12th Anniversary"
242,"WoW's Anniversary"
243,"Legion Dungeon Event"
244,"World Quest Bonus Event"
245,"Hatching of the Hippogryphs"
246,"Volunteer Guard Day"
247,"Diablo 20th Anniversary"
248,"Call of the Scarab"
249,"Thousand Boat Bash"
250,"Un'Goro Madness"
251,"Spring Balloon Festival"
252,"Kirin Tor Tavern Crawl"
253,"March of the Tadpoles"
254,"Glowcap Festival"
255,"PvP Brawl: Gravity Lapse"
256,"PvP Brawl: Southshore vs. Tarren Mill"
257,"PvP Brawl: Warsong Scramble"
258,"Trial of Style"
259,"Auction House Dance Party"
260,"WoW's 13th Anniversary"
261,"Moonkin Festival"
262,"PvP Brawl: Arathi Blizzard"
263,"PvP Brawl: Deepwind Dunk"
264,"PvP Brawl: Temple of Hotmogu"
265,"PvP Brawl: Packed House"
266,"The Great Gnomeregan Run"
267,"PvP Brawl: Deep Six"
268,"PvP Brawl: Shado-Pan Showdown"
269,"Tomb of Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, the Burning Throne"
19,Brewfest
239,"Timewalking Dungeon Event"
