ID,Name_lang
1,Dunkelmond-Jahrmarkt
5,Feuerwerksfestival
6,"Anglerwettbewerb im Schlingendorntal"
7,Braufest
9,"Liebe liegt in der Luft"
11,Sonnenwendfest
12,Feuerwerksspektakel
13,Kinderwoche
14,Winterhauchfest
15,Nobelgartenfest
16,Schlotternächte
17,Erntedankfest
18,Mondfest
21,Piratentag
22,"Zu den Waffen: Alteractal"
23,"Zu den Waffen: Arathibecken"
24,"Zu den Waffen: Auge des Sturms"
25,"Zu den Waffen: Kriegshymnenschlucht"
41,"Zu den Waffen: Strand der Uralten"
61,"Start von Wrath of the Lich King"
81,"Tag der Toten"
101,Pilgerfreudenfest
121,"Zu den Waffen: Insel der Eroberung"
141,Nachtelfirokesen-Promotion
161,"Angelwettstreit der Kalu'ak"
162,"Zu den Waffen: Die Schlacht um Gilneas"
163,"Zu den Waffen: Zwillingsgipfel"
164,"Gewertetes SF: 10vs10"
165,"Gewertetes SF: 15vs15"
166,"Gewertetes SF: 25vs25"
203,"7. Geburtstag von WoW"
220,"8. Geburtstag von WoW"
222,"Zu den Waffen: Silberbruchmine"
223,"Zu den Waffen: Tempel von Katmogu"
229,"9. Geburtstag von WoW"
230,"Zu den Waffen: Tiefenwindschlucht"
231,"10. Geburtstag von WoW"
233,"11. Geburtstag von WoW"
234,"Bonusereignis: Haustierkämpfe"
235,"Bonusereignis: Draenordungeons"
236,"Bonusereignis: Schlachtfelder"
237,"Bonusereignis: Zeitwanderungsdungeons"
238,"Bonusereignis: Arenageplänkel"
240,"Bonusereignis: Apexis"
241,"12. Geburtstag von WoW"
242,"Geburtstag von WoW"
243,"Bonusereignis: Dungeons von Legion"
244,"Bonusereignis: Weltquests"
245,"Das große Hippogryphenschlüpfen"
246,"Tag der Wachen"
247,"20. Geburtstag von Diablo"
248,"Ruf des Skarabäus"
249,"Tanz der tausend Boote"
250,Un'Gorowahnsinn
251,Frühlingsballonfest
252,"Schanksause der Kirin Tor"
253,"Marsch der Kaulquappen"
254,Glühkappenfest
255,"PvP-Rauferei: Gravitationsverlust"
256,"PvP-Rauferei: Süderstade vs. Tarrens Mühle"
257,"PvP-Rauferei: Kriegshymnenkeilerei"
258,"Der große Stylecheck"
259,"Tanzparty im Auktionshaus"
260,"13. Geburtstag von WoW"
261,Mondkinfest
262,"PvP-Rauferei: Arathiblizzard"
263,"PvP-Rauferei: Tiefenwindschuss"
264,"PvP-Rauferei: Tempel von Hotmogu"
265,"PvP-Rauferei: Volles Haus"
266,"Das große Rennen von Gnomeregan"
267,"PvP-Rauferei: Sechs Richtige"
268,"PvP-Rauferei: Shado-Pan-Kraftprobe"
269,"Das Grabmal des Sargeras"
270,
273,"Antorus, der Brennende Thron"
19,Braufest
239,"Bonusereignis: Zeitwanderungsdungeons"
271,
272,
