ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
7,"Fiesta de la Cerveza"
9,"Amor en el aire"
11,"Festival de Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
21,"Día de los Piratas"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
24,"Llamamiento a las armas: Ojo de la Tormenta"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
41,"Llamamiento a las armas: Playa de los Ancestros"
61,"Lanzamiento de Wrath of the Lich King"
81,"Festividad de los Muertos"
101,"Generosidad del Peregrino"
121,"Llamamiento a las armas: Isla de la Conquista"
141,"Promoción mohicano"
161,"Competición de pesca Kalu'ak"
162,"Llamamiento a las armas: La Batalla Por Gilneas"
163,"Llamamiento a las armas: Cumbres Gemelas"
164,"C.B. puntuados: 10c10"
165,"C.B. puntuados: 15c15"
166,"C.B. puntuados: 25c25"
203,"7.º aniversario de WoW"
220,"8.º aniversario de WoW"
222,"Llamamiento a las armas: Minas Lonjaplata"
223,"Llamamiento a las armas: Templo de Kotmogu"
229,"9.º aniversario de WoW"
230,"Llamamiento a las armas: Cañón del Céfiro"
231,"10.º aniversario de WoW"
233,"11.º aniversario de WoW"
234,"Evento de bonificación de duelo de mascotas"
235,"Evento de mazmorra de Draenor"
236,"Evento de bonificación de campo de batalla"
237,"Evento de mazmorra de Paseo en el tiempo"
238,"Evento de bonificación de escaramuza de arena"
240,"Evento de bonificación apexis"
241,"12.º aniversario de WoW"
242,"Aniversario de WoW"
243,"Evento de mazmorras de Legion"
244,"Evento de bonificación de misiones del mundo"
245,"Despertar del Hipogrifo"
246,"Día de la Guardia Voluntaria"
247,"20.º aniversario de Diablo"
248,"Llamada del Escarabajo"
249,"Azote de los Mil Barcos"
250,"Locura de Un'Goro"
251,"Festival de Primavera del Globo"
252,"Ruta de las Tabernas del Kirin Tor"
253,"Marcha de los Renacuajos"
254,"Festival del Fluochampiñón"
255,"Camorra JcJ: Gravedad cero"
256,"Camorra JcJ: Costasur contra Molino Tarren"
257,"Camorra JcJ: Tumulto Grito de Guerra"
258,"Prueba de Estilo"
259,"Baile de la Casa de Subastas"
260,"13.º aniversario de WoW"
261,"Festival Lechúcico"
262,"Camorra JcJ: Ventisca de Arathi"
263,"Camorra JcJ: Mate del Céfiro"
264,"Camorra JcJ: Templo de Hotmogu"
265,"Camorra JcJ: Casa abarrotada"
266,"La Gran Carrera de Gnomeregan"
267,"Camorra: El sexto elemento"
268,"Camorra JcJ: Enfrentamiento del Shadopan"
269,"Tumba de Sargeras"
270,
273,"Antorus, el Trono Ardiente"
19,"Fiesta de la Cerveza"
239,"Evento de mazmorra de Paseo en el tiempo"
271,
272,
