ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
7,"Fiesta de la Cerveza"
9,"Amor en el aire"
11,"Festival de Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
21,"Día de los Piratas"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
24,"Llamamiento a las armas: Ojo de la Tormenta"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
41,"Llamamiento a las armas: Playa de los Ancestros"
61,"Lanzamiento de Wrath of the Lich King"
81,"Festividad de los Muertos"
101,"Generosidad del Peregrino"
121,"Llamamiento a las armas: Isla de la Conquista"
141,"Promoción mohicano"
161,"Competición de pesca Kalu'ak"
162,"Llamamiento a las armas: La Batalla Por Gilneas"
163,"Llamamiento a las armas: Cumbres Gemelas"
164,"C.B. puntuados: 10c10"
165,"C.B. puntuados: 15c15"
166,"C.B. puntuados: 25c25"
203,"7º aniversario de WoW"
220,"8º aniversario de WoW"
222,"Llamamiento a las armas: Minas Lonjaplata"
223,"Llamamiento a las armas: Templo de Kotmogu"
229,"9º aniversario de WoW"
230,"Llamamiento a las armas: Cañón del Céfiro"
231,"10º aniversario de WoW"
233,"11º aniversario de WoW"
234,"Evento de duelo de mascotas con bonificación"
235,"Evento de calabozo de Draenor"
236,"Evento de campos de batalla con bonificación"
237,"Evento de calabozo de cronoviaje"
238,"Evento: Bono de refriegas de arena"
240,"Evento de ápices con bonificación"
241,"12º aniversario de WoW"
242,"Aniversario de WoW"
243,"Evento de calabozo de Legion"
244,"Evento de bonificación de misión de mundo"
245,"El nacimiento de los hipogrifos"
246,"Día del guardia voluntario"
247,"20.º aniversario de Diablo"
248,"La llamada del Escarabajo"
249,"Fiesta de los mil barcos"
250,"Locura en Un'Goro"
251,"Festival de globos de primavera"
252,"Tour de tabernas del Kirin Tor"
253,"Marcha de los renacuajos"
254,"Festival de fluochampiñón"
255,"Gresca JcJ: Gravedad cero"
256,"Gresca JcJ: Costasur vs. Molino Tarren"
257,"Gresca JcJ: Revuelta Grito de Guerra"
258,"Desafío de estilos"
259,"Fiesta de baile: Casa de subastas"
260,"13.º aniversario de WoW"
261,"Festival del lechúcico lunar"
262,"Gresca JcJ: Ventisca de Arathi"
263,"Gresca JcJ: Volcada del Céfiro"
264,"Gresca JcJ: Templo de Hotmogu"
265,"Gresca JcJ: Casa llena"
266,"La gran carrera de Gnomeregan"
267,"Gresca JcJ: Los seis magníficos"
268,"Gresca JcJ: Enfrentamiento Shadopan"
269,"Tumba de Sargeras"
270,
272,"7.3 Sombras de Argus: Semana 1"
273,"Antorus, el Trono Ardiente"
19,"Fiesta de la Cerveza"
239,"Evento de calabozo de cronoviaje"
271,
