ID,Name_lang
1,"Foire de Sombrelune"
5,"Fêtes des artifices"
6,"Concours de pêche de Strangleronce"
7,"Fête des Brasseurs"
9,"De l'amour dans l'air"
11,"Fête du Feu du solstice d'été"
12,"Féerie des artifices"
13,"Semaine des enfants"
14,"Voile d'hiver"
15,"Le Jardin des nobles"
16,Sanssaint
17,"Fête des moissons"
18,"Fête lunaire"
21,"Jour des pirates"
22,"Appel aux armes : vallée d'Alterac"
23,"Appel aux armes : bassin Arathi"
24,"Appel aux armes : Œil du cyclone"
25,"Appel aux armes : goulet des Chanteguerres"
41,"Appel aux armes : rivage des Anciens"
61,"Lancement de Wrath of the Lich King"
81,"Jour des morts"
101,"Les Bienfaits du pèlerin"
121,"Appel aux armes : île des Conquérants"
141,"Promotion Punk"
161,"Tournoi de pêche kalu'ak"
162,"Appel aux armes : la bataille de Gilnéas"
163,"Appel aux armes : Pics-Jumeaux"
164,"CdB coté : 10c10"
165,"CdB coté : 15c15"
166,"CdB coté : 25c25"
203,"7e anniversaire de WoW"
220,"8e anniversaire de WoW"
222,"Appel aux armes : mines d’Éclargent"
223,"Appel aux armes : temple de Kotmogu"
229,"9e anniversaire de WoW"
230,"Appel aux armes : gorge de Vent-Caverneux"
231,"10e anniversaire de WoW"
233,"11e anniversaire de WoW"
234,"Évènement bonus Combats de mascottes"
235,"Évènement Donjon de Draenor"
236,"Évènement bonus Champs de bataille"
237,"Évènement Donjon des Marcheurs du temps"
238,"Évènement bonus Escarmouches en arène"
240,"Évènement bonus Apogides"
241,"12e anniversaire de WoW"
242,"Anniversaire de WoW"
243,"Évènement Donjon de Legion"
244,"Évènement bonus Expéditions"
245,"Naissance des hippogriffes"
246,"Journée des gardes volontaires"
247,"20e anniversaire de Diablo"
248,"Appel du Scarabée"
249,"Embarquement pour les Mille pointes"
250,Paléon’Goro
251,"Printemps des montgolfières"
252,"Tournée des tavernes du Kirin Tor"
253,"Marche des têtards"
254,"Fête des chapeluisants"
255,"Choc JcJ : Rupture de gravité"
256,"Choc JcJ : Moulin-de-Tarren contre Austrivage"
257,"Choc JcJ : Cohue Chanteguerre"
258,"Épreuve du style"
259,"Fête dansante de l’hôtel des ventes"
260,"13e anniversaire de WoW"
261,"Fête des Séléniens"
262,"Choc JcJ : Blizzard arathi"
263,"Choc JcJ : Smash de Vent-Caverneux"
264,"Choc JcJ : Temple de Supermogu"
265,"Choc JcJ : Salle comble"
266,"Le Grand Prix de Gnomeregan"
267,"Choc JcJ : Comme les 6 doigts de la main"
268,"Choc JcJ : Confrontation pandashan"
269,"Tombe de Sargeras"
270,
273,"Antorus, le Trône ardent"
19,"Fête des Brasseurs"
239,"Évènement Donjon des Marcheurs du temps"
271,
272,
