ID,Name_lang
1,"Feira de Negraluna"
5,"Celebração com Fogos de Artifício"
6,"Festerê de Pesca da Selva do Espinhaço"
7,CervaFest
9,"O Amor Está No Ar"
11,"Festival do Fogo do Solstício"
12,"Espetáculo de Fogos de Artifício"
13,"Semana das Crianças"
14,"Festa do Véu de Inverno"
15,Jardinova
16,Noturnália
17,"Festival da Colheita"
18,"Festival da Lua"
21,"Dia dos Piratas"
22,"Chamado às Armas: Vale Alterac"
23,"Chamado às Armas: Bacia Arathi"
24,"Chamado às Armas: Olho da Tormenta"
25,"Chamado às Armas: Ravina Brado Guerreiro"
41,"Chamado às Armas: Baía dos Ancestrais"
61,"Lançamento do Wrath of the Lich King"
81,"Dia dos Mortos"
101,"Festa da Fartura"
121,"Chamado às Armas: Ilha da Conquista"
141,"Promoção do Moicano"
161,"Campeonato de Pesca dos Kalu'ak"
162,"Chamado às Armas: A Batalha por Guilnéas"
163,"Chamado às Armas: Montes Gêmeos"
164,"CB Ranqueado: 10x10"
165,"CB Ranqueado: 15x15"
166,"CB Ranqueado: 25x25"
203,"7º Aniversário do WoW!"
220,"8º Aniversário do WoW"
222,"Chamado às armas: Mina Estilhaços Prateados"
223,"Chamado às armas: Templo de Katmogu"
229,"9º Aniversário do WoW"
230,"Chamado às Armas: Desfiladeiro do Vendaval"
231,"10º Aniversário do WoW"
233,"11º Aniversário de WoW"
234,"Evento Bônus de Batalha de Mascotes"
235,"Evento das Masmorras de Draenor"
236,"Evento Bônus de Campos de Batalha"
237,"Evento das Masmorras de Caminhada Temporal"
238,"Evento Bônus de Escaramuças da Arena"
240,"Evento Bônus de Apexis"
241,"12º Aniversário do WoW"
242,"Aniversário do WoW"
243,"Evento de Masmorra de Legion"
244,"Evento de Bônus de Missão Mundial"
245,"Ninhada dos Hipogrifos"
246,"Dia do Guarda Voluntário"
247,"Aniversário de 20 anos do Diablo"
248,"Chamado do Escaravelho"
249,"Barco a Dar Com o Pau"
250,"Alvoroço em Un'Goro"
251,"Festival de Balões da Primavera"
252,"Tabernatona do Kirin Tor"
253,"Marcha dos Girinos"
254,"Festival do Chapéu-opalino"
255,"Briga JxJ: Lapso Gravitacional"
256,"Briga JxJ: Costa Sul x Serraria Tarren"
257,"Briga JxJ: Misturada do Brado Guerreiro"
258,"Provação do Estilo"
259,"Balada na Casa de Leilões"
260,"13º Aniversário do WoW"
261,"Festival do Luniscante"
262,"Contenda JxJ: Nevasca em Arathi"
263,"Contenda JxJ: Enterrada do Vendaval"
264,"Contenda JxJ: Templo de Hotmogu"
265,"Contenda JxJ: Casa Cheia"
266,"A Grande Corrida de Gnomeregan"
267,"Contenda JxJ: Seizão"
268,"Contenda JxJ: Confronto final dos Shado-Pan"
269,"Tumba de Sargeras"
270,
272,"7.3 Sombras de Argus: Semana 1"
273,"Antorus, o Trono Ardente"
19,CervaFest
239,"Evento das Masmorras de Caminhada Temporal"
271,
