ID,Name_lang
1,"Ярмарка Новолуния"
5,"Празднество фейерверков"
6,"Рыбомания Тернистой долины"
7,"Хмельной фестиваль"
9,"Любовная лихорадка"
11,"Огненный солнцеворот"
12,"Праздник фейерверков"
13,"Детская неделя"
14,"Зимний Покров"
15,"Сад чудес"
16,Тыквовин
17,"Неделя урожая"
18,"Лунный фестиваль"
21,"День пирата"
22,"К оружию! Альтеракская долина"
23,"К оружию! Низина Арати"
24,"К оружию! Око Бури"
25,"К оружию! Ущелье Песни Войны"
41,"К оружию! Берег Древних"
61,"Wrath of the Lich King"
81,"День мертвых"
101,"Пиршество странников"
121,"К оружию! Остров Завоеваний"
141,"Реклама ирокеза"
161,"Калуакское рыбоборье"
162,"К оружию! Битва за Гилнеас"
163,"К оружию! Два Пика"
164,"Рейтинговое ПБ: 10 на 10"
165,"Рейтинговое ПБ: 15 на 15"
166,"Рейтинговое ПБ: 25 на 25"
203,"7-я годовщина World of Warcraft"
220,"8-я годовщина World of Warcraft"
222,"К оружию! Сверкающие копи"
223,"К оружию! Храм Котмогу"
229,"9-я годовщина World of Warcraft"
230,"К оружию! Каньон Суровых Ветров"
231,"10-я годовщина World of Warcraft"
233,"11-я годовщина World of Warcraft"
234,"Событие ""Бонус за битвы питомцев"""
235,"Событие ""Подземелья Дренора"""
236,"Событие ""Бонус на полях боя"""
237,"Событие ""Путешествие во времени по подземельям"""
238,"Событие ""Бонус за стычки на арене"""
240,"Событие ""Бонус к апекситовым кристаллам"""
241,"12-я годовщина World of Warcraft"
242,"Годовщина World of Warcraft"
243,"Событие ""Подземелья Legion"""
244,"Бонус за локальные задания"
245,"Вылупление гиппогрифов"
246,"День стражей-добровольцев"
247,"20-я годовщина Diablo"
248,"Зов скарабея"
249,"Вечеринка тысячи лодок"
250,"Безумие Ун'Горо"
251,"Весенний фестиваль воздушных шаров"
252,"Кирин-торский тур по тавернам"
253,"Марш головастиков"
254,"Фестиваль огнешляпок"
255,"PvP-потасовка: искажение гравитации"
256,"PvP-потасовка: Южнобережье против мельницы Таррен"
257,"PvP-потасовка: драка Песни Войны"
258,"Наденьте это немедленно!"
259,"Танцевальная вечеринка аукциона"
260,"13-я годовщина World of Warcraft"
261,"Фестиваль лунных совухов"
262,"PvP-потасовка: вьюга на Арати"
263,"PvP-потасовка: данк Суровых Ветров"
264,"PvP-потасовка: Храм Быстромогу"
265,"PvP-потасовка: аншлаг"
266,"Великая гонка Гномрегана"
267,"PvP-потасовка: великолепная шестерка"
268,"PvP-потасовка: разборка Шадо-Пан"
269,"Гробница Саргераса"
270,
272,"7.3 Shadows of Argus – неделя 1"
273,"Анторус, Пылающий Трон"
19,"Хмельной фестиваль"
239,"Событие ""Путешествие во времени по подземельям"""
271,
