ID,Effect,EffectBasePoints,EffectIndex,EffectAura,DifficultyID,EffectAmplitude,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectRealPointsPerLevel,EffectTriggerSpell,EffectPos_facing,EffectAttributes,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,ImplicitTarget_0,ImplicitTarget_1,SpellID
662,24,1,0,0,0,0,0,0,1,0,0,2316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2168
722,6,-100,0,16,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2425
769,6,500,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2585
863,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0700000003,0,0,1,0,0,0,0,16,0,0,0,0,0,2832
1268,6,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3648
1325,24,1,0,0,0,0,0,0,1,0,0,4255,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3772
1358,24,1,0,0,0,0,0,0,1,0,0,4316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3850
1615,27,-25,2,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,10,18,88,4307
1661,6,1,0,11,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,22,15,4507
1770,27,59,0,3,0,0,3000,1,1,0,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,13,24,0,5010
1852,6,80,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5215
1927,2,7,0,0,0,0,0,1,1,0,5,0,0,0,1.39999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5401
