ID,Name_lang,Pos_0,Pos_1,Pos_2,MountCreatureID_0,MountCreatureID_1,MapOffset_0,MapOffset_1,Facing,FlightMapOffset_0,FlightMapOffset_1,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,SpecialIconConditionID
1,"Northshire Abbey",-8888.98046875,-0.54000002146,94.38999938965,308,0,0,0,0,0,0,0,0,0,0,0,0
2,"Stormwind, Elwynn",-8841.0595703125,489.65600585938,109.6070022583,0,541,0.00998003967,0.01017440017,0,0,0,0,0,2,1,0,0
3,"Programmer Isle",16391.810546875,16341.209960938,69.44000244141,308,0,0,0,0,0,0,0,0,0,0,0,0
4,"Sentinel Hill, Westfall",-10551.900390625,1034.3900146484,56.95429992676,0,541,0,0,0,0,0,0,0,4,1,0,0
5,"Lakeshire, Redridge",-9429.099609375,-2231.3999023438,68.65000152588,0,541,0,0,0,0,0,0,0,5,1,0,0
6,"Ironforge, Dun Morogh",-4821.7797851562,-1155.4399414062,502.20999145508,0,541,0,0,0,0,0,0,0,6,1,0,0
7,"Menethil Harbor, Wetlands",-3787.8100585938,-777.69598388672,1.55820000172,0,541,-0.00200000009,0.00200000009,0,0,0,0,0,7,1,0,0
8,"Thelsamar, Loch Modan",-5421.91015625,-2930.0100097656,347.25,0,541,0,0,0,0,0,0,0,8,1,0,0
9,"Booty Bay, Stranglethorn",-14271.799804688,299.86999511719,31.09000015259,0,541,0,0,0,0,0,0,0,0,0,0,0
10,"The Sepulcher, Silverpine Forest",478.85998535156,1536.5899658203,131.32000732422,3574,0,0,0,0,0,0,0,0,10,2,0,0
11,"Undercity, Tirisfal",1568.6199951172,267.9700012207,-43.09999847412,3574,0,0,0,0,0,0,0,0,11,2,0,0
12,"Darkshire, Duskwood",-10515.5,-1261.6500244141,41.34000015259,0,541,0,0,0,0,0,0,0,12,1,0,0
13,"Tarren Mill, Hillsbrad",-17.70660018921,-874.20300292969,59.00559997559,3574,0,0,0.00300000003,0,0,0,0,0,13,2,0,0
14,"Southshore, Hillsbrad",-711.47998046875,-515.47998046875,26.11000061035,0,541,0,0,0,0,0,0,5793,14,0,0,0
15,"Eastern Plaguelands",2253.3999023438,-5344.8999023438,83.37999725342,0,541,0,0,0,0,0,0,0,0,0,0,0
16,"Refuge Pointe, Arathi",-1240.5300292969,-2515.1101074219,22.15999984741,0,541,0,0,0,0,0,0,0,16,1,0,0
17,"Hammerfall, Arathi",-916.28997802734,-3496.8898925781,70.44999694824,2224,0,0.00700000022,-0.00700000022,0,0,0,0,0,17,2,0,0
18,"Booty Bay, Stranglethorn",-14444.299804688,509.61999511719,26.20000076294,2224,0,0,0,0,0,0,0,0,18,2,0,0
19,"Booty Bay, Stranglethorn",-14473,464.14999389648,36.43000030518,0,541,0,0,0,0,0,0,0,19,1,0,0
20,"Grom'gol, Stranglethorn",-12414.200195312,146.28999328613,3.27999997139,2224,0,0,0,0,0,0,0,0,20,2,0,0
21,"New Kargath, Badlands",-6676.8701171875,-2433.3701171875,272.77099609375,2224,0,0.00200000009,-0.00999999978,0,0,0,0,0,21,2,0,0
22,"Thunder Bluff, Mulgore",-1197.2099609375,29.70999908447,176.94999694824,2224,0,0,0,0,0,0,1,0,22,2,0,0
23,"Orgrimmar, Durotar",1798.2700195312,-4363.2700195312,102.84799957275,2224,0,0.02495010011,0.00436046533,0,0,0,1,0,23,2,0,0
24,"Generic, World Target 002",-6666,-2222.3000488281,278.60000610352,0,0,0,0,0,0,0,0,0,24,0,0,0
25,"The Crossroads, Northern Barrens",-441.79998779297,-2596.080078125,96.05999755859,2224,0,0.00399202015,-0.01017440017,0,0,0,1,0,25,2,0,0
26,"Lor'danel, Darkshore",7459.8999023438,-326.55999755859,8.09000015259,0,3837,0,-0.01999999955,0,0,0,1,0,26,1,0,0
27,"Rut'theran Village, Teldrassil",8383.75,980.96398925781,30.82920074463,0,3837,0,0,0,0,0,1,0,27,1,0,0
28,"Astranaar, Ashenvale",2827.3400878906,-289.23999023438,107.16000366211,0,3837,0.00800000038,0,0,0,0,1,0,28,1,0,0
29,"Sun Rock Retreat, Stonetalon Mountains",966.57000732422,1040.3199462891,104.26999664307,2224,0,0.02099999972,0.00499999989,0,0,0,1,0,29,2,0,0
30,"Westreach Summit, Thousand Needles",-4310.6098632812,-927.06402587891,81.17960357666,2224,0,0,0,0,0,0,1,0,30,2,0,0
31,"Shadebough, Feralas",-4996.8798828125,73.94270324707,99.83850097656,0,3837,0,0,0,0,0,1,0,31,1,0,0
32,"Theramore, Dustwallow Marsh",-3825.3701171875,-4516.580078125,10.43999958038,0,541,0,0.00800000038,0,0,0,1,19444,32,9,0,0
33,"Thal'darah Overlook, Stonetalon Mountains",2147.25,1537.8699951172,341.23999023438,0,3837,-0.01700000092,0,0,0,0,1,0,33,1,0,0
34,"Transport, Booty Bay",-1965.1700439453,-5824.2900390625,-1.05999994278,0,0,0,0,0,0,0,1,0,0,0,0,0
35,"Transport, Orgrimmar",1320.0699462891,-4649.2001953125,21.56999969482,0,0,0,0,0,0,0,1,0,0,0,0,0
36,"Generic, World Target 001",-8644.6201171875,433.2799987793,59.45999908447,15665,0,0,0,0,0,0,0,0,0,0,0,0
37,"Nijel's Point, Desolace",139.24000549316,1325.8199462891,193.5,0,3837,0.00700000022,0,0,0,0,1,0,37,1,0,0
38,"Shadowprey Village, Desolace",-1767.6400146484,3263.8898925781,4.94000005722,2224,0,0,0,0,0,0,1,0,38,2,0,0
39,"Gadgetzan, Tanaris",-7185.9702148438,-3768.2399902344,9.30053043365,0,541,0,0,0,0,0,1,0,39,1,0,0
40,"Gadgetzan, Tanaris",-7094.0297851562,-3813.6899414062,9.49695014954,2224,0,0,0,0,0,0,1,0,40,2,0,0
41,"Feathermoon, Feralas",-4467.0400390625,2188.6398925781,17.8938999176,0,3837,0,-0.00999999978,0,0,0,1,0,41,1,0,0
42,"Camp Mojache, Feralas",-4419.8598632812,199.30999755859,25.05999946594,2224,0,-0.00400000019,0,0,0,0,1,0,42,2,0,0
43,"Aerie Peak, The Hinterlands",283.73999023438,-2002.7600097656,194.74000549316,0,541,0,-0.00999999978,0,0,0,0,0,43,1,0,0
44,"Bilgewater Harbor, Azshara",3547.1999511719,-6294.66015625,0.7542449832,2224,0,0,0,0,0,0,1,0,44,2,0,0
45,"Nethergarde Keep, Blasted Lands",-11112.299804688,-3435.7399902344,79.08999633789,0,541,0,0.01499999966,0,0,0,0,46758,45,9,0,0
46,"Transport, Southshore",-986.42999267578,-547.85998535156,-3.8599998951,0,0,0,0,0,0,0,0,0,0,0,0,0
