TextureName,ID,TextureWidth,TextureHeight,MapAreaID,OffsetX,OffsetY,HitRectTop,HitRectLeft,HitRectBottom,HitRectRight,PlayerConditionID,Flags,AreaID_0,AreaID_1,AreaID_2,AreaID_3
BanethilHollow,84,175,235,41,374,221,292,430,375,497,0,0,736,0,0,0
Darnassus,85,298,337,41,149,181,247,228,424,383,0,0,1657,0,0,0
GnarlpineHold,87,198,181,41,347,355,423,403,479,494,0,0,261,0,0,0
LakeAlameth,88,289,202,41,422,310,388,498,430,604,0,0,259,0,0,0
PoolsofArlithrien,89,140,210,41,345,243,358,400,405,439,0,0,478,0,0,0
Shadowglen,91,241,217,41,481,104,170,533,273,638,0,0,188,0,0,0
StarbreezeVillage,92,187,196,41,544,217,289,625,369,694,0,0,260,0,0,0
TheOracleGlade,93,194,244,41,276,90,147,367,213,435,0,0,264,0,0,0
WellspringLake,94,165,249,41,382,83,207,426,256,465,0,0,266,265,0,0
FrostmaneHold,104,437,249,27,50,227,320,271,374,361,0,0,135,0,0,0
GolBolarQuarry,107,198,251,27,663,288,344,733,421,800,0,0,134,0,0,0
HelmsBedLake,108,218,234,27,760,268,321,818,373,867,0,0,212,716,0,0
AmberstillRanch,109,249,183,27,595,225,288,679,330,752,0,0,803,0,0,0
Kharanos,113,184,188,27,449,220,314,498,364,576,0,0,131,189,0,0
TheGrizzledDen,114,211,160,27,374,287,335,460,372,509,0,0,136,131,0,0
ColdridgePass,117,225,276,27,360,340,396,401,468,478,0,0,800,0,0,0
Goldshire,122,276,231,30,247,294,402,383,463,461,0,0,87,0,0,0
FargodeepMine,124,269,248,30,240,420,520,375,555,416,0,0,57,63,64,5176
NorthshireValley,125,295,296,30,355,138,203,425,365,585,0,0,9,0,0,0
JerodsLanding,126,230,206,30,396,430,551,466,598,507,0,0,797,57,64,63
TowerofAzora,127,270,241,30,529,287,438,615,490,680,0,0,91,54,0,0
BrackwellPumpkinPatch,128,287,216,30,532,424,507,668,555,726,0,0,62,0,0,0
EastvaleLoggingCamp,129,294,243,30,703,292,421,783,475,891,0,0,88,0,0,0
RidgepointTower,130,285,194,30,708,442,507,809,556,890,0,0,798,0,0,0
CrystalLake,131,220,207,30,417,327,421,476,465,583,0,0,18,0,0,0
StonecairnLake,132,340,272,30,552,186,290,680,400,803,0,0,86,0,0,0
VenomwebVale,222,250,279,20,752,150,257,816,375,928,0,0,812,167,0,0
ScarletWatchPost,224,161,234,20,692,99,154,760,207,812,0,0,459,0,0,0
CrusaderOutpost,225,175,210,20,686,232,346,766,387,819,0,0,167,812,0,0
BalnirFarmstead,226,242,179,20,594,324,379,700,425,776,0,0,165,0,0,0
BrightwaterLake,227,210,292,20,573,122,243,645,359,725,0,0,162,163,0,0
GarrensHaunt,229,190,214,20,477,129,208,531,270,610,0,0,164,0,0,0
Brill,230,199,182,20,480,252,311,560,371,637,0,0,159,0,0,0
ColdHearthManor,231,212,177,20,418,317,364,509,421,570,0,0,166,0,0,0
NightmareVale,232,225,281,20,347,325,410,410,465,494,0,0,811,4921,0,0
AgamandMills,234,285,260,20,324,90,185,403,257,511,0,0,157,0,0,0
SollidenFarmstead,235,286,225,20,201,192,297,344,357,427,0,0,156,0,0,0
Deathknell,236,431,407,20,9,207,373,271,481,375,0,0,154,0,0,0
ValleyOfTrials,242,254,258,4,304,312,364,402,466,488,0,0,363,0,0,0
SenjinVillage,244,192,184,4,457,406,473,532,538,590,0,0,367,0,0,0
EchoIsles,248,330,255,4,429,413,458,600,650,727,0,0,368,6453,4865,4864
TiragardeKeep,250,210,200,4,462,298,369,542,437,619,0,0,372,0,0,0
RazorHill,252,224,227,4,431,157,262,507,318,565,0,0,362,0,0,0
RazormaneGrounds,254,248,158,4,302,264,318,392,360,504,0,0,816,0,0,0
ThunderRidge,256,220,218,4,295,48,144,360,187,447,0,0,369,0,0,0
DrygulchRavine,258,236,196,4,415,60,126,491,200,559,0,0,370,410,0,0
SkullRock,260,208,157,4,438,0,36,525,87,553,0,0,817,0,0,0
Orgrimmar,262,259,165,4,309,0,22,396,91,515,0,0,1637,0,0,0
TheJansenStead,281,202,179,39,474,0,78,542,134,615,0,0,916,0,0,0
FurlbrowsPumpkinFarm,282,197,213,39,394,0,114,482,174,541,0,0,109,0,0,0
SaldeansFarm,284,244,237,39,451,81,187,511,246,580,0,0,107,0,0,0
TheMolsenFarm,285,202,224,39,348,118,204,412,264,496,0,0,918,0,0,0
GoldCoastQuarry,286,235,306,39,199,79,269,279,324,345,0,0,113,111,0,0
TheDeadAcre,287,193,273,39,531,200,374,594,418,638,0,0,917,0,0,0
SentinelHill,288,229,265,39,404,226,281,515,379,604,0,0,108,0,0,0
