ID,ClassID,SubclassID,Material,InventoryType,SheatheType,Sound_override_subclassID,IconFileDataID,ItemGroupSoundsID
17,4,4,6,4,3,-1,132759,11
25,2,7,1,21,3,-1,135274,8
35,2,10,2,17,2,-1,135145,13
36,2,4,2,21,3,-1,133478,8
37,2,0,1,21,3,-1,132402,8
38,4,0,7,4,0,-1,135009,7
39,4,4,6,7,0,-1,134582,8
40,4,4,6,8,0,-1,132540,8
41,4,0,7,6,0,-1,132494,7
43,4,4,6,8,0,-1,132535,8
45,4,0,7,4,0,-1,135005,7
46,4,0,7,6,0,-1,132495,7
47,4,2,7,8,0,-1,132539,7
48,4,2,7,7,0,-1,134582,7
50,4,0,7,6,0,-1,132493,7
51,4,1,7,8,0,-1,132538,7
52,4,1,7,7,0,-1,134582,7
55,4,1,7,8,0,-1,132543,7
56,4,1,7,20,0,-1,132664,7
57,4,1,7,20,0,-1,132665,7
58,4,0,7,6,0,-1,132492,7
59,4,1,7,8,0,-1,132535,7
60,4,2,8,5,0,-1,132724,7
61,4,2,8,7,0,-1,443401,7
77,4,1,7,5,0,-1,135006,7
79,4,1,7,7,0,-1,443400,7
85,4,2,8,5,0,-1,135011,7
87,4,0,7,8,0,-1,132535,7
89,4,0,7,4,0,-1,135011,7
97,4,1,7,20,0,-1,132662,7
117,0,5,0,0,0,-1,133972,15
118,0,1,3,0,0,-1,134829,17
129,4,3,5,8,0,-1,132540,10
131,4,0,7,6,0,-1,133693,7
132,4,0,7,8,0,-1,132536,7
138,4,0,7,4,0,-1,132719,7
140,4,4,6,8,0,-1,132538,8
141,4,0,7,6,0,-1,132491,7
143,4,6,1,14,4,-1,134951,9
147,4,3,5,7,0,-1,134582,10
153,4,2,8,7,0,-1,134582,7
154,4,0,7,4,0,-1,133766,7
159,0,5,0,0,0,-1,132794,17
182,12,0,0,0,0,-1,134166,15
184,1,0,8,18,0,-1,133622,18
192,2,14,6,21,3,-1,133476,8
193,4,1,7,5,0,-1,135022,7
194,4,1,7,7,0,-1,134592,7
195,4,1,7,8,0,-1,132539,7
203,4,1,7,10,0,-1,132955,7
209,4,2,8,7,0,-1,134706,7
210,4,2,8,8,0,-1,132540,7
236,4,2,8,5,0,-1,132725,7
237,4,2,8,7,0,-1,134586,7
238,4,2,8,8,0,-1,132537,7
239,4,2,8,10,0,-1,132955,7
285,4,3,5,5,0,-1,132631,10
286,4,3,5,7,0,-1,134583,10
287,4,3,5,8,0,-1,132535,10
414,0,5,0,0,0,-1,133995,16
422,0,5,0,0,0,-1,133949,16
527,12,0,2,0,0,-1,133280,16
537,15,0,2,0,0,-1,134304,16
555,15,0,7,0,0,-1,135992,16
556,15,0,2,0,0,-1,133707,16
647,2,8,1,17,1,-1,135317,9
710,4,1,7,9,0,-1,132610,7
711,4,1,7,10,0,-1,132961,7
714,4,2,8,10,0,-1,132952,7
718,4,3,5,10,0,-1,132938,10
