ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
219,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,0,0,0,25,0,530
270,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,416,0,0,0,0,0,0,0,32,0,688
313,0,0,0,144,0,0,0,0,1,0,0,0,0,0,0,199558,0,1,0,0,0,1,75,200,0,0,16,0,0,0,0,1,47,781
457,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,0,0,0,0,0,0,0,1,0,1449
662,0,0,0,24,0,0,0,0,1,0,2316,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,2168
863,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0700000003,0,0,1,0,16,0,0,0,0,0,0,0,0,0,2832
1075,53,0,0,6,1,0,5000,0.10000000149,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,3358
1325,0,0,0,24,0,0,0,0,1,0,4255,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,3772
1358,0,0,0,24,0,0,0,0,1,0,4316,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,3850
1507,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.46299999952,0,0,1,0,16,0,0,0,0,0,0,0,1,0,4077
1661,11,0,0,6,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,1,1,0,0,13,0,0,0,0,0,22,15,4507
1691,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,16,0,0,0,0,0,0,0,1,0,4870
1740,39,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,0,0,0,0,0,0,0,21,0,4980
1789,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,924,0,0,0,0,0,0,0,1,0,5099
1801,14,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9.61748695374,16,0,0,0,0,0,0,0,1,0,5111
2356,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1086,0,0,0,0,0,0,0,1,0,6620
2479,87,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,50,16,0,0,0,0,0,0,0,6,0,6873
2656,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,7155
2692,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4754999876,0.5,0,1,0,16,0,0,0,0,0,0,0,1,0,7239
3074,0,0,0,24,0,0,0,0,1,0,6316,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,7754
3145,0,0,0,165,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.00999999978,0,1,1.5,0,0,0,16,0,0,0,0,22,7,7897
3180,39,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,1,0,7940
3387,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0.15000000596,0,1,10.53559207916,0,0,0,0,0,0,0,0,6,0,8246
3611,4,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16,0,0,0,0,0,18,0,8675
3637,79,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15,16,0,0,0,0,0,0,0,25,0,8733
4166,0,0,0,24,0,0,0,0,1,0,7916,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,9818
